frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.1420208066701889,0.573167085647583,-2.279904123270171e-07,0.18186090886592865,0.5464474558830261,-0.018253594636917114,0.20757387578487396,0.4590880274772644,-0.024249229580163956,0.21843135356903076,0.3758573830127716,-0.02858089841902256,0.22911182045936584,0.3207849860191345,-0.031024793162941933,0.19075563549995422,0.4127453565597534,-0.017286036163568497,0.18246643245220184,0.37541720271110535,-0.039268165826797485,0.17677035927772522,0.42755651473999023,-0.05082041397690773,0.1802806407213211,0.4680417776107788,-0.05582766979932785,0.15829047560691833,0.41318684816360474,-0.01565968617796898,0.1493464857339859,0.3802465498447418,-0.03810381516814232,0.1508517563343048,0.4404335916042328,-0.04252290353178978,0.15479491651058197,0.4777294397354126,-0.042870186269283295,0.13002844154834747,0.42131397128105164,-0.01733281835913658,0.11904259026050568,0.3856315016746521,-0.040725577622652054,0.12347842752933502,0.4465157687664032,-0.035264771431684494,0.13060960173606873,0.4842449724674225,-0.027738574892282486,0.10428667068481445,0.4338434338569641,-0.020315872505307198,0.0915311947464943,0.3993057608604431,-0.037078581750392914,0.09612921625375748,0.44330665469169617,-0.03398576378822327,0.10581276565790176,0.4742434322834015,-0.02877211384475231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1420208066701889,0.573167085647583,-2.279904123270171e-07,0.18186090886592865,0.5464474558830261,-0.018253594636917114,0.20757387578487396,0.4590880274772644,-0.024249229580163956,0.21843135356903076,0.3758573830127716,-0.02858089841902256,0.22911182045936584,0.3207849860191345,-0.031024793162941933,0.19075563549995422,0.4127453565597534,-0.017286036163568497,0.18246643245220184,0.37541720271110535,-0.039268165826797485,0.17677035927772522,0.42755651473999023,-0.05082041397690773,0.1802806407213211,0.4680417776107788,-0.05582766979932785,0.15829047560691833,0.41318684816360474,-0.01565968617796898,0.1493464857339859,0.3802465498447418,-0.03810381516814232,0.1508517563343048,0.4404335916042328,-0.04252290353178978,0.15479491651058197,0.4777294397354126,-0.042870186269283295,0.13002844154834747,0.42131397128105164,-0.01733281835913658,0.11904259026050568,0.3856315016746521,-0.040725577622652054,0.12347842752933502,0.4465157687664032,-0.035264771431684494,0.13060960173606873,0.4842449724674225,-0.027738574892282486,0.10428667068481445,0.4338434338569641,-0.020315872505307198,0.0915311947464943,0.3993057608604431,-0.037078581750392914,0.09612921625375748,0.44330665469169617,-0.03398576378822327,0.10581276565790176,0.4742434322834015,-0.02877211384475231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.13276371359825134,0.6209495663642883,-1.737495836096059e-07,0.17408441007137299,0.5742578506469727,-0.019444650039076805,0.20170506834983826,0.4899929165840149,-0.026142874732613564,0.21085216104984283,0.4135688841342926,-0.03146349638700485,0.22321011126041412,0.35259440541267395,-0.0348602794110775,0.1800175905227661,0.43084999918937683,-0.011789756827056408,0.16603654623031616,0.40774568915367126,-0.03575752303004265,0.15885226428508759,0.466598778963089,-0.049922872334718704,0.1610354483127594,0.5152121782302856,-0.055443111807107925,0.14472204446792603,0.4350205957889557,-0.010250003077089787,0.13267216086387634,0.41378745436668396,-0.03842451050877571,0.1318182498216629,0.4879661202430725,-0.04723329097032547,0.13596084713935852,0.5402799844741821,-0.04711107909679413,0.11333218216896057,0.4479465186595917,-0.012498118914663792,0.09847693145275116,0.42627301812171936,-0.03973633795976639,0.1047133207321167,0.4938551187515259,-0.037743501365184784,0.11443951725959778,0.5384118556976318,-0.029538020491600037,0.08605241030454636,0.465512752532959,-0.016055092215538025,0.06946845352649689,0.4409336745738983,-0.03435549885034561,0.07803433388471603,0.48566383123397827,-0.032430555671453476,0.09164374321699142,0.5178910493850708,-0.026062333956360817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.13532480597496033,0.632127583026886,-1.7562902598911023e-07,0.17863774299621582,0.587978184223175,-0.015279523096978664,0.20609574019908905,0.5018888711929321,-0.020272497087717056,0.21479713916778564,0.4251314401626587,-0.024607248604297638,0.22936345636844635,0.3692806661128998,-0.027863897383213043,0.177226722240448,0.4499885141849518,-0.011545603163540363,0.17372114956378937,0.41810306906700134,-0.03323226794600487,0.167476624250412,0.46854931116104126,-0.04565351456403732,0.16572093963623047,0.5126298069953918,-0.05057245120406151,0.14510135352611542,0.4563389718532562,-0.011380424723029137,0.1381208598613739,0.4267914295196533,-0.03708430007100105,0.13901928067207336,0.4969324767589569,-0.04450874403119087,0.14185021817684174,0.5494840145111084,-0.04413573071360588,0.11666271835565567,0.4693257808685303,-0.014369109645485878,0.10507073998451233,0.4420260787010193,-0.03991253301501274,0.11272726953029633,0.5084711909294128,-0.03709058091044426,0.1204565167427063,0.5537731051445007,-0.028874453157186508,0.0905800387263298,0.4864233136177063,-0.01815420761704445,0.0782390609383583,0.4567220211029053,-0.03488599881529808,0.08742250502109528,0.5041384696960449,-0.031500931829214096,0.09856661409139633,0.5386863946914673,-0.02472601644694805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.15546637773513794,0.6716323494911194,-2.2941249255836738e-07,0.2021557092666626,0.6205865740776062,-0.014852781780064106,0.23041662573814392,0.5314391851425171,-0.01994006708264351,0.24207603931427002,0.45600399374961853,-0.02550954557955265,0.2612987756729126,0.4088011085987091,-0.029752500355243683,0.2014218419790268,0.48556947708129883,-0.009213626384735107,0.19853375852108002,0.45147961378097534,-0.032165974378585815,0.1980488896369934,0.5054017901420593,-0.04505378007888794,0.20136645436286926,0.5449084043502808,-0.05021873861551285,0.16818971931934357,0.48907470703125,-0.010163039900362492,0.16556420922279358,0.458329975605011,-0.03663872927427292,0.16907133162021637,0.5288615822792053,-0.0433507077395916,0.17230582237243652,0.575394868850708,-0.042759086936712265,0.13758167624473572,0.49861934781074524,-0.014583203941583633,0.13290488719940186,0.4672620892524719,-0.04123154655098915,0.14035972952842712,0.5353318452835083,-0.03662383556365967,0.1457798033952713,0.5802367925643921,-0.027002083137631416,0.10634049773216248,0.513192892074585,-0.020071228966116905,0.1042676717042923,0.47778794169425964,-0.03700052201747894,0.11359183490276337,0.5266797542572021,-0.03183087706565857,0.12007037550210953,0.5638540387153625,-0.023659663274884224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.15546637773513794,0.6716323494911194,-2.2941249255836738e-07,0.2021557092666626,0.6205865740776062,-0.014852781780064106,0.23041662573814392,0.5314391851425171,-0.01994006708264351,0.24207603931427002,0.45600399374961853,-0.02550954557955265,0.2612987756729126,0.4088011085987091,-0.029752500355243683,0.2014218419790268,0.48556947708129883,-0.009213626384735107,0.19853375852108002,0.45147961378097534,-0.032165974378585815,0.1980488896369934,0.5054017901420593,-0.04505378007888794,0.20136645436286926,0.5449084043502808,-0.05021873861551285,0.16818971931934357,0.48907470703125,-0.010163039900362492,0.16556420922279358,0.458329975605011,-0.03663872927427292,0.16907133162021637,0.5288615822792053,-0.0433507077395916,0.17230582237243652,0.575394868850708,-0.042759086936712265,0.13758167624473572,0.49861934781074524,-0.014583203941583633,0.13290488719940186,0.4672620892524719,-0.04123154655098915,0.14035972952842712,0.5353318452835083,-0.03662383556365967,0.1457798033952713,0.5802367925643921,-0.027002083137631416,0.10634049773216248,0.513192892074585,-0.020071228966116905,0.1042676717042923,0.47778794169425964,-0.03700052201747894,0.11359183490276337,0.5266797542572021,-0.03183087706565857,0.12007037550210953,0.5638540387153625,-0.023659663274884224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16087757050991058,0.6634137630462646,-2.6177821155215497e-07,0.20946572721004486,0.6137315034866333,-0.015528004616498947,0.23936228454113007,0.527405321598053,-0.021959491074085236,0.25036054849624634,0.45150992274284363,-0.028480442240834236,0.2705262303352356,0.40496188402175903,-0.03360351175069809,0.2122069001197815,0.47899186611175537,-0.01302869338542223,0.2094006985425949,0.44458189606666565,-0.03645907714962959,0.20234914124011993,0.4985804855823517,-0.04906613007187843,0.1991250365972519,0.5387185215950012,-0.05407746136188507,0.17826110124588013,0.4824356734752655,-0.013786320574581623,0.17403531074523926,0.4508771300315857,-0.04040629789233208,0.1735677421092987,0.5217631459236145,-0.04662557318806648,0.17446188628673553,0.5681799650192261,-0.04619485139846802,0.14814940094947815,0.4929976463317871,-0.01787823997437954,0.14302873611450195,0.46102526783943176,-0.04466011002659798,0.1487564891576767,0.5284186601638794,-0.040302425622940063,0.15326792001724243,0.5718309879302979,-0.031215758994221687,0.1181296557188034,0.507962167263031,-0.02291276305913925,0.11524474620819092,0.47265133261680603,-0.03972749784588814,0.12324385344982147,0.5204558372497559,-0.03472647815942764,0.12944699823856354,0.554332971572876,-0.027083132416009903,0.8377279043197632,0.6799463033676147,-2.362148876500214e-07,0.8119193315505981,0.6158828735351562,-0.021018635481595993,0.8123856782913208,0.5282593369483948,-0.02987821400165558,0.820600152015686,0.45193207263946533,-0.035033080726861954,0.8273096680641174,0.39367952942848206,-0.03855017572641373,0.8633663058280945,0.5140052437782288,-0.020145682618021965,0.8605664968490601,0.40886738896369934,-0.03368651121854782,0.8489089608192444,0.3468724489212036,-0.04386674240231514,0.8390969038009644,0.31293463706970215,-0.04945630952715874,0.8807322978973389,0.5157461762428284,-0.01422426663339138,0.8767412900924683,0.4103892147541046,-0.024310989305377007,0.8665491342544556,0.34262555837631226,-0.03162553161382675,0.8552722930908203,0.3001250624656677,-0.03698913753032684,0.889859139919281,0.517192006111145,-0.01055047009140253,0.8882361054420471,0.4170975387096405,-0.021779917180538177,0.8791999816894531,0.355953574180603,-0.02660326287150383,0.8693598508834839,0.31459587812423706,-0.028650259599089622,0.8929781317710876,0.516447901725769,-0.008354646153748035,0.8938994407653809,0.4296607971191406,-0.01896284893155098,0.889674186706543,0.37702423334121704,-0.022048145532608032,0.8844019770622253,0.34057456254959106,-0.022551771253347397
9,0.1626441776752472,0.6579617261886597,-2.4519928842892114e-07,0.21047823131084442,0.6088535785675049,-0.014987057074904442,0.23988647758960724,0.5250735878944397,-0.020859183743596077,0.25232455134391785,0.45013949275016785,-0.026910068467259407,0.2699621319770813,0.3998752534389496,-0.03151097521185875,0.21572750806808472,0.4758097529411316,-0.010701633058488369,0.211007222533226,0.442031592130661,-0.03377991169691086,0.20309282839298248,0.49691617488861084,-0.047042202204465866,0.20067480206489563,0.5414069294929504,-0.052554234862327576,0.18131105601787567,0.4775986969470978,-0.011714577674865723,0.17653435468673706,0.44618964195251465,-0.03753864765167236,0.17463625967502594,0.5163457989692688,-0.04448120296001434,0.17577451467514038,0.5667893290519714,-0.0446029007434845,0.1509438157081604,0.48743119835853577,-0.016107065603137016,0.14477567374706268,0.457358717918396,-0.04101897403597832,0.14895769953727722,0.5223082304000854,-0.03684307634830475,0.1538863182067871,0.5672827959060669,-0.02838929183781147,0.12178133428096771,0.50295490026474,-0.0216584000736475,0.11632832884788513,0.4698299467563629,-0.03716811537742615,0.12260467559099197,0.5152042508125305,-0.03231791406869888,0.12934014201164246,0.5492652058601379,-0.02508757822215557,0.8266308307647705,0.7439454197883606,-2.1581485043498105e-07,0.8033854961395264,0.679893434047699,-0.023775368928909302,0.8054828643798828,0.601173460483551,-0.03394478186964989,0.8191328644752502,0.5357071757316589,-0.03989825025200844,0.8330854177474976,0.4869752526283264,-0.044309794902801514,0.8591372966766357,0.5969167351722717,-0.02413017675280571,0.8659529685974121,0.5051975250244141,-0.03677023574709892,0.8585828542709351,0.45417699217796326,-0.04602692648768425,0.8524801135063171,0.42858701944351196,-0.051198288798332214,0.878040611743927,0.6031796932220459,-0.015785319730639458,0.886898398399353,0.5146878361701965,-0.024646177887916565,0.8803355097770691,0.4549884498119354,-0.030725501477718353,0.8717273473739624,0.42038169503211975,-0.03554147854447365,0.8883029222488403,0.6084229946136475,-0.009653653018176556,0.8975770473480225,0.523625373840332,-0.019603554159402847,0.8911195397377014,0.46733778715133667,-0.024672584608197212,0.8840218186378479,0.43171536922454834,-0.02747233398258686,0.8925207853317261,0.6121116876602173,-0.005198138765990734,0.9034226536750793,0.5421686172485352,-0.014151256531476974,0.9034892320632935,0.4949002265930176,-0.018154539167881012,0.9014682173728943,0.4625648260116577,-0.020065605640411377
10,0.1626441776752472,0.6579617261886597,-2.4519928842892114e-07,0.21047823131084442,0.6088535785675049,-0.014987057074904442,0.23988647758960724,0.5250735878944397,-0.020859183743596077,0.25232455134391785,0.45013949275016785,-0.026910068467259407,0.2699621319770813,0.3998752534389496,-0.03151097521185875,0.21572750806808472,0.4758097529411316,-0.010701633058488369,0.211007222533226,0.442031592130661,-0.03377991169691086,0.20309282839298248,0.49691617488861084,-0.047042202204465866,0.20067480206489563,0.5414069294929504,-0.052554234862327576,0.18131105601787567,0.4775986969470978,-0.011714577674865723,0.17653435468673706,0.44618964195251465,-0.03753864765167236,0.17463625967502594,0.5163457989692688,-0.04448120296001434,0.17577451467514038,0.5667893290519714,-0.0446029007434845,0.1509438157081604,0.48743119835853577,-0.016107065603137016,0.14477567374706268,0.457358717918396,-0.04101897403597832,0.14895769953727722,0.5223082304000854,-0.03684307634830475,0.1538863182067871,0.5672827959060669,-0.02838929183781147,0.12178133428096771,0.50295490026474,-0.0216584000736475,0.11632832884788513,0.4698299467563629,-0.03716811537742615,0.12260467559099197,0.5152042508125305,-0.03231791406869888,0.12934014201164246,0.5492652058601379,-0.02508757822215557,0.8266308307647705,0.7439454197883606,-2.1581485043498105e-07,0.8033854961395264,0.679893434047699,-0.023775368928909302,0.8054828643798828,0.601173460483551,-0.03394478186964989,0.8191328644752502,0.5357071757316589,-0.03989825025200844,0.8330854177474976,0.4869752526283264,-0.044309794902801514,0.8591372966766357,0.5969167351722717,-0.02413017675280571,0.8659529685974121,0.5051975250244141,-0.03677023574709892,0.8585828542709351,0.45417699217796326,-0.04602692648768425,0.8524801135063171,0.42858701944351196,-0.051198288798332214,0.878040611743927,0.6031796932220459,-0.015785319730639458,0.886898398399353,0.5146878361701965,-0.024646177887916565,0.8803355097770691,0.4549884498119354,-0.030725501477718353,0.8717273473739624,0.42038169503211975,-0.03554147854447365,0.8883029222488403,0.6084229946136475,-0.009653653018176556,0.8975770473480225,0.523625373840332,-0.019603554159402847,0.8911195397377014,0.46733778715133667,-0.024672584608197212,0.8840218186378479,0.43171536922454834,-0.02747233398258686,0.8925207853317261,0.6121116876602173,-0.005198138765990734,0.9034226536750793,0.5421686172485352,-0.014151256531476974,0.9034892320632935,0.4949002265930176,-0.018154539167881012,0.9014682173728943,0.4625648260116577,-0.020065605640411377
