frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6462953090667725,0.7940369248390198,2.1872457178773175e-09,0.6218092441558838,0.7663635611534119,-0.012013446539640427,0.6123589277267456,0.7201536893844604,-0.01748632825911045,0.6273723244667053,0.6844620704650879,-0.022369537502527237,0.6435627937316895,0.673957347869873,-0.026724573224782944,0.6130797266960144,0.6521174311637878,-0.008587835356593132,0.6101736426353455,0.5919138193130493,-0.017224017530679703,0.6104857921600342,0.554435133934021,-0.025164293125271797,0.6110519170761108,0.5226767063140869,-0.03157408535480499,0.6317991018295288,0.645368218421936,-0.009701812639832497,0.6290416717529297,0.5809804201126099,-0.017274007201194763,0.6278676986694336,0.5390318632125854,-0.024753065779805183,0.6268256902694702,0.5027745962142944,-0.030466986820101738,0.6496029496192932,0.651493489742279,-0.012400191277265549,0.6494919061660767,0.5922224521636963,-0.019744770601391792,0.6499294638633728,0.5555744767189026,-0.025581233203411102,0.6496152281761169,0.524081826210022,-0.02975175529718399,0.6668869853019714,0.6683816909790039,-0.016484534367918968,0.6691495180130005,0.6232551336288452,-0.022893229499459267,0.670181393623352,0.594334602355957,-0.025598475709557533,0.6707914471626282,0.5701500177383423,-0.027400046586990356
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6445149183273315,0.785422146320343,-9.531357036962618e-09,0.620814323425293,0.7598079442977905,-0.013353909365832806,0.6109958291053772,0.7146271467208862,-0.020162006840109825,0.6260606050491333,0.6812251210212708,-0.02597736567258835,0.6430083513259888,0.6754252314567566,-0.03147878497838974,0.6132146120071411,0.6512499451637268,-0.013006084598600864,0.6108970046043396,0.5916022062301636,-0.022383376955986023,0.6106414794921875,0.5543474555015564,-0.030387304723262787,0.6106606721878052,0.522485613822937,-0.036920491605997086,0.631813108921051,0.6450155377388,-0.013776241801679134,0.6291807293891907,0.5789884924888611,-0.02207004465162754,0.6276402473449707,0.5370116233825684,-0.02972414344549179,0.6261180639266968,0.5010440945625305,-0.03567998856306076,0.6493580341339111,0.6518926024436951,-0.015952348709106445,0.6493762135505676,0.5907061100006104,-0.02420639991760254,0.6495506167411804,0.5532581806182861,-0.0308383721858263,0.6485982537269592,0.521348237991333,-0.035579975694417953,0.6663591265678406,0.6689696907997131,-0.01944728195667267,0.6686569452285767,0.6232785582542419,-0.0268279779702425,0.6698362231254578,0.5944928526878357,-0.030331561341881752,0.6701521277427673,0.5706194043159485,-0.03277740254998207
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6445149183273315,0.785422146320343,-9.531357036962618e-09,0.620814323425293,0.7598079442977905,-0.013353909365832806,0.6109958291053772,0.7146271467208862,-0.020162006840109825,0.6260606050491333,0.6812251210212708,-0.02597736567258835,0.6430083513259888,0.6754252314567566,-0.03147878497838974,0.6132146120071411,0.6512499451637268,-0.013006084598600864,0.6108970046043396,0.5916022062301636,-0.022383376955986023,0.6106414794921875,0.5543474555015564,-0.030387304723262787,0.6106606721878052,0.522485613822937,-0.036920491605997086,0.631813108921051,0.6450155377388,-0.013776241801679134,0.6291807293891907,0.5789884924888611,-0.02207004465162754,0.6276402473449707,0.5370116233825684,-0.02972414344549179,0.6261180639266968,0.5010440945625305,-0.03567998856306076,0.6493580341339111,0.6518926024436951,-0.015952348709106445,0.6493762135505676,0.5907061100006104,-0.02420639991760254,0.6495506167411804,0.5532581806182861,-0.0308383721858263,0.6485982537269592,0.521348237991333,-0.035579975694417953,0.6663591265678406,0.6689696907997131,-0.01944728195667267,0.6686569452285767,0.6232785582542419,-0.0268279779702425,0.6698362231254578,0.5944928526878357,-0.030331561341881752,0.6701521277427673,0.5706194043159485,-0.03277740254998207
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6454607248306274,0.7827297449111938,2.1703280950191584e-08,0.6212740540504456,0.7589211463928223,-0.012916548177599907,0.6119170784950256,0.7164907455444336,-0.01984259858727455,0.6264020204544067,0.6835072040557861,-0.025779660791158676,0.6407702565193176,0.6757284998893738,-0.03142007440328598,0.612193763256073,0.6501520276069641,-0.01355737540870905,0.6102204918861389,0.5891790986061096,-0.023315848782658577,0.6105906963348389,0.5507392883300781,-0.03130670264363289,0.6113306879997253,0.5188621878623962,-0.03758883848786354,0.6310312151908875,0.6447281837463379,-0.014592512510716915,0.6290491223335266,0.5777134299278259,-0.023046260699629784,0.6282271146774292,0.5352156758308411,-0.030526909977197647,0.6277160048484802,0.498739093542099,-0.03615162894129753,0.6491425037384033,0.6523352861404419,-0.016925618052482605,0.6491345167160034,0.5906783938407898,-0.024953827261924744,0.6492918133735657,0.5522682070732117,-0.03100915625691414,0.6485863327980042,0.5196410417556763,-0.03528563305735588,0.6669765710830688,0.6698164939880371,-0.02053852565586567,0.6693878173828125,0.6247573494911194,-0.027377840131521225,0.6701640486717224,0.5958248376846313,-0.03017660602927208,0.6703164577484131,0.571776270866394,-0.032020971179008484
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644738495349884,0.7716686129570007,2.4604824844232098e-08,0.6215463280677795,0.7510639429092407,-0.013704079203307629,0.6121635437011719,0.7099131941795349,-0.021120551973581314,0.626461386680603,0.6786098480224609,-0.027373353019356728,0.6417340040206909,0.671463668346405,-0.033369142562150955,0.6125200986862183,0.6453461647033691,-0.014906140975654125,0.6104806065559387,0.586016058921814,-0.024936193600296974,0.610435962677002,0.5488621592521667,-0.0328669436275959,0.6108245849609375,0.5182527303695679,-0.03904315456748009,0.6311704516410828,0.6400943398475647,-0.015597273595631123,0.6293230056762695,0.5747954249382019,-0.024275178089737892,0.6284120678901672,0.5338555574417114,-0.031865742057561874,0.6279518008232117,0.4996514618396759,-0.03753109276294708,0.6485214233398438,0.6479708552360535,-0.017639894038438797,0.6485832333564758,0.5877337455749512,-0.026072638109326363,0.6493220329284668,0.5515737533569336,-0.032527629286050797,0.6494983434677124,0.5216137766838074,-0.037025753408670425,0.6656014919281006,0.6653347611427307,-0.02094988152384758,0.6681496500968933,0.6218147277832031,-0.02818465046584606,0.669425368309021,0.5944488048553467,-0.03145148232579231,0.6702982187271118,0.5717543959617615,-0.03365148603916168
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644738495349884,0.7716686129570007,2.4604824844232098e-08,0.6215463280677795,0.7510639429092407,-0.013704079203307629,0.6121635437011719,0.7099131941795349,-0.021120551973581314,0.626461386680603,0.6786098480224609,-0.027373353019356728,0.6417340040206909,0.671463668346405,-0.033369142562150955,0.6125200986862183,0.6453461647033691,-0.014906140975654125,0.6104806065559387,0.586016058921814,-0.024936193600296974,0.610435962677002,0.5488621592521667,-0.0328669436275959,0.6108245849609375,0.5182527303695679,-0.03904315456748009,0.6311704516410828,0.6400943398475647,-0.015597273595631123,0.6293230056762695,0.5747954249382019,-0.024275178089737892,0.6284120678901672,0.5338555574417114,-0.031865742057561874,0.6279518008232117,0.4996514618396759,-0.03753109276294708,0.6485214233398438,0.6479708552360535,-0.017639894038438797,0.6485832333564758,0.5877337455749512,-0.026072638109326363,0.6493220329284668,0.5515737533569336,-0.032527629286050797,0.6494983434677124,0.5216137766838074,-0.037025753408670425,0.6656014919281006,0.6653347611427307,-0.02094988152384758,0.6681496500968933,0.6218147277832031,-0.02818465046584606,0.669425368309021,0.5944488048553467,-0.03145148232579231,0.6702982187271118,0.5717543959617615,-0.03365148603916168
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6441686749458313,0.7785118818283081,1.6984733619551662e-08,0.6205098032951355,0.7556553483009338,-0.012399572879076004,0.6110841631889343,0.7119481563568115,-0.018675554543733597,0.626308798789978,0.6790822744369507,-0.024145856499671936,0.642509400844574,0.6715255379676819,-0.029395874589681625,0.6121240854263306,0.6461395025253296,-0.011986198835074902,0.6100003123283386,0.5863711833953857,-0.021369818598031998,0.6099327206611633,0.5488022565841675,-0.029295338317751884,0.6103073358535767,0.5172556042671204,-0.03559679910540581,0.6308958530426025,0.6412912011146545,-0.013313796371221542,0.6290766000747681,0.5755926966667175,-0.021447090432047844,0.6282745003700256,0.5338131189346313,-0.0292312353849411,0.6275913715362549,0.4986039400100708,-0.03513075411319733,0.6485550403594971,0.6493696570396423,-0.016001952812075615,0.648809015750885,0.5889793634414673,-0.02410772256553173,0.6493056416511536,0.5522400736808777,-0.030765699222683907,0.6489099860191345,0.5218915343284607,-0.03542305901646614,0.6660231351852417,0.6668710708618164,-0.019934004172682762,0.6685310006141663,0.6219040155410767,-0.027082284912467003,0.6693865060806274,0.5934520959854126,-0.0304361954331398,0.6696199774742126,0.5701478123664856,-0.032709017395973206
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6432256102561951,0.7771595120429993,-2.082955496973682e-08,0.6207506656646729,0.7556003332138062,-0.013139873743057251,0.6112474203109741,0.7125994563102722,-0.020003797486424446,0.6254110336303711,0.6789472699165344,-0.025961218401789665,0.641659677028656,0.6687704920768738,-0.031495872884988785,0.6129999756813049,0.6438661217689514,-0.012797437608242035,0.6102389693260193,0.5837726593017578,-0.02235620655119419,0.6096477508544922,0.5475851893424988,-0.030181201174855232,0.6098202466964722,0.5169377326965332,-0.03634405881166458,0.6316036581993103,0.6385185718536377,-0.013534298166632652,0.6292266845703125,0.5723474025726318,-0.021612301468849182,0.6279726624488831,0.5316559672355652,-0.028902215883135796,0.6274200081825256,0.4975430369377136,-0.034468814730644226,0.6493127346038818,0.6464579701423645,-0.015697339549660683,0.6493373513221741,0.585510790348053,-0.023738980293273926,0.6493614912033081,0.5495525598526001,-0.029819825664162636,0.6487503051757812,0.5192310810089111,-0.03410952910780907,0.666688859462738,0.664099931716919,-0.019157491624355316,0.6691961288452148,0.6203294396400452,-0.025965586304664612,0.6702303290367126,0.5926076769828796,-0.028977932408452034,0.6706932783126831,0.5691974759101868,-0.031058572232723236
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6432256102561951,0.7771595120429993,-2.082955496973682e-08,0.6207506656646729,0.7556003332138062,-0.013139873743057251,0.6112474203109741,0.7125994563102722,-0.020003797486424446,0.6254110336303711,0.6789472699165344,-0.025961218401789665,0.641659677028656,0.6687704920768738,-0.031495872884988785,0.6129999756813049,0.6438661217689514,-0.012797437608242035,0.6102389693260193,0.5837726593017578,-0.02235620655119419,0.6096477508544922,0.5475851893424988,-0.030181201174855232,0.6098202466964722,0.5169377326965332,-0.03634405881166458,0.6316036581993103,0.6385185718536377,-0.013534298166632652,0.6292266845703125,0.5723474025726318,-0.021612301468849182,0.6279726624488831,0.5316559672355652,-0.028902215883135796,0.6274200081825256,0.4975430369377136,-0.034468814730644226,0.6493127346038818,0.6464579701423645,-0.015697339549660683,0.6493373513221741,0.585510790348053,-0.023738980293273926,0.6493614912033081,0.5495525598526001,-0.029819825664162636,0.6487503051757812,0.5192310810089111,-0.03410952910780907,0.666688859462738,0.664099931716919,-0.019157491624355316,0.6691961288452148,0.6203294396400452,-0.025965586304664612,0.6702303290367126,0.5926076769828796,-0.028977932408452034,0.6706932783126831,0.5691974759101868,-0.031058572232723236
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645574152469635,0.7782769799232483,1.1812518074805212e-08,0.6220520734786987,0.7559072971343994,-0.01207778137177229,0.6118065714836121,0.7134360671043396,-0.01850830763578415,0.6256996393203735,0.67972731590271,-0.02420685812830925,0.6423128843307495,0.6717222332954407,-0.029555577784776688,0.6117058992385864,0.6466873288154602,-0.011727494187653065,0.6094267964363098,0.5858703851699829,-0.021082211285829544,0.6097533702850342,0.5479364395141602,-0.02877609059214592,0.6103146076202393,0.5170133709907532,-0.03482440114021301,0.6304998993873596,0.6405153274536133,-0.013036075979471207,0.6280182003974915,0.5738694667816162,-0.02125965617597103,0.6270940899848938,0.5319225788116455,-0.02864968590438366,0.6262766718864441,0.49643808603286743,-0.03413478285074234,0.6485671401023865,0.6470561623573303,-0.015676546841859818,0.6483156681060791,0.5853488445281982,-0.02358170785009861,0.6481980681419373,0.5478730797767639,-0.0294739231467247,0.6472265720367432,0.5163308382034302,-0.033509254455566406,0.6663995981216431,0.6636474132537842,-0.0195346437394619,0.6683908700942993,0.6177578568458557,-0.026389172300696373,0.6685771346092224,0.5885205864906311,-0.029215561226010323,0.6680297255516052,0.5645043253898621,-0.03097444213926792
