frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2913097143173218,0.5167518854141235,-3.9240191540557134e-08,0.27235040068626404,0.489565372467041,-0.003451005555689335,0.25913095474243164,0.4480009078979492,-0.007594511844217777,0.2426457554101944,0.42059019207954407,-0.013007101602852345,0.22585171461105347,0.4013511538505554,-0.01759219542145729,0.2964267432689667,0.4065706133842468,0.002982914447784424,0.2921420633792877,0.3618965148925781,-0.005795813165605068,0.2772195339202881,0.33805251121520996,-0.013794731348752975,0.26253703236579895,0.3299466669559479,-0.018557485193014145,0.3013092577457428,0.40527212619781494,-0.0009529685485176742,0.2959490120410919,0.3539726436138153,-0.008563892915844917,0.2779451906681061,0.3309657573699951,-0.013611070811748505,0.26233938336372375,0.3228585124015808,-0.01630401611328125,0.3033195436000824,0.4074733257293701,-0.006756743416190147,0.2983718514442444,0.35273170471191406,-0.01390205416828394,0.2809601128101349,0.32956284284591675,-0.016431666910648346,0.26564261317253113,0.32191193103790283,-0.016845738515257835,0.3011566996574402,0.413451611995697,-0.013362017460167408,0.2965810298919678,0.3696688115596771,-0.018776269629597664,0.2856490910053253,0.34717074036598206,-0.020477667450904846,0.2750595808029175,0.3360821604728699,-0.020709466189146042
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2913097143173218,0.5167518854141235,-3.9240191540557134e-08,0.27235040068626404,0.489565372467041,-0.003451005555689335,0.25913095474243164,0.4480009078979492,-0.007594511844217777,0.2426457554101944,0.42059019207954407,-0.013007101602852345,0.22585171461105347,0.4013511538505554,-0.01759219542145729,0.2964267432689667,0.4065706133842468,0.002982914447784424,0.2921420633792877,0.3618965148925781,-0.005795813165605068,0.2772195339202881,0.33805251121520996,-0.013794731348752975,0.26253703236579895,0.3299466669559479,-0.018557485193014145,0.3013092577457428,0.40527212619781494,-0.0009529685485176742,0.2959490120410919,0.3539726436138153,-0.008563892915844917,0.2779451906681061,0.3309657573699951,-0.013611070811748505,0.26233938336372375,0.3228585124015808,-0.01630401611328125,0.3033195436000824,0.4074733257293701,-0.006756743416190147,0.2983718514442444,0.35273170471191406,-0.01390205416828394,0.2809601128101349,0.32956284284591675,-0.016431666910648346,0.26564261317253113,0.32191193103790283,-0.016845738515257835,0.3011566996574402,0.413451611995697,-0.013362017460167408,0.2965810298919678,0.3696688115596771,-0.018776269629597664,0.2856490910053253,0.34717074036598206,-0.020477667450904846,0.2750595808029175,0.3360821604728699,-0.020709466189146042
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29356908798217773,0.5197170972824097,-7.7032730416704e-08,0.27345308661460876,0.4920209050178528,-0.0031758081167936325,0.26020190119743347,0.4501383602619171,-0.0070637366734445095,0.24357566237449646,0.42340484261512756,-0.012507937848567963,0.22708982229232788,0.40258270502090454,-0.01720239408314228,0.2971906363964081,0.40617474913597107,0.005019162781536579,0.2907824218273163,0.3636085093021393,-0.0033666647505015135,0.2756616473197937,0.3409617841243744,-0.011799191124737263,0.2608625590801239,0.33223584294319153,-0.016937654465436935,0.3019457161426544,0.40463778376579285,0.0008412502356804907,0.2943468689918518,0.3541383743286133,-0.006083912216126919,0.2764270007610321,0.3323911726474762,-0.011532662436366081,0.26092708110809326,0.3241395056247711,-0.014753583818674088,0.30418404936790466,0.4071488380432129,-0.005341365933418274,0.2986806333065033,0.35308974981307983,-0.011606578715145588,0.28127726912498474,0.3315586447715759,-0.014513397589325905,0.26585546135902405,0.32401368021965027,-0.015475097112357616,0.3026027977466583,0.4132598042488098,-0.012424133718013763,0.2987731695175171,0.368593692779541,-0.0167834609746933,0.2873075604438782,0.3467711806297302,-0.018349558115005493,0.2757013440132141,0.33634692430496216,-0.018804147839546204
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2920953333377838,0.5192047357559204,-5.734084496111791e-08,0.27336567640304565,0.49299561977386475,-0.004708984866738319,0.2601677477359772,0.45182934403419495,-0.009301776066422462,0.24350474774837494,0.42408648133277893,-0.015199705958366394,0.22644633054733276,0.4038025140762329,-0.020330270752310753,0.29622671008110046,0.4076395630836487,0.003270586021244526,0.2907423675060272,0.36673930287361145,-0.005304925609380007,0.27582255005836487,0.3435463607311249,-0.013523233123123646,0.2609940469264984,0.33349472284317017,-0.018718894571065903,0.3013913631439209,0.4059123694896698,-0.0003460769075900316,0.2950149178504944,0.35645705461502075,-0.007914881221950054,0.2771647870540619,0.3346368074417114,-0.013419242575764656,0.2612156569957733,0.325602650642395,-0.016574829816818237,0.30411750078201294,0.4080319404602051,-0.005981555208563805,0.29918524622917175,0.3552033305168152,-0.01354077085852623,0.28147026896476746,0.3328309953212738,-0.01645948365330696,0.2653423249721527,0.32515180110931396,-0.017039356753230095,0.30270543694496155,0.4142252206802368,-0.012565502896904945,0.2982172667980194,0.36966097354888916,-0.018465597182512283,0.28679969906806946,0.34706878662109375,-0.02035633474588394,0.2752453088760376,0.33664050698280334,-0.020658524706959724
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2920953333377838,0.5192047357559204,-5.734084496111791e-08,0.27336567640304565,0.49299561977386475,-0.004708984866738319,0.2601677477359772,0.45182934403419495,-0.009301776066422462,0.24350474774837494,0.42408648133277893,-0.015199705958366394,0.22644633054733276,0.4038025140762329,-0.020330270752310753,0.29622671008110046,0.4076395630836487,0.003270586021244526,0.2907423675060272,0.36673930287361145,-0.005304925609380007,0.27582255005836487,0.3435463607311249,-0.013523233123123646,0.2609940469264984,0.33349472284317017,-0.018718894571065903,0.3013913631439209,0.4059123694896698,-0.0003460769075900316,0.2950149178504944,0.35645705461502075,-0.007914881221950054,0.2771647870540619,0.3346368074417114,-0.013419242575764656,0.2612156569957733,0.325602650642395,-0.016574829816818237,0.30411750078201294,0.4080319404602051,-0.005981555208563805,0.29918524622917175,0.3552033305168152,-0.01354077085852623,0.28147026896476746,0.3328309953212738,-0.01645948365330696,0.2653423249721527,0.32515180110931396,-0.017039356753230095,0.30270543694496155,0.4142252206802368,-0.012565502896904945,0.2982172667980194,0.36966097354888916,-0.018465597182512283,0.28679969906806946,0.34706878662109375,-0.02035633474588394,0.2752453088760376,0.33664050698280334,-0.020658524706959724
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29156672954559326,0.5158932209014893,-1.9089696934315725e-08,0.2737680971622467,0.49054425954818726,-0.005203090608119965,0.260298490524292,0.4505721628665924,-0.01067606545984745,0.2436935007572174,0.42346981167793274,-0.01709177903831005,0.2269641011953354,0.40374043583869934,-0.02257818542420864,0.29878342151641846,0.40794286131858826,0.0002596993581391871,0.2965245842933655,0.3637751340866089,-0.009061908349394798,0.281925767660141,0.3386748731136322,-0.017095021903514862,0.26717475056648254,0.33032578229904175,-0.021775072440505028,0.3031249940395355,0.40731915831565857,-0.0030032817739993334,0.2981919050216675,0.3558887541294098,-0.011185397394001484,0.2801898121833801,0.3323127031326294,-0.015971150249242783,0.26416710019111633,0.3238579034805298,-0.01828216016292572,0.30459076166152954,0.40974777936935425,-0.008161373436450958,0.29915937781333923,0.35498926043510437,-0.015715934336185455,0.28182265162467957,0.33137741684913635,-0.017984820529818535,0.26629629731178284,0.32383015751838684,-0.018009154126048088,0.3020172715187073,0.41585633158683777,-0.014260364696383476,0.29714834690093994,0.37122660875320435,-0.020140353590250015,0.2863406836986542,0.34806761145591736,-0.021872838959097862,0.27570706605911255,0.33711451292037964,-0.021912075579166412
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29113510251045227,0.5154106020927429,-5.766543509366784e-08,0.2727949619293213,0.4875909388065338,-0.004402377177029848,0.25966960191726685,0.448305606842041,-0.009118542075157166,0.24348661303520203,0.42168816924095154,-0.014967815019190311,0.22676299512386322,0.4023011326789856,-0.020040391013026237,0.2985900938510895,0.40797722339630127,0.00230950815603137,0.29282405972480774,0.3656802773475647,-0.006662105210125446,0.27731573581695557,0.3428873121738434,-0.015111935324966908,0.26222091913223267,0.3340746760368347,-0.0203382708132267,0.3036765158176422,0.40587761998176575,-0.001157028484158218,0.29654449224472046,0.3560953438282013,-0.00889019574970007,0.2781834304332733,0.3337451219558716,-0.014547026716172695,0.2619847059249878,0.324780136346817,-0.017946386709809303,0.30542537569999695,0.4075898826122284,-0.006528347730636597,0.29913023114204407,0.3541187047958374,-0.014169451780617237,0.2812054753303528,0.3319578766822815,-0.01734071597456932,0.26509201526641846,0.3245496451854706,-0.01822332851588726,0.3023863136768341,0.41330936551094055,-0.012725632637739182,0.2970444858074188,0.3690868318080902,-0.018675239756703377,0.28545334935188293,0.3472571074962616,-0.0207555890083313,0.2737954258918762,0.3368125557899475,-0.02130802534520626
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29113510251045227,0.5154106020927429,-5.766543509366784e-08,0.2727949619293213,0.4875909388065338,-0.004402377177029848,0.25966960191726685,0.448305606842041,-0.009118542075157166,0.24348661303520203,0.42168816924095154,-0.014967815019190311,0.22676299512386322,0.4023011326789856,-0.020040391013026237,0.2985900938510895,0.40797722339630127,0.00230950815603137,0.29282405972480774,0.3656802773475647,-0.006662105210125446,0.27731573581695557,0.3428873121738434,-0.015111935324966908,0.26222091913223267,0.3340746760368347,-0.0203382708132267,0.3036765158176422,0.40587761998176575,-0.001157028484158218,0.29654449224472046,0.3560953438282013,-0.00889019574970007,0.2781834304332733,0.3337451219558716,-0.014547026716172695,0.2619847059249878,0.324780136346817,-0.017946386709809303,0.30542537569999695,0.4075898826122284,-0.006528347730636597,0.29913023114204407,0.3541187047958374,-0.014169451780617237,0.2812054753303528,0.3319578766822815,-0.01734071597456932,0.26509201526641846,0.3245496451854706,-0.01822332851588726,0.3023863136768341,0.41330936551094055,-0.012725632637739182,0.2970444858074188,0.3690868318080902,-0.018675239756703377,0.28545334935188293,0.3472571074962616,-0.0207555890083313,0.2737954258918762,0.3368125557899475,-0.02130802534520626
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29230809211730957,0.5151565670967102,-6.641253946781944e-08,0.272897869348526,0.4885101914405823,-0.003620063653215766,0.2595809996128082,0.44923868775367737,-0.007954131811857224,0.24342960119247437,0.42292696237564087,-0.013779232278466225,0.22703030705451965,0.40210381150245667,-0.01881079003214836,0.2979280352592468,0.4047324061393738,0.004070137161761522,0.29159653186798096,0.36352160573005676,-0.003915132489055395,0.2766371965408325,0.3403918147087097,-0.011720653623342514,0.2621341943740845,0.3305590748786926,-0.01654408685863018,0.3028266429901123,0.40361377596855164,3.410833596717566e-05,0.29497194290161133,0.3541644811630249,-0.00662692915648222,0.27690982818603516,0.3324721157550812,-0.01153409294784069,0.261521577835083,0.3237800598144531,-0.014459864236414433,0.3046334385871887,0.40521150827407837,-0.005968020763248205,0.29836758971214294,0.35227978229522705,-0.01247541792690754,0.2805875241756439,0.33034199476242065,-0.015063202008605003,0.2651120126247406,0.32280242443084717,-0.01567501202225685,0.30186009407043457,0.40989699959754944,-0.012875073589384556,0.29779019951820374,0.3643181025981903,-0.01768682524561882,0.28624942898750305,0.3425178825855255,-0.019145004451274872,0.2746795117855072,0.33293595910072327,-0.01938437484204769
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2896902859210968,0.5135005116462708,-4.675467124570787e-08,0.2721540033817291,0.48692142963409424,-0.004256342072039843,0.2591325342655182,0.4476076662540436,-0.008824499323964119,0.24270430207252502,0.42108431458473206,-0.014677785336971283,0.22612813115119934,0.4015353322029114,-0.01981101930141449,0.29445013403892517,0.40403997898101807,0.0026368065737187862,0.2898719906806946,0.3614167869091034,-0.0066969688050448895,0.2751152515411377,0.339233934879303,-0.015364304184913635,0.2603614330291748,0.33098477125167847,-0.020716477185487747,0.2991725206375122,0.40266895294189453,-0.001119306543841958,0.29332736134529114,0.35300084948539734,-0.009895255789160728,0.27602794766426086,0.33157801628112793,-0.016121981665492058,0.2603345811367035,0.3233396112918854,-0.019598446786403656,0.3017996847629547,0.4044736623764038,-0.006795489229261875,0.2964133620262146,0.3519671559333801,-0.014799246564507484,0.2797124981880188,0.33030515909194946,-0.018104227259755135,0.26444241404533386,0.32249391078948975,-0.01894880272448063,0.3012947738170624,0.4103854298591614,-0.01333752553910017,0.2968303859233856,0.3669891059398651,-0.019252024590969086,0.2859942615032196,0.34497109055519104,-0.0213690847158432,0.2750496566295624,0.33380991220474243,-0.021912623196840286
