frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3744884729385376,0.8358461856842041,-1.666837761149509e-07,0.32715311646461487,0.7873410582542419,-0.0028701582923531532,0.3033231794834137,0.7418180704116821,-0.01450296863913536,0.2792179584503174,0.7112762928009033,-0.02913914993405342,0.25827252864837646,0.6833224296569824,-0.045775577425956726,0.36620160937309265,0.651281476020813,-0.013526089489459991,0.34558913111686707,0.5695362091064453,-0.024428198114037514,0.338116854429245,0.5264562368392944,-0.03259246051311493,0.33086493611335754,0.48846572637557983,-0.03928619995713234,0.3715997338294983,0.6613712906837463,-0.02138129062950611,0.31354793906211853,0.600608229637146,-0.03997743874788284,0.2836154103279114,0.6288077235221863,-0.048361361026763916,0.27139726281166077,0.659942626953125,-0.052113331854343414,0.36608266830444336,0.6805063486099243,-0.029138607904314995,0.3148012161254883,0.6175674796104431,-0.0456690713763237,0.28535401821136475,0.6377818584442139,-0.04732371121644974,0.27023398876190186,0.6652510762214661,-0.04579399898648262,0.35345974564552307,0.7049992084503174,-0.03706620633602142,0.31979840993881226,0.6538866758346558,-0.048905033618211746,0.298970103263855,0.6464457511901855,-0.050095103681087494,0.2840913236141205,0.6518259048461914,-0.04874260723590851
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3744884729385376,0.8358461856842041,-1.666837761149509e-07,0.32715311646461487,0.7873410582542419,-0.0028701582923531532,0.3033231794834137,0.7418180704116821,-0.01450296863913536,0.2792179584503174,0.7112762928009033,-0.02913914993405342,0.25827252864837646,0.6833224296569824,-0.045775577425956726,0.36620160937309265,0.651281476020813,-0.013526089489459991,0.34558913111686707,0.5695362091064453,-0.024428198114037514,0.338116854429245,0.5264562368392944,-0.03259246051311493,0.33086493611335754,0.48846572637557983,-0.03928619995713234,0.3715997338294983,0.6613712906837463,-0.02138129062950611,0.31354793906211853,0.600608229637146,-0.03997743874788284,0.2836154103279114,0.6288077235221863,-0.048361361026763916,0.27139726281166077,0.659942626953125,-0.052113331854343414,0.36608266830444336,0.6805063486099243,-0.029138607904314995,0.3148012161254883,0.6175674796104431,-0.0456690713763237,0.28535401821136475,0.6377818584442139,-0.04732371121644974,0.27023398876190186,0.6652510762214661,-0.04579399898648262,0.35345974564552307,0.7049992084503174,-0.03706620633602142,0.31979840993881226,0.6538866758346558,-0.048905033618211746,0.298970103263855,0.6464457511901855,-0.050095103681087494,0.2840913236141205,0.6518259048461914,-0.04874260723590851
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37558305263519287,0.8370859622955322,-1.7842039312654379e-07,0.32834070920944214,0.7860057950019836,-0.0026653658133000135,0.3053619861602783,0.7427440285682678,-0.015205546282231808,0.28066375851631165,0.7127485275268555,-0.030889861285686493,0.2592027485370636,0.6823593974113464,-0.04884014278650284,0.36714038252830505,0.6519402861595154,-0.016006644815206528,0.346809059381485,0.5674149990081787,-0.02766166813671589,0.3395863175392151,0.5248167514801025,-0.0366409532725811,0.333066463470459,0.48641809821128845,-0.04407356306910515,0.37220972776412964,0.6620253920555115,-0.024213291704654694,0.314174622297287,0.6022354960441589,-0.04420611634850502,0.284175306558609,0.6313486695289612,-0.0538535937666893,0.27173474431037903,0.6618850231170654,-0.05877755209803581,0.3661459982395172,0.6812360286712646,-0.032057106494903564,0.3144068121910095,0.6166685819625854,-0.04957488924264908,0.2853591740131378,0.6372677087783813,-0.05190305411815643,0.27007588744163513,0.6642508506774902,-0.05114723742008209,0.35276904702186584,0.7049412131309509,-0.03994566202163696,0.31918370723724365,0.6523619890213013,-0.05237714201211929,0.29975250363349915,0.6455716490745544,-0.05382904037833214,0.2858735918998718,0.6509573459625244,-0.05295291543006897
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37580418586730957,0.8354279398918152,-1.629435502081833e-07,0.32778748869895935,0.7848877906799316,-0.003224482061341405,0.30430009961128235,0.7409443855285645,-0.015726430341601372,0.2799975872039795,0.7108315825462341,-0.03124539740383625,0.2587764263153076,0.682426929473877,-0.0489875003695488,0.3676530420780182,0.6515370011329651,-0.015501860529184341,0.34697094559669495,0.5677382349967957,-0.026456382125616074,0.33931851387023926,0.5243386626243591,-0.03497772291302681,0.332351416349411,0.48534125089645386,-0.04212185740470886,0.3723987340927124,0.6616015434265137,-0.02309432625770569,0.3140893578529358,0.6036037802696228,-0.042849935591220856,0.28473591804504395,0.6317278146743774,-0.05255281925201416,0.2727579176425934,0.661766767501831,-0.05732811987400055,0.3660779595375061,0.6806588768959045,-0.030285434797406197,0.314704567193985,0.6175675988197327,-0.04739674553275108,0.28611207008361816,0.6373369693756104,-0.04977933689951897,0.2710922360420227,0.6637039184570312,-0.04892721027135849,0.35241106152534485,0.7042599320411682,-0.03757734224200249,0.31862518191337585,0.6532609462738037,-0.04937253147363663,0.2991187870502472,0.6466001868247986,-0.05054977163672447,0.2851707339286804,0.6519085764884949,-0.04938463494181633
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37580418586730957,0.8354279398918152,-1.629435502081833e-07,0.32778748869895935,0.7848877906799316,-0.003224482061341405,0.30430009961128235,0.7409443855285645,-0.015726430341601372,0.2799975872039795,0.7108315825462341,-0.03124539740383625,0.2587764263153076,0.682426929473877,-0.0489875003695488,0.3676530420780182,0.6515370011329651,-0.015501860529184341,0.34697094559669495,0.5677382349967957,-0.026456382125616074,0.33931851387023926,0.5243386626243591,-0.03497772291302681,0.332351416349411,0.48534125089645386,-0.04212185740470886,0.3723987340927124,0.6616015434265137,-0.02309432625770569,0.3140893578529358,0.6036037802696228,-0.042849935591220856,0.28473591804504395,0.6317278146743774,-0.05255281925201416,0.2727579176425934,0.661766767501831,-0.05732811987400055,0.3660779595375061,0.6806588768959045,-0.030285434797406197,0.314704567193985,0.6175675988197327,-0.04739674553275108,0.28611207008361816,0.6373369693756104,-0.04977933689951897,0.2710922360420227,0.6637039184570312,-0.04892721027135849,0.35241106152534485,0.7042599320411682,-0.03757734224200249,0.31862518191337585,0.6532609462738037,-0.04937253147363663,0.2991187870502472,0.6466001868247986,-0.05054977163672447,0.2851707339286804,0.6519085764884949,-0.04938463494181633
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3759746849536896,0.8352791666984558,-1.3718019431507855e-07,0.32877248525619507,0.7885292172431946,-0.006393581163138151,0.30393654108047485,0.7431466579437256,-0.01962580345571041,0.2797379791736603,0.7123282551765442,-0.0349249430000782,0.2594147026538849,0.6843836307525635,-0.052127812057733536,0.36801081895828247,0.6530406475067139,-0.018610317260026932,0.34606480598449707,0.5698984265327454,-0.03004603274166584,0.33822816610336304,0.525543749332428,-0.039078645408153534,0.33063438534736633,0.48658180236816406,-0.04644753411412239,0.37155038118362427,0.6620896458625793,-0.0242043174803257,0.3135574758052826,0.6002553105354309,-0.04323272034525871,0.28506603837013245,0.6267502903938293,-0.0526403971016407,0.2728455066680908,0.6579041481018066,-0.05732828006148338,0.365138977766037,0.6810774207115173,-0.029551271349191666,0.3147616982460022,0.6160786747932434,-0.04614948853850365,0.28671568632125854,0.6335394382476807,-0.04873122274875641,0.2710270881652832,0.6601513624191284,-0.04797331988811493,0.3515927195549011,0.7059229612350464,-0.03521939367055893,0.31799760460853577,0.6526973843574524,-0.04676384478807449,0.29809656739234924,0.6469436883926392,-0.04783378168940544,0.2832251787185669,0.6544060707092285,-0.04647783562541008
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37329304218292236,0.836386501789093,-1.6743771880101121e-07,0.32748904824256897,0.7863948345184326,-0.0012976459693163633,0.3046865463256836,0.7410317659378052,-0.012333785183727741,0.2800808250904083,0.7102539539337158,-0.02656363882124424,0.25808945298194885,0.6839614510536194,-0.04314696416258812,0.36710700392723083,0.6524477601051331,-0.012966237962245941,0.3452358543872833,0.570103108882904,-0.0225964542478323,0.33694812655448914,0.5255845189094543,-0.03036348521709442,0.3297809660434723,0.4861946702003479,-0.03714242950081825,0.3720192611217499,0.6626386046409607,-0.020908450707793236,0.3126281201839447,0.5994755625724792,-0.038331110030412674,0.28466084599494934,0.628715991973877,-0.0467560850083828,0.27468520402908325,0.6619827747344971,-0.050811152905225754,0.3656468987464905,0.6812935471534729,-0.028290141373872757,0.31238558888435364,0.6163934469223022,-0.04383043572306633,0.28362107276916504,0.6378141045570374,-0.04540621116757393,0.2693691849708557,0.6665840744972229,-0.044078558683395386,0.3513326048851013,0.7044640779495239,-0.03563172370195389,0.315973699092865,0.6513066291809082,-0.046457864344120026,0.2956731915473938,0.6479024291038513,-0.0469052717089653,0.28160104155540466,0.6574890613555908,-0.04527363181114197
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37329304218292236,0.836386501789093,-1.6743771880101121e-07,0.32748904824256897,0.7863948345184326,-0.0012976459693163633,0.3046865463256836,0.7410317659378052,-0.012333785183727741,0.2800808250904083,0.7102539539337158,-0.02656363882124424,0.25808945298194885,0.6839614510536194,-0.04314696416258812,0.36710700392723083,0.6524477601051331,-0.012966237962245941,0.3452358543872833,0.570103108882904,-0.0225964542478323,0.33694812655448914,0.5255845189094543,-0.03036348521709442,0.3297809660434723,0.4861946702003479,-0.03714242950081825,0.3720192611217499,0.6626386046409607,-0.020908450707793236,0.3126281201839447,0.5994755625724792,-0.038331110030412674,0.28466084599494934,0.628715991973877,-0.0467560850083828,0.27468520402908325,0.6619827747344971,-0.050811152905225754,0.3656468987464905,0.6812935471534729,-0.028290141373872757,0.31238558888435364,0.6163934469223022,-0.04383043572306633,0.28362107276916504,0.6378141045570374,-0.04540621116757393,0.2693691849708557,0.6665840744972229,-0.044078558683395386,0.3513326048851013,0.7044640779495239,-0.03563172370195389,0.315973699092865,0.6513066291809082,-0.046457864344120026,0.2956731915473938,0.6479024291038513,-0.0469052717089653,0.28160104155540466,0.6574890613555908,-0.04527363181114197
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3739440143108368,0.8375366926193237,-1.794436315094572e-07,0.32802435755729675,0.7883602976799011,-0.0006226838449947536,0.3049922287464142,0.742745578289032,-0.011282626539468765,0.2802673578262329,0.7117620706558228,-0.025334849953651428,0.25846347212791443,0.6844850182533264,-0.04183775559067726,0.3666566014289856,0.652725875377655,-0.012142613530158997,0.34460288286209106,0.5682223439216614,-0.021449068561196327,0.3365292549133301,0.5234534740447998,-0.02902333438396454,0.3293575048446655,0.48359382152557373,-0.0357254296541214,0.37169086933135986,0.6626708507537842,-0.020385881885886192,0.3121786415576935,0.6004595160484314,-0.03766847029328346,0.2835462689399719,0.6296666860580444,-0.04610219970345497,0.2726793885231018,0.6625922322273254,-0.05024905875325203,0.3655298054218292,0.6807822585105896,-0.028038159012794495,0.31211262941360474,0.6163733005523682,-0.043373268097639084,0.2833161950111389,0.6379696726799011,-0.0450688973069191,0.2688070833683014,0.6671257615089417,-0.04394888877868652,0.3514513373374939,0.7031021118164062,-0.035601820796728134,0.3151303231716156,0.6502732038497925,-0.04648382589221001,0.2946305274963379,0.6484507918357849,-0.047027431428432465,0.2805878520011902,0.6598413586616516,-0.045470669865608215
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37316250801086426,0.8371008038520813,-1.9330886402713077e-07,0.32693183422088623,0.7852374315261841,-0.0005641360185109079,0.30481743812561035,0.7417663335800171,-0.011027379892766476,0.2803337872028351,0.7117447853088379,-0.02475586347281933,0.2588939070701599,0.6846489310264587,-0.04104537144303322,0.3672598600387573,0.6534905433654785,-0.012948905117809772,0.3455434739589691,0.5707467794418335,-0.022191474214196205,0.33721211552619934,0.526096522808075,-0.029893260449171066,0.3300967812538147,0.48537737131118774,-0.03672286495566368,0.37270691990852356,0.6632207036018372,-0.020848365500569344,0.3138568103313446,0.6032218337059021,-0.037852801382541656,0.2856248617172241,0.6317408680915833,-0.04623551666736603,0.27527713775634766,0.6640487909317017,-0.050557129085063934,0.36640578508377075,0.681158721446991,-0.028017228469252586,0.3134458065032959,0.6181775331497192,-0.04324387386441231,0.28441929817199707,0.6392483711242676,-0.04501990228891373,0.269773930311203,0.6680388450622559,-0.04410238191485405,0.3517533540725708,0.7028412818908691,-0.03501151129603386,0.31477072834968567,0.6502231359481812,-0.045569729059934616,0.2934209108352661,0.6498345732688904,-0.04575130715966225,0.2785601019859314,0.6628354787826538,-0.04406224563717842
