frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5547714233398438,0.7073138952255249,-1.5965735400413905e-08,0.521643877029419,0.6798300743103027,-0.008714386261999607,0.49602529406547546,0.6341619491577148,-0.01970582827925682,0.47631222009658813,0.6036127209663391,-0.03215371072292328,0.4626021683216095,0.5738187432289124,-0.04387062415480614,0.531533420085907,0.5457037091255188,-0.009374971501529217,0.50437331199646,0.5224987864494324,-0.03440731018781662,0.48414725065231323,0.5424039363861084,-0.05656740441918373,0.4711036682128906,0.5656183958053589,-0.06842301040887833,0.5477727055549622,0.5375173687934875,-0.015683919191360474,0.5390965938568115,0.4616509974002838,-0.03354678675532341,0.5294931530952454,0.41436561942100525,-0.04696239158511162,0.5191907286643982,0.3764949142932892,-0.05447150021791458,0.5652264356613159,0.5485817193984985,-0.024571824818849564,0.565091609954834,0.46949347853660583,-0.03785284608602524,0.5629651546478271,0.422995388507843,-0.045232366770505905,0.5613184571266174,0.38327932357788086,-0.048488616943359375,0.5801801681518555,0.5737466812133789,-0.03455577418208122,0.5892788767814636,0.5157778263092041,-0.040607087314128876,0.5932343602180481,0.4784688949584961,-0.04015788435935974,0.5968576669692993,0.44255995750427246,-0.03864425793290138
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5547714233398438,0.7073138952255249,-1.5965735400413905e-08,0.521643877029419,0.6798300743103027,-0.008714386261999607,0.49602529406547546,0.6341619491577148,-0.01970582827925682,0.47631222009658813,0.6036127209663391,-0.03215371072292328,0.4626021683216095,0.5738187432289124,-0.04387062415480614,0.531533420085907,0.5457037091255188,-0.009374971501529217,0.50437331199646,0.5224987864494324,-0.03440731018781662,0.48414725065231323,0.5424039363861084,-0.05656740441918373,0.4711036682128906,0.5656183958053589,-0.06842301040887833,0.5477727055549622,0.5375173687934875,-0.015683919191360474,0.5390965938568115,0.4616509974002838,-0.03354678675532341,0.5294931530952454,0.41436561942100525,-0.04696239158511162,0.5191907286643982,0.3764949142932892,-0.05447150021791458,0.5652264356613159,0.5485817193984985,-0.024571824818849564,0.565091609954834,0.46949347853660583,-0.03785284608602524,0.5629651546478271,0.422995388507843,-0.045232366770505905,0.5613184571266174,0.38327932357788086,-0.048488616943359375,0.5801801681518555,0.5737466812133789,-0.03455577418208122,0.5892788767814636,0.5157778263092041,-0.040607087314128876,0.5932343602180481,0.4784688949584961,-0.04015788435935974,0.5968576669692993,0.44255995750427246,-0.03864425793290138
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5548160672187805,0.7067848443984985,-1.7013869424431505e-08,0.5214821100234985,0.678191065788269,-0.008629265241324902,0.49615204334259033,0.6343427896499634,-0.019863363355398178,0.47611498832702637,0.6054608821868896,-0.03240583837032318,0.46255791187286377,0.5757808089256287,-0.04430378973484039,0.5321959257125854,0.5443628430366516,-0.011012223549187183,0.5034676790237427,0.5236018896102905,-0.03508942946791649,0.4831361174583435,0.5438336730003357,-0.05657229200005531,0.46966955065727234,0.5659790635108948,-0.06823128461837769,0.5479378700256348,0.5374826192855835,-0.01705489493906498,0.5388720631599426,0.4618399143218994,-0.03510039299726486,0.5285487174987793,0.4159652590751648,-0.04889314994215965,0.5168429017066956,0.3801576495170593,-0.05668143555521965,0.5650572180747986,0.5498688817024231,-0.02524142526090145,0.5647308826446533,0.47111380100250244,-0.03812794387340546,0.5628703236579895,0.4235687851905823,-0.04584304243326187,0.5606844425201416,0.38421159982681274,-0.049512021243572235,0.579388439655304,0.5756469964981079,-0.03442712873220444,0.588833749294281,0.5176188349723816,-0.04030084237456322,0.5928654670715332,0.479642391204834,-0.040159326046705246,0.5963655710220337,0.4438527226448059,-0.038968075066804886
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5557336807250977,0.7085729837417603,-2.0328156935534025e-08,0.5220366716384888,0.6788833737373352,-0.00834579300135374,0.49611204862594604,0.6349766254425049,-0.0196650680154562,0.4757746756076813,0.6054266691207886,-0.032292500138282776,0.4617299437522888,0.5756493806838989,-0.044193074107170105,0.532295823097229,0.5450529456138611,-0.010941329412162304,0.5027692317962646,0.5246384143829346,-0.03476006165146828,0.483233243227005,0.5453970432281494,-0.05582455173134804,0.4702714681625366,0.5688616633415222,-0.06715895235538483,0.5482513308525085,0.5382624268531799,-0.017122121527791023,0.5377716422080994,0.4617055356502533,-0.03446950390934944,0.5276067852973938,0.4148682653903961,-0.047706685960292816,0.5161693692207336,0.37878572940826416,-0.05537208914756775,0.5654062628746033,0.5508409738540649,-0.02543186955153942,0.564724862575531,0.47148919105529785,-0.03776245564222336,0.5622513294219971,0.4240277409553528,-0.04484190791845322,0.5598164200782776,0.3852173089981079,-0.048302263021469116,0.5796549320220947,0.5766605734825134,-0.034750763326883316,0.5884630084037781,0.5181171298027039,-0.040037255734205246,0.5919227600097656,0.4801821708679199,-0.039329297840595245,0.5950786471366882,0.4445101320743561,-0.03788948804140091
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5557336807250977,0.7085729837417603,-2.0328156935534025e-08,0.5220366716384888,0.6788833737373352,-0.00834579300135374,0.49611204862594604,0.6349766254425049,-0.0196650680154562,0.4757746756076813,0.6054266691207886,-0.032292500138282776,0.4617299437522888,0.5756493806838989,-0.044193074107170105,0.532295823097229,0.5450529456138611,-0.010941329412162304,0.5027692317962646,0.5246384143829346,-0.03476006165146828,0.483233243227005,0.5453970432281494,-0.05582455173134804,0.4702714681625366,0.5688616633415222,-0.06715895235538483,0.5482513308525085,0.5382624268531799,-0.017122121527791023,0.5377716422080994,0.4617055356502533,-0.03446950390934944,0.5276067852973938,0.4148682653903961,-0.047706685960292816,0.5161693692207336,0.37878572940826416,-0.05537208914756775,0.5654062628746033,0.5508409738540649,-0.02543186955153942,0.564724862575531,0.47148919105529785,-0.03776245564222336,0.5622513294219971,0.4240277409553528,-0.04484190791845322,0.5598164200782776,0.3852173089981079,-0.048302263021469116,0.5796549320220947,0.5766605734825134,-0.034750763326883316,0.5884630084037781,0.5181171298027039,-0.040037255734205246,0.5919227600097656,0.4801821708679199,-0.039329297840595245,0.5950786471366882,0.4445101320743561,-0.03788948804140091
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5557422041893005,0.7079863548278809,-2.6075083425780576e-08,0.5224417448043823,0.6800698041915894,-0.008612507954239845,0.49617117643356323,0.6359371542930603,-0.01983947865664959,0.4759331941604614,0.6054021716117859,-0.032500121742486954,0.46178966760635376,0.5745749473571777,-0.044384364038705826,0.5320537090301514,0.5467461943626404,-0.009907593950629234,0.5033729672431946,0.5239289999008179,-0.03503584861755371,0.48362571001052856,0.5424616932868958,-0.05727708339691162,0.4704238772392273,0.5647695064544678,-0.069231778383255,0.5477774143218994,0.5388624668121338,-0.01616770215332508,0.5376641154289246,0.46219325065612793,-0.03397086635231972,0.5276359915733337,0.4150521755218506,-0.047679509967565536,0.5163544416427612,0.37783050537109375,-0.05563635379076004,0.5653222799301147,0.5498316287994385,-0.0248935054987669,0.5636435151100159,0.46975716948509216,-0.03766516596078873,0.5612639784812927,0.4230582118034363,-0.04508499428629875,0.5590099692344666,0.3836577534675598,-0.048738449811935425,0.580403208732605,0.5740030407905579,-0.03473176807165146,0.5887608528137207,0.5157163143157959,-0.04047997295856476,0.5926600694656372,0.4786566495895386,-0.0402064248919487,0.5962796211242676,0.44268330931663513,-0.039023302495479584
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5557422041893005,0.7079863548278809,-2.6075083425780576e-08,0.5224417448043823,0.6800698041915894,-0.008612507954239845,0.49617117643356323,0.6359371542930603,-0.01983947865664959,0.4759331941604614,0.6054021716117859,-0.032500121742486954,0.46178966760635376,0.5745749473571777,-0.044384364038705826,0.5320537090301514,0.5467461943626404,-0.009907593950629234,0.5033729672431946,0.5239289999008179,-0.03503584861755371,0.48362571001052856,0.5424616932868958,-0.05727708339691162,0.4704238772392273,0.5647695064544678,-0.069231778383255,0.5477774143218994,0.5388624668121338,-0.01616770215332508,0.5376641154289246,0.46219325065612793,-0.03397086635231972,0.5276359915733337,0.4150521755218506,-0.047679509967565536,0.5163544416427612,0.37783050537109375,-0.05563635379076004,0.5653222799301147,0.5498316287994385,-0.0248935054987669,0.5636435151100159,0.46975716948509216,-0.03766516596078873,0.5612639784812927,0.4230582118034363,-0.04508499428629875,0.5590099692344666,0.3836577534675598,-0.048738449811935425,0.580403208732605,0.5740030407905579,-0.03473176807165146,0.5887608528137207,0.5157163143157959,-0.04047997295856476,0.5926600694656372,0.4786566495895386,-0.0402064248919487,0.5962796211242676,0.44268330931663513,-0.039023302495479584
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5553158521652222,0.7103724479675293,-2.0942509948440602e-08,0.5222920775413513,0.6833003759384155,-0.009480978362262249,0.49679434299468994,0.6369259357452393,-0.02042507193982601,0.4766107201576233,0.6059163808822632,-0.03277541324496269,0.46379125118255615,0.575049638748169,-0.04425504058599472,0.531578779220581,0.5481016039848328,-0.008272423408925533,0.5046112537384033,0.5229356288909912,-0.033004481345415115,0.4841368794441223,0.5413985252380371,-0.05485732853412628,0.4707745611667633,0.5637750625610352,-0.06655852496623993,0.5479711294174194,0.5396936535835266,-0.014240782707929611,0.5383234620094299,0.46332383155822754,-0.03170447051525116,0.5279656052589417,0.4168180227279663,-0.04497974365949631,0.517053484916687,0.37961041927337646,-0.05244138836860657,0.5655775666236877,0.5504695177078247,-0.023017628118395805,0.5639700293540955,0.4725475311279297,-0.03614579886198044,0.5611228346824646,0.4254884123802185,-0.04364290460944176,0.558847963809967,0.38527190685272217,-0.0471133217215538,0.5805647373199463,0.5751141905784607,-0.03302332013845444,0.588839054107666,0.5174840688705444,-0.03927474468946457,0.5926782488822937,0.4805421829223633,-0.0392027348279953,0.5960996150970459,0.4451286792755127,-0.03806689754128456
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5537382960319519,0.7037593722343445,2.002716215088185e-08,0.5207513570785522,0.6789053082466125,-0.010621694847941399,0.495111346244812,0.6364054083824158,-0.022729545831680298,0.47577983140945435,0.6063829064369202,-0.0358053483068943,0.46306341886520386,0.5751808881759644,-0.048169609159231186,0.5294073820114136,0.5475142598152161,-0.012375165708363056,0.5046887397766113,0.5225439667701721,-0.03677384555339813,0.4850655198097229,0.54300856590271,-0.05764279514551163,0.47201961278915405,0.5653945803642273,-0.06881093233823776,0.5464131236076355,0.5379164814949036,-0.017896220088005066,0.5368992686271667,0.4622345268726349,-0.03518220782279968,0.5261415243148804,0.4158943295478821,-0.0481211394071579,0.5156645774841309,0.37790557742118835,-0.05577575042843819,0.5644950866699219,0.548578679561615,-0.02591482549905777,0.5628644824028015,0.47116032242774963,-0.03943655267357826,0.5596132278442383,0.42240962386131287,-0.047307517379522324,0.5576296448707581,0.38053205609321594,-0.05138988047838211,0.5799416303634644,0.573657751083374,-0.035031720995903015,0.5893269181251526,0.5156295895576477,-0.04165809601545334,0.5937338471412659,0.47888320684432983,-0.041700348258018494,0.5978994369506836,0.44456127285957336,-0.0408964529633522
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5544937252998352,0.7084134817123413,1.5234615791115402e-09,0.521256685256958,0.6813035607337952,-0.009684526361525059,0.49541816115379333,0.6374595165252686,-0.021311946213245392,0.4760591685771942,0.6075579524040222,-0.03416594862937927,0.46331119537353516,0.576287567615509,-0.046157803386449814,0.5303394198417664,0.5482660531997681,-0.0107148177921772,0.5052524209022522,0.5227171778678894,-0.03507361188530922,0.4849754869937897,0.5429661273956299,-0.05602605268359184,0.471397340297699,0.5654873847961426,-0.06719567626714706,0.5469574332237244,0.5395937561988831,-0.016648152843117714,0.5376114249229431,0.46195080876350403,-0.03454459458589554,0.5264940857887268,0.41563963890075684,-0.04783255606889725,0.5156933069229126,0.37813907861709595,-0.055328886955976486,0.5648958683013916,0.5504997372627258,-0.025017092004418373,0.5631704330444336,0.47243088483810425,-0.03839259222149849,0.5596908330917358,0.42411577701568604,-0.04586489498615265,0.5573646426200867,0.3827170729637146,-0.04937666654586792,0.5803669095039368,0.575537919998169,-0.034501813352108,0.5890042781829834,0.517044186592102,-0.04056858643889427,0.5924128293991089,0.4791770577430725,-0.040110211819410324,0.5956490635871887,0.44337883591651917,-0.03878718987107277
