frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944507122039795,0.5690000653266907,-4.4841306134912884e-07,0.5542103052139282,0.5418398380279541,-0.007611722219735384,0.5258477330207825,0.4815627634525299,-0.012136156670749187,0.5288557410240173,0.41981303691864014,-0.020426010712981224,0.5458115339279175,0.37985149025917053,-0.02610613778233528,0.5171067118644714,0.43066903948783875,0.004993309732526541,0.4964147210121155,0.36552825570106506,-0.015059585683047771,0.5045940279960632,0.4091392159461975,-0.024861237034201622,0.5115742683410645,0.45110583305358887,-0.025241753086447716,0.5394031405448914,0.41430550813674927,0.0015951726818457246,0.5229076147079468,0.3546079993247986,-0.023167669773101807,0.5323669910430908,0.4183335304260254,-0.03239896148443222,0.5371450185775757,0.4669916033744812,-0.03079790249466896,0.5646645426750183,0.40225788950920105,-0.005093026906251907,0.5526708364486694,0.35077181458473206,-0.027393219992518425,0.5560455918312073,0.4117741882801056,-0.029843885451555252,0.5572981834411621,0.46181491017341614,-0.022689107805490494,0.5895645618438721,0.3933901786804199,-0.012553518638014793,0.5809855461120605,0.3249725103378296,-0.020995931699872017,0.5774227976799011,0.2809847295284271,-0.02220119535923004,0.5715398788452148,0.24149563908576965,-0.019716842100024223
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5940937995910645,0.5612044930458069,-4.0826267877491773e-07,0.5557906031608582,0.5313007831573486,-0.008709920570254326,0.5298393964767456,0.471516489982605,-0.014440244995057583,0.5334681868553162,0.41016483306884766,-0.023632096126675606,0.5483598709106445,0.36639633774757385,-0.030849285423755646,0.5213698148727417,0.42292138934135437,0.002319991821423173,0.5003787875175476,0.3559759855270386,-0.018063915893435478,0.5061140060424805,0.39207491278648376,-0.02916094660758972,0.5115606784820557,0.43448254466056824,-0.03051162324845791,0.5428946614265442,0.4072548747062683,-0.0005559503915719688,0.5276932716369629,0.34741055965423584,-0.025841673836112022,0.5344118475914001,0.4071102440357208,-0.03652722015976906,0.5380881428718567,0.45852339267730713,-0.036090731620788574,0.5678796768188477,0.3963156044483185,-0.006595994345843792,0.5576266646385193,0.34098854660987854,-0.02930339053273201,0.5589880347251892,0.39665815234184265,-0.033418621867895126,0.5598253011703491,0.447607159614563,-0.02756878361105919,0.5922583937644958,0.3893522322177887,-0.01333899050951004,0.5841602087020874,0.3193920850753784,-0.022391173988580704,0.5804840922355652,0.27428141236305237,-0.024455562233924866,0.5754426717758179,0.23626533150672913,-0.02273324877023697
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5940937995910645,0.5612044930458069,-4.0826267877491773e-07,0.5557906031608582,0.5313007831573486,-0.008709920570254326,0.5298393964767456,0.471516489982605,-0.014440244995057583,0.5334681868553162,0.41016483306884766,-0.023632096126675606,0.5483598709106445,0.36639633774757385,-0.030849285423755646,0.5213698148727417,0.42292138934135437,0.002319991821423173,0.5003787875175476,0.3559759855270386,-0.018063915893435478,0.5061140060424805,0.39207491278648376,-0.02916094660758972,0.5115606784820557,0.43448254466056824,-0.03051162324845791,0.5428946614265442,0.4072548747062683,-0.0005559503915719688,0.5276932716369629,0.34741055965423584,-0.025841673836112022,0.5344118475914001,0.4071102440357208,-0.03652722015976906,0.5380881428718567,0.45852339267730713,-0.036090731620788574,0.5678796768188477,0.3963156044483185,-0.006595994345843792,0.5576266646385193,0.34098854660987854,-0.02930339053273201,0.5589880347251892,0.39665815234184265,-0.033418621867895126,0.5598253011703491,0.447607159614563,-0.02756878361105919,0.5922583937644958,0.3893522322177887,-0.01333899050951004,0.5841602087020874,0.3193920850753784,-0.022391173988580704,0.5804840922355652,0.27428141236305237,-0.024455562233924866,0.5754426717758179,0.23626533150672913,-0.02273324877023697
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598097562789917,0.557434618473053,-4.2561541135910375e-07,0.5573018789291382,0.5296066403388977,-0.011041508056223392,0.5299121737480164,0.46727830171585083,-0.01665116287767887,0.5349141359329224,0.40314537286758423,-0.02541036158800125,0.553955614566803,0.36424094438552856,-0.031310319900512695,0.5211450457572937,0.41666626930236816,0.0025841982569545507,0.5000057816505432,0.3511945307254791,-0.017696483060717583,0.5096579194068909,0.3976280689239502,-0.027220455929636955,0.5181231498718262,0.4391337037086487,-0.02745704911649227,0.5443979501724243,0.4007074534893036,0.0008311280398629606,0.5301129221916199,0.341927707195282,-0.024532843381166458,0.5388200283050537,0.4039943814277649,-0.034019872546195984,0.5424531698226929,0.44909894466400146,-0.03262687847018242,0.5695177316665649,0.38931116461753845,-0.004558782558888197,0.5612847208976746,0.3395150601863861,-0.02821524068713188,0.5639907717704773,0.3988696336746216,-0.03166734427213669,0.5640701651573181,0.44584184885025024,-0.024888861924409866,0.5934928059577942,0.38113194704055786,-0.010867375880479813,0.5864642858505249,0.3137608766555786,-0.01983550935983658,0.5844337344169617,0.26875174045562744,-0.02173338644206524,0.5802133679389954,0.22874923050403595,-0.019694430753588676
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598097562789917,0.557434618473053,-4.2561541135910375e-07,0.5573018789291382,0.5296066403388977,-0.011041508056223392,0.5299121737480164,0.46727830171585083,-0.01665116287767887,0.5349141359329224,0.40314537286758423,-0.02541036158800125,0.553955614566803,0.36424094438552856,-0.031310319900512695,0.5211450457572937,0.41666626930236816,0.0025841982569545507,0.5000057816505432,0.3511945307254791,-0.017696483060717583,0.5096579194068909,0.3976280689239502,-0.027220455929636955,0.5181231498718262,0.4391337037086487,-0.02745704911649227,0.5443979501724243,0.4007074534893036,0.0008311280398629606,0.5301129221916199,0.341927707195282,-0.024532843381166458,0.5388200283050537,0.4039943814277649,-0.034019872546195984,0.5424531698226929,0.44909894466400146,-0.03262687847018242,0.5695177316665649,0.38931116461753845,-0.004558782558888197,0.5612847208976746,0.3395150601863861,-0.02821524068713188,0.5639907717704773,0.3988696336746216,-0.03166734427213669,0.5640701651573181,0.44584184885025024,-0.024888861924409866,0.5934928059577942,0.38113194704055786,-0.010867375880479813,0.5864642858505249,0.3137608766555786,-0.01983550935983658,0.5844337344169617,0.26875174045562744,-0.02173338644206524,0.5802133679389954,0.22874923050403595,-0.019694430753588676
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5990155935287476,0.5776227712631226,-3.952088718506275e-07,0.5607327818870544,0.5424284934997559,-0.013250485062599182,0.535743772983551,0.47953149676322937,-0.021442783996462822,0.5427133440971375,0.41528844833374023,-0.031888265162706375,0.5624293684959412,0.3746887743473053,-0.03940943256020546,0.5244386196136475,0.4168531894683838,-0.003056497545912862,0.507264256477356,0.3516620099544525,-0.02400677092373371,0.5175571441650391,0.3985733389854431,-0.03515130281448364,0.5244729518890381,0.44248276948928833,-0.03743197023868561,0.547795832157135,0.40184298157691956,-0.0047309184446930885,0.534307599067688,0.34242671728134155,-0.030732881277799606,0.5458561778068542,0.4041873514652252,-0.04146414250135422,0.549250602722168,0.4526843726634979,-0.041865795850753784,0.5734966397285461,0.39429768919944763,-0.0098611144348979,0.5659121870994568,0.34195876121520996,-0.03467341884970665,0.5709617733955383,0.39905112981796265,-0.039076268672943115,0.5707046389579773,0.44674623012542725,-0.03366433084011078,0.5975667238235474,0.3914780020713806,-0.015974802896380424,0.5946939587593079,0.3232026696205139,-0.027945293113589287,0.5966325402259827,0.2766023278236389,-0.0317688062787056,0.595481812953949,0.23233698308467865,-0.0314483679831028
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5931857228279114,0.5840291380882263,-3.4944014259963296e-07,0.5591713190078735,0.5424084067344666,-0.0060293362475931644,0.5341477990150452,0.4965525269508362,-0.015398421324789524,0.5263819098472595,0.46805083751678467,-0.029022738337516785,0.52025306224823,0.45050132274627686,-0.04194394871592522,0.5340021252632141,0.40960177779197693,-0.0014728689566254616,0.5144837498664856,0.3492928743362427,-0.02417825534939766,0.5145244002342224,0.38739296793937683,-0.03941730037331581,0.5205652117729187,0.4274919331073761,-0.04593371972441673,0.5566779971122742,0.4045475721359253,-0.008451380766928196,0.5400295853614807,0.3646615147590637,-0.03320835158228874,0.541658341884613,0.4310694932937622,-0.042433954775333405,0.5462914705276489,0.48281535506248474,-0.043169859796762466,0.5810471773147583,0.40885522961616516,-0.018461795523762703,0.5664268732070923,0.36484870314598083,-0.03946446627378464,0.5669734477996826,0.42540574073791504,-0.038401324301958084,0.5716808438301086,0.47650519013404846,-0.0319041945040226,0.6061851382255554,0.42095887660980225,-0.0294440109282732,0.5956642031669617,0.3804309368133545,-0.04108921065926552,0.5905827879905701,0.4072352945804596,-0.03817296773195267,0.5910148024559021,0.43603020906448364,-0.0324978232383728
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5931857228279114,0.5840291380882263,-3.4944014259963296e-07,0.5591713190078735,0.5424084067344666,-0.0060293362475931644,0.5341477990150452,0.4965525269508362,-0.015398421324789524,0.5263819098472595,0.46805083751678467,-0.029022738337516785,0.52025306224823,0.45050132274627686,-0.04194394871592522,0.5340021252632141,0.40960177779197693,-0.0014728689566254616,0.5144837498664856,0.3492928743362427,-0.02417825534939766,0.5145244002342224,0.38739296793937683,-0.03941730037331581,0.5205652117729187,0.4274919331073761,-0.04593371972441673,0.5566779971122742,0.4045475721359253,-0.008451380766928196,0.5400295853614807,0.3646615147590637,-0.03320835158228874,0.541658341884613,0.4310694932937622,-0.042433954775333405,0.5462914705276489,0.48281535506248474,-0.043169859796762466,0.5810471773147583,0.40885522961616516,-0.018461795523762703,0.5664268732070923,0.36484870314598083,-0.03946446627378464,0.5669734477996826,0.42540574073791504,-0.038401324301958084,0.5716808438301086,0.47650519013404846,-0.0319041945040226,0.6061851382255554,0.42095887660980225,-0.0294440109282732,0.5956642031669617,0.3804309368133545,-0.04108921065926552,0.5905827879905701,0.4072352945804596,-0.03817296773195267,0.5910148024559021,0.43603020906448364,-0.0324978232383728
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5917336940765381,0.5668902397155762,-2.9975626603118144e-07,0.5576191544532776,0.5451923608779907,-0.008059056475758553,0.5299279093742371,0.5154515504837036,-0.01968863606452942,0.5097508430480957,0.503541111946106,-0.03368552401661873,0.4878280460834503,0.5011410713195801,-0.047500159591436386,0.5417013764381409,0.39992910623550415,-0.012748034670948982,0.527673602104187,0.3782380223274231,-0.03420688956975937,0.527664303779602,0.4195115268230438,-0.04967482388019562,0.5311381816864014,0.46041133999824524,-0.05667213723063469,0.5692102909088135,0.39371928572654724,-0.018273351714015007,0.5574813485145569,0.4183202087879181,-0.03796054422855377,0.5601422786712646,0.47696593403816223,-0.04616696760058403,0.5651183724403381,0.5216192603111267,-0.047945667058229446,0.5947605967521667,0.4065038561820984,-0.025533081963658333,0.5841161012649536,0.4468167722225189,-0.0396847128868103,0.582969605922699,0.49981018900871277,-0.037635594606399536,0.5851582884788513,0.5365617871284485,-0.03311576694250107,0.619598388671875,0.4288835823535919,-0.034406911581754684,0.6106143593788147,0.46372082829475403,-0.03937093913555145,0.6039779186248779,0.5033822655677795,-0.03381302207708359,0.6024525165557861,0.5289838910102844,-0.027544233947992325
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5917336940765381,0.5668902397155762,-2.9975626603118144e-07,0.5576191544532776,0.5451923608779907,-0.008059056475758553,0.5299279093742371,0.5154515504837036,-0.01968863606452942,0.5097508430480957,0.503541111946106,-0.03368552401661873,0.4878280460834503,0.5011410713195801,-0.047500159591436386,0.5417013764381409,0.39992910623550415,-0.012748034670948982,0.527673602104187,0.3782380223274231,-0.03420688956975937,0.527664303779602,0.4195115268230438,-0.04967482388019562,0.5311381816864014,0.46041133999824524,-0.05667213723063469,0.5692102909088135,0.39371928572654724,-0.018273351714015007,0.5574813485145569,0.4183202087879181,-0.03796054422855377,0.5601422786712646,0.47696593403816223,-0.04616696760058403,0.5651183724403381,0.5216192603111267,-0.047945667058229446,0.5947605967521667,0.4065038561820984,-0.025533081963658333,0.5841161012649536,0.4468167722225189,-0.0396847128868103,0.582969605922699,0.49981018900871277,-0.037635594606399536,0.5851582884788513,0.5365617871284485,-0.03311576694250107,0.619598388671875,0.4288835823535919,-0.034406911581754684,0.6106143593788147,0.46372082829475403,-0.03937093913555145,0.6039779186248779,0.5033822655677795,-0.03381302207708359,0.6024525165557861,0.5289838910102844,-0.027544233947992325
