frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6510077118873596,0.8086114525794983,3.837671158635203e-08,0.6323893666267395,0.768923282623291,-0.009366044774651527,0.6294301748275757,0.715415894985199,-0.008849953301250935,0.6405237913131714,0.6764845848083496,-0.009161152876913548,0.6483618021011353,0.6444236636161804,-0.00889052264392376,0.6480650901794434,0.69661545753479,0.008463770151138306,0.6554044485092163,0.6469990611076355,0.005338117014616728,0.6599515080451965,0.6141939163208008,0.0025047902017831802,0.6649728417396545,0.5864381194114685,0.0004423350328579545,0.6618502736091614,0.7060072422027588,0.00857633724808693,0.6650536060333252,0.6662097573280334,0.0019979444332420826,0.6686278581619263,0.647275447845459,-0.0033866125158965588,0.6713403463363647,0.6305770874023438,-0.005460663698613644,0.6745842099189758,0.7201575040817261,0.006154848262667656,0.6737820506095886,0.6933302283287048,-0.00679731834679842,0.6675828099250793,0.7281208634376526,-0.010629544034600258,0.6637831926345825,0.7564978003501892,-0.008659999817609787,0.6878456473350525,0.7368510365486145,0.0029449546709656715,0.6853548884391785,0.7103297710418701,-0.007329847663640976,0.6789096593856812,0.7269923686981201,-0.008452055044472218,0.6756556034088135,0.7459009289741516,-0.006505861878395081
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6494526863098145,0.8050106763839722,5.909264189085661e-08,0.6323211193084717,0.7659428119659424,-0.008354942314326763,0.6290827393531799,0.7156467437744141,-0.008944138884544373,0.6392086744308472,0.6775366067886353,-0.010729323141276836,0.6475800275802612,0.6465926766395569,-0.012262647040188313,0.6470509171485901,0.6940339207649231,0.005778525955975056,0.6546080112457275,0.6430057883262634,0.0010484688682481647,0.6595631837844849,0.60911625623703,-0.002957546152174473,0.6654587388038635,0.5807847380638123,-0.005441531538963318,0.6602500677108765,0.7036299109458923,0.004487677942961454,0.6635311841964722,0.6511189937591553,-0.002258325694128871,0.6666328310966492,0.6133280396461487,-0.008662561886012554,0.6685258746147156,0.5843391418457031,-0.011800965294241905,0.6717984080314636,0.7197597026824951,0.00102238729596138,0.6731185913085938,0.691399335861206,-0.012730582617223263,0.6684558987617493,0.7241169214248657,-0.017677724361419678,0.6640734672546387,0.7535039186477661,-0.016356300562620163,0.6842867136001587,0.7384389638900757,-0.0030330789741128683,0.6856974363327026,0.7082388401031494,-0.014444940723478794,0.6796908378601074,0.7236561179161072,-0.015483114868402481,0.6742582321166992,0.7440580129623413,-0.013263843953609467
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6498415470123291,0.804006814956665,4.006303200299044e-08,0.6329063177108765,0.7652649283409119,-0.010120582766830921,0.6301433444023132,0.7147258520126343,-0.01140400767326355,0.6402387619018555,0.6768298149108887,-0.0133981266990304,0.6480869054794312,0.6446940302848816,-0.015003380365669727,0.6475034952163696,0.6947072148323059,0.001691003912128508,0.6568359136581421,0.6424267888069153,-0.004292497411370277,0.6630365252494812,0.6099171042442322,-0.008689044043421745,0.6696719527244568,0.5825138092041016,-0.011424118652939796,0.6605959534645081,0.7038974165916443,0.0012759619858115911,0.6636860966682434,0.6557852625846863,-0.007464399095624685,0.6660811901092529,0.6189374327659607,-0.014470593072474003,0.6680907011032104,0.5885705947875977,-0.017818180844187737,0.6724736094474792,0.7186660766601562,-0.0012597175082191825,0.6733865141868591,0.6944737434387207,-0.01658504270017147,0.6690292954444885,0.7252091765403748,-0.021381035447120667,0.66434645652771,0.7525593042373657,-0.01969531551003456,0.6848208904266357,0.7355185747146606,-0.00453428877517581,0.6860911846160889,0.7094350457191467,-0.0176093652844429,0.6802514791488647,0.7250437140464783,-0.01934489607810974,0.6745597124099731,0.7449401617050171,-0.01725553721189499
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6484314799308777,0.8040607571601868,2.895951034531663e-08,0.632185161113739,0.7638885378837585,-0.010901051573455334,0.6294294595718384,0.713590145111084,-0.013268315233290195,0.6388704180717468,0.6774683594703674,-0.015871845185756683,0.648019552230835,0.6459181904792786,-0.01812559925019741,0.6460524797439575,0.6976498961448669,-0.003363199532032013,0.6549522876739502,0.6463080048561096,-0.01066959835588932,0.6613659262657166,0.6142420768737793,-0.01547209545969963,0.6676809191703796,0.5868337750434875,-0.0184059739112854,0.6601718664169312,0.7053683996200562,-0.003559964941814542,0.6639350056648254,0.6515312194824219,-0.013906112872064114,0.6665428280830383,0.6111204624176025,-0.021236363798379898,0.6686670184135437,0.5779479146003723,-0.02469664067029953,0.6728255152702332,0.719288170337677,-0.005507533438503742,0.6721662878990173,0.6955700516700745,-0.021232949569821358,0.6676008701324463,0.7283009886741638,-0.025104891508817673,0.6641761660575867,0.7551388740539551,-0.022856611758470535,0.6854919195175171,0.7360098958015442,-0.008223133161664009,0.6841468214988708,0.7097533345222473,-0.021238021552562714,0.6783444881439209,0.7284107804298401,-0.022155802696943283,0.6740706562995911,0.7486476898193359,-0.019535094499588013
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6484314799308777,0.8040607571601868,2.895951034531663e-08,0.632185161113739,0.7638885378837585,-0.010901051573455334,0.6294294595718384,0.713590145111084,-0.013268315233290195,0.6388704180717468,0.6774683594703674,-0.015871845185756683,0.648019552230835,0.6459181904792786,-0.01812559925019741,0.6460524797439575,0.6976498961448669,-0.003363199532032013,0.6549522876739502,0.6463080048561096,-0.01066959835588932,0.6613659262657166,0.6142420768737793,-0.01547209545969963,0.6676809191703796,0.5868337750434875,-0.0184059739112854,0.6601718664169312,0.7053683996200562,-0.003559964941814542,0.6639350056648254,0.6515312194824219,-0.013906112872064114,0.6665428280830383,0.6111204624176025,-0.021236363798379898,0.6686670184135437,0.5779479146003723,-0.02469664067029953,0.6728255152702332,0.719288170337677,-0.005507533438503742,0.6721662878990173,0.6955700516700745,-0.021232949569821358,0.6676008701324463,0.7283009886741638,-0.025104891508817673,0.6641761660575867,0.7551388740539551,-0.022856611758470535,0.6854919195175171,0.7360098958015442,-0.008223133161664009,0.6841468214988708,0.7097533345222473,-0.021238021552562714,0.6783444881439209,0.7284107804298401,-0.022155802696943283,0.6740706562995911,0.7486476898193359,-0.019535094499588013
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6493542790412903,0.8049578070640564,3.22109201533749e-08,0.6325240731239319,0.7648794054985046,-0.010764993727207184,0.6305532455444336,0.7136353254318237,-0.012500335462391376,0.6409009099006653,0.6769917011260986,-0.01460039522498846,0.6487993001937866,0.6452659964561462,-0.016370214521884918,0.6482324600219727,0.6961207389831543,-0.001601027906872332,0.6573415398597717,0.6447582840919495,-0.008277304470539093,0.663935661315918,0.6122777462005615,-0.012958868406713009,0.670467734336853,0.5848186016082764,-0.015835504978895187,0.661725640296936,0.7044505476951599,-0.001961967209354043,0.665318489074707,0.6503397226333618,-0.011185331270098686,0.668192446231842,0.609693706035614,-0.018185701221227646,0.670246422290802,0.5768077969551086,-0.021525412797927856,0.6736756563186646,0.7191907167434692,-0.004271510988473892,0.6736969947814941,0.6949483156204224,-0.019665924832224846,0.6693015694618225,0.7267813086509705,-0.02421240694820881,0.665213406085968,0.7538890242576599,-0.022450366988778114,0.6859102249145508,0.7368483543395996,-0.007371824700385332,0.6865122318267822,0.7104715704917908,-0.0202834140509367,0.6807626485824585,0.7257859110832214,-0.02171044424176216,0.6756148338317871,0.744446873664856,-0.01955519989132881
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6489555835723877,0.8046265840530396,3.281525451370726e-08,0.6342789530754089,0.7675561308860779,-0.010324081405997276,0.6312154531478882,0.7174991369247437,-0.013035559095442295,0.6412423253059387,0.680067777633667,-0.016413524746894836,0.6511198282241821,0.6495456695556641,-0.01924731768667698,0.6500329971313477,0.6951223015785217,-0.001414454891346395,0.6608643531799316,0.6407141089439392,-0.009466762654483318,0.6675094962120056,0.6068925261497498,-0.014855732209980488,0.6745254993438721,0.578551173210144,-0.01800023950636387,0.6627861261367798,0.705437183380127,-0.0022477947641164064,0.6655535101890564,0.6572748422622681,-0.01239706389605999,0.6667601466178894,0.6215043663978577,-0.019040141254663467,0.6687487363815308,0.591481626033783,-0.021843090653419495,0.6747167706489563,0.7213180661201477,-0.005064874421805143,0.67490154504776,0.6961387991905212,-0.020396236330270767,0.6681650876998901,0.7286068201065063,-0.023018456995487213,0.6640951037406921,0.7555995583534241,-0.019870420917868614,0.6868945956230164,0.7408124208450317,-0.008758452720940113,0.6872351765632629,0.7135074138641357,-0.020697901025414467,0.6800816655158997,0.7307668328285217,-0.02032541111111641,0.67533940076828,0.7502772808074951,-0.01669660024344921
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6489555835723877,0.8046265840530396,3.281525451370726e-08,0.6342789530754089,0.7675561308860779,-0.010324081405997276,0.6312154531478882,0.7174991369247437,-0.013035559095442295,0.6412423253059387,0.680067777633667,-0.016413524746894836,0.6511198282241821,0.6495456695556641,-0.01924731768667698,0.6500329971313477,0.6951223015785217,-0.001414454891346395,0.6608643531799316,0.6407141089439392,-0.009466762654483318,0.6675094962120056,0.6068925261497498,-0.014855732209980488,0.6745254993438721,0.578551173210144,-0.01800023950636387,0.6627861261367798,0.705437183380127,-0.0022477947641164064,0.6655535101890564,0.6572748422622681,-0.01239706389605999,0.6667601466178894,0.6215043663978577,-0.019040141254663467,0.6687487363815308,0.591481626033783,-0.021843090653419495,0.6747167706489563,0.7213180661201477,-0.005064874421805143,0.67490154504776,0.6961387991905212,-0.020396236330270767,0.6681650876998901,0.7286068201065063,-0.023018456995487213,0.6640951037406921,0.7555995583534241,-0.019870420917868614,0.6868945956230164,0.7408124208450317,-0.008758452720940113,0.6872351765632629,0.7135074138641357,-0.020697901025414467,0.6800816655158997,0.7307668328285217,-0.02032541111111641,0.67533940076828,0.7502772808074951,-0.01669660024344921
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6493476629257202,0.8050066232681274,7.553530423365373e-08,0.6333895921707153,0.766719400882721,-0.009562510065734386,0.6306202411651611,0.7158719301223755,-0.01176726259291172,0.6408867835998535,0.6777292490005493,-0.014885423704981804,0.6505355834960938,0.6462600231170654,-0.01751215197145939,0.6474586129188538,0.6945887804031372,0.000603608728852123,0.6579077839851379,0.643414318561554,-0.006899398285895586,0.6646071076393127,0.6106573939323425,-0.011856588535010815,0.6715207695960999,0.5826293230056763,-0.014783451333642006,0.6608402729034424,0.7030932903289795,-0.000865236681420356,0.6654549837112427,0.6476981043815613,-0.011048465967178345,0.668375551700592,0.6091907024383545,-0.018198896199464798,0.6709986925125122,0.5779346227645874,-0.02123398520052433,0.6730517148971558,0.7186354398727417,-0.004278039094060659,0.6736472249031067,0.693682074546814,-0.020286142826080322,0.6675558686256409,0.7285257577896118,-0.02332756295800209,0.6634276509284973,0.7561527490615845,-0.020105361938476562,0.6862125396728516,0.738484263420105,-0.008417529985308647,0.6866767406463623,0.7122190594673157,-0.020824717357754707,0.6793707609176636,0.732585608959198,-0.020436152815818787,0.6740546822547913,0.7528964281082153,-0.01672961749136448
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6494036316871643,0.8060356378555298,7.133458268526738e-08,0.6329663395881653,0.7685134410858154,-0.009368982166051865,0.6303314566612244,0.7165122628211975,-0.0112643763422966,0.6412347555160522,0.6779643893241882,-0.014082635752856731,0.6507696509361267,0.647250771522522,-0.016474975273013115,0.6482301354408264,0.6959714889526367,0.0008912688936106861,0.6586833000183105,0.6441025137901306,-0.006232180632650852,0.6653203964233398,0.6106941103935242,-0.011018607765436172,0.6722789406776428,0.5823304057121277,-0.013890831731259823,0.661534309387207,0.7047587633132935,-0.0006428470951505005,0.6661764979362488,0.6493768692016602,-0.010181511752307415,0.6693357229232788,0.6104340553283691,-0.01703573577105999,0.6719983816146851,0.579594075679779,-0.019971031695604324,0.6734254956245422,0.7204291820526123,-0.004129772540181875,0.6740102171897888,0.6945136785507202,-0.020028075203299522,0.6678071618080139,0.7284666299819946,-0.023278331384062767,0.663034975528717,0.7567939758300781,-0.020194564014673233,0.686001718044281,0.7406646013259888,-0.008327415212988853,0.686760425567627,0.7140283584594727,-0.02117651142179966,0.6786978840827942,0.7333738207817078,-0.021099479869008064,0.6720072031021118,0.7543321251869202,-0.017539719119668007
