frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6213382482528687,0.8213268518447876,-1.11274694347685e-07,0.601428747177124,0.8117201328277588,-0.011090568266808987,0.5806788802146912,0.7799965739250183,-0.027381999418139458,0.5631693601608276,0.7548298239707947,-0.043275896459817886,0.5454498529434204,0.7461885809898376,-0.0599307082593441,0.5957622528076172,0.750507652759552,-0.03963416442275047,0.5951126217842102,0.7034863233566284,-0.06140638515353203,0.5913749933242798,0.6872588396072388,-0.07543404400348663,0.5851274132728577,0.6868380308151245,-0.08341692388057709,0.6111617088317871,0.7505402565002441,-0.04115510731935501,0.6123190522193909,0.7060899138450623,-0.058794789016246796,0.6068224906921387,0.6952782869338989,-0.06301805377006531,0.600566565990448,0.7028670907020569,-0.06691274791955948,0.6266874670982361,0.7607190012931824,-0.04241693764925003,0.6290767192840576,0.71965092420578,-0.05725206062197685,0.623383104801178,0.7105053067207336,-0.05675468221306801,0.6175751090049744,0.7173300981521606,-0.056125253438949585,0.6408772468566895,0.7779219150543213,-0.044652748852968216,0.6435418725013733,0.7397200465202332,-0.05232810974121094,0.6391980648040771,0.7282348871231079,-0.05033310130238533,0.6339135766029358,0.7297655344009399,-0.04943888634443283
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6213382482528687,0.8213268518447876,-1.11274694347685e-07,0.601428747177124,0.8117201328277588,-0.011090568266808987,0.5806788802146912,0.7799965739250183,-0.027381999418139458,0.5631693601608276,0.7548298239707947,-0.043275896459817886,0.5454498529434204,0.7461885809898376,-0.0599307082593441,0.5957622528076172,0.750507652759552,-0.03963416442275047,0.5951126217842102,0.7034863233566284,-0.06140638515353203,0.5913749933242798,0.6872588396072388,-0.07543404400348663,0.5851274132728577,0.6868380308151245,-0.08341692388057709,0.6111617088317871,0.7505402565002441,-0.04115510731935501,0.6123190522193909,0.7060899138450623,-0.058794789016246796,0.6068224906921387,0.6952782869338989,-0.06301805377006531,0.600566565990448,0.7028670907020569,-0.06691274791955948,0.6266874670982361,0.7607190012931824,-0.04241693764925003,0.6290767192840576,0.71965092420578,-0.05725206062197685,0.623383104801178,0.7105053067207336,-0.05675468221306801,0.6175751090049744,0.7173300981521606,-0.056125253438949585,0.6408772468566895,0.7779219150543213,-0.044652748852968216,0.6435418725013733,0.7397200465202332,-0.05232810974121094,0.6391980648040771,0.7282348871231079,-0.05033310130238533,0.6339135766029358,0.7297655344009399,-0.04943888634443283
3,0.619575023651123,0.8234675526618958,-1.2640045099487907e-07,0.5987527370452881,0.8117245435714722,-0.010993161238729954,0.5783762335777283,0.7803561091423035,-0.027144435793161392,0.5616331100463867,0.7557477951049805,-0.04309379309415817,0.5442214608192444,0.747310996055603,-0.05955817550420761,0.5939826369285583,0.7515177726745605,-0.038794662803411484,0.5935065150260925,0.704692006111145,-0.06180036440491676,0.5886774659156799,0.686516523361206,-0.076075479388237,0.5815421938896179,0.6852222084999084,-0.08388058096170425,0.6098202466964722,0.7529940605163574,-0.04085148498415947,0.6119991540908813,0.7094550132751465,-0.0599682554602623,0.6055169105529785,0.6962797045707703,-0.06396317481994629,0.5983068943023682,0.702976644039154,-0.06704239547252655,0.6255984902381897,0.7644243240356445,-0.04295043274760246,0.6289136409759521,0.7216201424598694,-0.05897959694266319,0.6224321126937866,0.7107820510864258,-0.058103110641241074,0.6155540943145752,0.7179961204528809,-0.05664874613285065,0.6399611830711365,0.783088743686676,-0.046052414923906326,0.6428290009498596,0.7434162497520447,-0.05426591634750366,0.638683021068573,0.730924665927887,-0.052346616983413696,0.6334046721458435,0.7334519028663635,-0.05123843625187874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.619575023651123,0.8234675526618958,-1.2640045099487907e-07,0.5987527370452881,0.8117245435714722,-0.010993161238729954,0.5783762335777283,0.7803561091423035,-0.027144435793161392,0.5616331100463867,0.7557477951049805,-0.04309379309415817,0.5442214608192444,0.747310996055603,-0.05955817550420761,0.5939826369285583,0.7515177726745605,-0.038794662803411484,0.5935065150260925,0.704692006111145,-0.06180036440491676,0.5886774659156799,0.686516523361206,-0.076075479388237,0.5815421938896179,0.6852222084999084,-0.08388058096170425,0.6098202466964722,0.7529940605163574,-0.04085148498415947,0.6119991540908813,0.7094550132751465,-0.0599682554602623,0.6055169105529785,0.6962797045707703,-0.06396317481994629,0.5983068943023682,0.702976644039154,-0.06704239547252655,0.6255984902381897,0.7644243240356445,-0.04295043274760246,0.6289136409759521,0.7216201424598694,-0.05897959694266319,0.6224321126937866,0.7107820510864258,-0.058103110641241074,0.6155540943145752,0.7179961204528809,-0.05664874613285065,0.6399611830711365,0.783088743686676,-0.046052414923906326,0.6428290009498596,0.7434162497520447,-0.05426591634750366,0.638683021068573,0.730924665927887,-0.052346616983413696,0.6334046721458435,0.7334519028663635,-0.05123843625187874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6203361749649048,0.8225192427635193,-9.867584083167458e-08,0.599109947681427,0.8124663233757019,-0.012430875562131405,0.5792248249053955,0.7822116613388062,-0.02896791882812977,0.562178373336792,0.7570050954818726,-0.04488107189536095,0.5449185371398926,0.7444701194763184,-0.06163822114467621,0.594254195690155,0.75287926197052,-0.03979455679655075,0.5930594205856323,0.7099082469940186,-0.06093926727771759,0.5897977948188782,0.6952387690544128,-0.07493781298398972,0.5845463871955872,0.6927309036254883,-0.0829489678144455,0.6097663640975952,0.7530154585838318,-0.040667224675416946,0.6118529438972473,0.7100358605384827,-0.057810645550489426,0.6065898537635803,0.6982105374336243,-0.06247483938932419,0.6005814671516418,0.7024383544921875,-0.06664209067821503,0.6249904036521912,0.7624565362930298,-0.04132845252752304,0.6279639601707458,0.7222816944122314,-0.05524991452693939,0.6222906708717346,0.712557852268219,-0.05530818924307823,0.6162444353103638,0.7164645791053772,-0.05508583411574364,0.6387702822685242,0.7792242169380188,-0.04311205819249153,0.6410457491874695,0.7435969710350037,-0.04978407919406891,0.6371038556098938,0.7312799096107483,-0.04762624576687813,0.6324150562286377,0.7303910255432129,-0.04676136374473572
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6245256066322327,0.825761616230011,-1.1015471557129786e-07,0.6016093492507935,0.81537264585495,-0.012510917149484158,0.5805961489677429,0.7852619290351868,-0.029589485377073288,0.5632723569869995,0.7578721642494202,-0.045853521674871445,0.544912576675415,0.7428175806999207,-0.06315954774618149,0.5950539708137512,0.7627007961273193,-0.04200132563710213,0.5928972363471985,0.7148658037185669,-0.0637727603316307,0.5915579199790955,0.6972746253013611,-0.07775096595287323,0.5888253450393677,0.6927624344825745,-0.08565621823072433,0.6116675138473511,0.7606288194656372,-0.042911652475595474,0.6109392046928406,0.7110697031021118,-0.060379624366760254,0.606450080871582,0.6986324787139893,-0.06441140174865723,0.6023508310317993,0.7034888863563538,-0.06803581118583679,0.6270229816436768,0.7654364109039307,-0.043407559394836426,0.6268700361251831,0.7175185680389404,-0.05729002505540848,0.6215341687202454,0.7091336250305176,-0.056436460465192795,0.6172432899475098,0.7163618803024292,-0.0556202195584774,0.6404491066932678,0.7761213779449463,-0.044992201030254364,0.6393547058105469,0.7343282103538513,-0.05167573317885399,0.6352313756942749,0.7240233421325684,-0.049129508435726166,0.6318582892417908,0.7268413305282593,-0.047902218997478485
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6245256066322327,0.825761616230011,-1.1015471557129786e-07,0.6016093492507935,0.81537264585495,-0.012510917149484158,0.5805961489677429,0.7852619290351868,-0.029589485377073288,0.5632723569869995,0.7578721642494202,-0.045853521674871445,0.544912576675415,0.7428175806999207,-0.06315954774618149,0.5950539708137512,0.7627007961273193,-0.04200132563710213,0.5928972363471985,0.7148658037185669,-0.0637727603316307,0.5915579199790955,0.6972746253013611,-0.07775096595287323,0.5888253450393677,0.6927624344825745,-0.08565621823072433,0.6116675138473511,0.7606288194656372,-0.042911652475595474,0.6109392046928406,0.7110697031021118,-0.060379624366760254,0.606450080871582,0.6986324787139893,-0.06441140174865723,0.6023508310317993,0.7034888863563538,-0.06803581118583679,0.6270229816436768,0.7654364109039307,-0.043407559394836426,0.6268700361251831,0.7175185680389404,-0.05729002505540848,0.6215341687202454,0.7091336250305176,-0.056436460465192795,0.6172432899475098,0.7163618803024292,-0.0556202195584774,0.6404491066932678,0.7761213779449463,-0.044992201030254364,0.6393547058105469,0.7343282103538513,-0.05167573317885399,0.6352313756942749,0.7240233421325684,-0.049129508435726166,0.6318582892417908,0.7268413305282593,-0.047902218997478485
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6229870915412903,0.8190333843231201,-8.061728351549391e-08,0.6015655994415283,0.8155105710029602,-0.012550348415970802,0.580733060836792,0.7870730757713318,-0.030312618240714073,0.5635012984275818,0.7600696086883545,-0.047043196856975555,0.5455076098442078,0.7447218298912048,-0.06472542136907578,0.5930612087249756,0.7546745538711548,-0.04421162232756615,0.5887620449066162,0.7093174457550049,-0.06681592017412186,0.5838817358016968,0.6945933103561401,-0.08166025578975677,0.5781489014625549,0.6922995448112488,-0.0900408923625946,0.6083511114120483,0.7499673366546631,-0.0451197549700737,0.6085832118988037,0.704152524471283,-0.06272756308317184,0.6031063795089722,0.6990501880645752,-0.06741268187761307,0.5978788733482361,0.7085791826248169,-0.07198037952184677,0.6240911483764648,0.7549290060997009,-0.04555833712220192,0.6244871020317078,0.7126338481903076,-0.059565093368291855,0.6185978055000305,0.7122867703437805,-0.05957135185599327,0.613696277141571,0.7231500744819641,-0.0596158541738987,0.6383063793182373,0.7678945064544678,-0.047028932720422745,0.6381977796554565,0.7314488887786865,-0.053373996168375015,0.6334198713302612,0.7277553081512451,-0.05100548639893532,0.6296816468238831,0.7344155311584473,-0.05028398707509041
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6229870915412903,0.8190333843231201,-8.061728351549391e-08,0.6015655994415283,0.8155105710029602,-0.012550348415970802,0.580733060836792,0.7870730757713318,-0.030312618240714073,0.5635012984275818,0.7600696086883545,-0.047043196856975555,0.5455076098442078,0.7447218298912048,-0.06472542136907578,0.5930612087249756,0.7546745538711548,-0.04421162232756615,0.5887620449066162,0.7093174457550049,-0.06681592017412186,0.5838817358016968,0.6945933103561401,-0.08166025578975677,0.5781489014625549,0.6922995448112488,-0.0900408923625946,0.6083511114120483,0.7499673366546631,-0.0451197549700737,0.6085832118988037,0.704152524471283,-0.06272756308317184,0.6031063795089722,0.6990501880645752,-0.06741268187761307,0.5978788733482361,0.7085791826248169,-0.07198037952184677,0.6240911483764648,0.7549290060997009,-0.04555833712220192,0.6244871020317078,0.7126338481903076,-0.059565093368291855,0.6185978055000305,0.7122867703437805,-0.05957135185599327,0.613696277141571,0.7231500744819641,-0.0596158541738987,0.6383063793182373,0.7678945064544678,-0.047028932720422745,0.6381977796554565,0.7314488887786865,-0.053373996168375015,0.6334198713302612,0.7277553081512451,-0.05100548639893532,0.6296816468238831,0.7344155311584473,-0.05028398707509041
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6202081441879272,0.8232181668281555,-1.1258060794716584e-07,0.5983617305755615,0.8160594701766968,-0.013279328122735023,0.5767239928245544,0.7851426005363464,-0.03361674025654793,0.5578486919403076,0.7587277293205261,-0.05321807041764259,0.5408561825752258,0.7447267770767212,-0.07413547486066818,0.5936381220817566,0.7618112564086914,-0.047065798193216324,0.5908101797103882,0.7146114110946655,-0.0725325345993042,0.5851609110832214,0.6980849504470825,-0.08989515900611877,0.5776808261871338,0.6879879236221313,-0.09928763657808304,0.6094886064529419,0.7544217705726624,-0.04875929653644562,0.6116733551025391,0.7022353410720825,-0.06829065084457397,0.6045206785202026,0.6977802515029907,-0.07433723658323288,0.5965690016746521,0.7029863595962524,-0.07929574698209763,0.6249204277992249,0.756043016910553,-0.05019509419798851,0.6286385655403137,0.709044337272644,-0.063787080347538,0.6220241785049438,0.7183298468589783,-0.06444146484136581,0.6146090030670166,0.736019492149353,-0.06521198898553848,0.6371790766716003,0.7671493887901306,-0.05282018706202507,0.640169620513916,0.7302167415618896,-0.05941066890954971,0.634227991104126,0.7355084419250488,-0.05719977989792824,0.6282322406768799,0.7487320303916931,-0.0564616359770298
