frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6635059714317322,0.8087208867073059,-3.9704985965727246e-07,0.6450389623641968,0.760906457901001,-0.012279815971851349,0.6509091854095459,0.6990435123443604,-0.019729554653167725,0.6756828427314758,0.6846503019332886,-0.027775945141911507,0.7019742727279663,0.6781250834465027,-0.03402380645275116,0.6531452536582947,0.6366234421730042,-0.006035046651959419,0.6509487628936768,0.5914518237113953,-0.026616238057613373,0.6439063549041748,0.6444081664085388,-0.040774866938591,0.6400207877159119,0.6939725279808044,-0.04770992696285248,0.677454948425293,0.646284818649292,-0.008606127463281155,0.6768283843994141,0.5910958647727966,-0.030616391450166702,0.6650654077529907,0.6523202061653137,-0.039163969457149506,0.6585280895233154,0.7054795026779175,-0.04000517725944519,0.7021382451057434,0.6700326204299927,-0.014113758690655231,0.7100202441215515,0.6007587313652039,-0.035310011357069016,0.6943610310554504,0.6540675163269043,-0.034641947597265244,0.6856585741043091,0.7001559734344482,-0.02915671095252037,0.7248857617378235,0.7054351568222046,-0.020768845453858376,0.7229189276695251,0.669508695602417,-0.037796951830387115,0.707217812538147,0.7076005935668945,-0.03693332150578499,0.7000923752784729,0.740529477596283,-0.03242206200957298
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.663519561290741,0.80962073802948,-4.1377447246304655e-07,0.6449210047721863,0.7611309289932251,-0.012075396254658699,0.6522100567817688,0.6985275745391846,-0.019415372982621193,0.6787218451499939,0.6843655705451965,-0.027410956099629402,0.705693244934082,0.6771379113197327,-0.033693648874759674,0.6535855531692505,0.6353233456611633,-0.0059163812547922134,0.6511533856391907,0.5915843844413757,-0.026173623278737068,0.6438703536987305,0.6453138589859009,-0.03999050706624985,0.6397888660430908,0.6950283050537109,-0.04671010747551918,0.6776430010795593,0.6444790363311768,-0.008653707802295685,0.6770371198654175,0.5901666879653931,-0.030190618708729744,0.6649705767631531,0.6517009139060974,-0.03812749311327934,0.6581480503082275,0.7053203582763672,-0.0385994054377079,0.7020995020866394,0.6687945127487183,-0.014341610483825207,0.7101964950561523,0.5995604395866394,-0.035453490912914276,0.6947587728500366,0.6535815596580505,-0.03455832228064537,0.6862692832946777,0.7003220915794373,-0.028961362317204475,0.7245153784751892,0.7050167322158813,-0.021137215197086334,0.7226243019104004,0.6691022515296936,-0.038318272680044174,0.7068800330162048,0.707851231098175,-0.0373995341360569,0.6998067498207092,0.7412688732147217,-0.03287241980433464
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.663519561290741,0.80962073802948,-4.1377447246304655e-07,0.6449210047721863,0.7611309289932251,-0.012075396254658699,0.6522100567817688,0.6985275745391846,-0.019415372982621193,0.6787218451499939,0.6843655705451965,-0.027410956099629402,0.705693244934082,0.6771379113197327,-0.033693648874759674,0.6535855531692505,0.6353233456611633,-0.0059163812547922134,0.6511533856391907,0.5915843844413757,-0.026173623278737068,0.6438703536987305,0.6453138589859009,-0.03999050706624985,0.6397888660430908,0.6950283050537109,-0.04671010747551918,0.6776430010795593,0.6444790363311768,-0.008653707802295685,0.6770371198654175,0.5901666879653931,-0.030190618708729744,0.6649705767631531,0.6517009139060974,-0.03812749311327934,0.6581480503082275,0.7053203582763672,-0.0385994054377079,0.7020995020866394,0.6687945127487183,-0.014341610483825207,0.7101964950561523,0.5995604395866394,-0.035453490912914276,0.6947587728500366,0.6535815596580505,-0.03455832228064537,0.6862692832946777,0.7003220915794373,-0.028961362317204475,0.7245153784751892,0.7050167322158813,-0.021137215197086334,0.7226243019104004,0.6691022515296936,-0.038318272680044174,0.7068800330162048,0.707851231098175,-0.0373995341360569,0.6998067498207092,0.7412688732147217,-0.03287241980433464
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.662984311580658,0.8122432231903076,-4.1365007064086967e-07,0.6440485119819641,0.7624742984771729,-0.010650514625012875,0.6494629979133606,0.7009738087654114,-0.01784958504140377,0.6741493344306946,0.6849725246429443,-0.02609284408390522,0.6999450325965881,0.6765376925468445,-0.03276396542787552,0.652969479560852,0.638333261013031,-0.00587439863011241,0.6509442329406738,0.5916418433189392,-0.02632664330303669,0.6437318325042725,0.6441187858581543,-0.04032650589942932,0.6399146318435669,0.6934804916381836,-0.04715452715754509,0.6768373847007751,0.6474582552909851,-0.009353598579764366,0.6765286922454834,0.5912938117980957,-0.03113076463341713,0.6651602983474731,0.6509740352630615,-0.039562005549669266,0.6588262319564819,0.7043559551239014,-0.04046999290585518,0.7015043497085571,0.6711492538452148,-0.015558471903204918,0.7094289064407349,0.6006349325180054,-0.036480601876974106,0.6949687004089355,0.6531662940979004,-0.03602452203631401,0.6868624687194824,0.7001791596412659,-0.030810870230197906,0.7243516445159912,0.7063482999801636,-0.022745808586478233,0.7232598066329956,0.6684733629226685,-0.0395379476249218,0.70796799659729,0.7052658200263977,-0.038722679018974304,0.7005112171173096,0.7389191389083862,-0.03433879092335701
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.662984311580658,0.8122432231903076,-4.1365007064086967e-07,0.6440485119819641,0.7624742984771729,-0.010650514625012875,0.6494629979133606,0.7009738087654114,-0.01784958504140377,0.6741493344306946,0.6849725246429443,-0.02609284408390522,0.6999450325965881,0.6765376925468445,-0.03276396542787552,0.652969479560852,0.638333261013031,-0.00587439863011241,0.6509442329406738,0.5916418433189392,-0.02632664330303669,0.6437318325042725,0.6441187858581543,-0.04032650589942932,0.6399146318435669,0.6934804916381836,-0.04715452715754509,0.6768373847007751,0.6474582552909851,-0.009353598579764366,0.6765286922454834,0.5912938117980957,-0.03113076463341713,0.6651602983474731,0.6509740352630615,-0.039562005549669266,0.6588262319564819,0.7043559551239014,-0.04046999290585518,0.7015043497085571,0.6711492538452148,-0.015558471903204918,0.7094289064407349,0.6006349325180054,-0.036480601876974106,0.6949687004089355,0.6531662940979004,-0.03602452203631401,0.6868624687194824,0.7001791596412659,-0.030810870230197906,0.7243516445159912,0.7063482999801636,-0.022745808586478233,0.7232598066329956,0.6684733629226685,-0.0395379476249218,0.70796799659729,0.7052658200263977,-0.038722679018974304,0.7005112171173096,0.7389191389083862,-0.03433879092335701
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6652801036834717,0.8112171292304993,-3.862196820136887e-07,0.6452193856239319,0.7640111446380615,-0.010892575606703758,0.6460790038108826,0.705669105052948,-0.018681054934859276,0.663507342338562,0.6885120272636414,-0.027683520689606667,0.6841245293617249,0.6796211004257202,-0.03521350398659706,0.6522859334945679,0.6379851698875427,-0.006095242686569691,0.6519225835800171,0.5901095271110535,-0.026014825329184532,0.644881010055542,0.6424921154975891,-0.03969116508960724,0.640516996383667,0.6920793056488037,-0.046438708901405334,0.6764412522315979,0.6473778486251831,-0.009488072246313095,0.6768434643745422,0.5909326076507568,-0.03102547489106655,0.6656375527381897,0.6512124538421631,-0.03989489749073982,0.6589890718460083,0.7048872709274292,-0.04123291000723839,0.7011741399765015,0.6704098582267761,-0.01554730162024498,0.7089897394180298,0.6008657217025757,-0.036697085946798325,0.6953027248382568,0.654149055480957,-0.03687626123428345,0.6871511340141296,0.7021762132644653,-0.03198891133069992,0.7239778637886047,0.7054570317268372,-0.02256312221288681,0.723382830619812,0.6671639680862427,-0.0399198904633522,0.7087137699127197,0.7046453952789307,-0.0395197868347168,0.7005693316459656,0.7394822239875793,-0.0352761372923851
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6644821763038635,0.8094545006752014,-4.0275037349601917e-07,0.6453046798706055,0.7613127827644348,-0.01167923305183649,0.6494110822677612,0.6996814608573914,-0.01905931904911995,0.6719306111335754,0.6846871376037598,-0.027392050251364708,0.6968117356300354,0.6791887879371643,-0.0341038778424263,0.6535011529922485,0.6359257698059082,-0.005395620595663786,0.6515234112739563,0.5900059938430786,-0.02540319785475731,0.6438089609146118,0.6431549787521362,-0.039159130305051804,0.6397781372070312,0.692683756351471,-0.04593963176012039,0.6773492097854614,0.6451951861381531,-0.008298777043819427,0.6766956448554993,0.5898901224136353,-0.03002976067364216,0.6644453406333923,0.6511631608009338,-0.03831861540675163,0.6580742001533508,0.7053886651992798,-0.03897181153297424,0.7017171382904053,0.668866753578186,-0.01413080282509327,0.7101330161094666,0.5996526479721069,-0.03536586835980415,0.6945896744728088,0.6523876786231995,-0.034948576241731644,0.6859437227249146,0.6994203329086304,-0.02948768250644207,0.7241249680519104,0.7044789791107178,-0.021054193377494812,0.7237726449966431,0.6675647497177124,-0.03816327080130577,0.7075852751731873,0.70472651720047,-0.03746442496776581,0.6992951035499573,0.7385708093643188,-0.03300109878182411
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6644821763038635,0.8094545006752014,-4.0275037349601917e-07,0.6453046798706055,0.7613127827644348,-0.01167923305183649,0.6494110822677612,0.6996814608573914,-0.01905931904911995,0.6719306111335754,0.6846871376037598,-0.027392050251364708,0.6968117356300354,0.6791887879371643,-0.0341038778424263,0.6535011529922485,0.6359257698059082,-0.005395620595663786,0.6515234112739563,0.5900059938430786,-0.02540319785475731,0.6438089609146118,0.6431549787521362,-0.039159130305051804,0.6397781372070312,0.692683756351471,-0.04593963176012039,0.6773492097854614,0.6451951861381531,-0.008298777043819427,0.6766956448554993,0.5898901224136353,-0.03002976067364216,0.6644453406333923,0.6511631608009338,-0.03831861540675163,0.6580742001533508,0.7053886651992798,-0.03897181153297424,0.7017171382904053,0.668866753578186,-0.01413080282509327,0.7101330161094666,0.5996526479721069,-0.03536586835980415,0.6945896744728088,0.6523876786231995,-0.034948576241731644,0.6859437227249146,0.6994203329086304,-0.02948768250644207,0.7241249680519104,0.7044789791107178,-0.021054193377494812,0.7237726449966431,0.6675647497177124,-0.03816327080130577,0.7075852751731873,0.70472651720047,-0.03746442496776581,0.6992951035499573,0.7385708093643188,-0.03300109878182411
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6618293523788452,0.8199280500411987,-3.6409826975614124e-07,0.6428231000900269,0.7651622891426086,-0.008866896852850914,0.6448840498924255,0.7063552141189575,-0.01527231466025114,0.6623294353485107,0.6916576027870178,-0.02330879122018814,0.6809335350990295,0.6844579577445984,-0.029980013146996498,0.6514239311218262,0.6429247856140137,-0.003405272727832198,0.6489542722702026,0.5959568023681641,-0.022983141243457794,0.6424012184143066,0.6432957053184509,-0.035801779478788376,0.6402779221534729,0.689675509929657,-0.041937753558158875,0.6769770383834839,0.6513938903808594,-0.007865555584430695,0.6793557405471802,0.590732753276825,-0.030080106109380722,0.6682876348495483,0.6472410559654236,-0.038414306938648224,0.6618334650993347,0.6996939182281494,-0.03886497765779495,0.7023245692253113,0.6734232902526855,-0.014912414364516735,0.709053635597229,0.603872537612915,-0.0362875871360302,0.695424497127533,0.6576521396636963,-0.03613828122615814,0.6877908706665039,0.7055341005325317,-0.03071487322449684,0.7249197959899902,0.7075543999671936,-0.022821513935923576,0.7225871086120605,0.668555736541748,-0.03980955481529236,0.7074501514434814,0.7053322792053223,-0.03937046602368355,0.6999124884605408,0.7407808899879456,-0.03511746600270271
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6618293523788452,0.8199280500411987,-3.6409826975614124e-07,0.6428231000900269,0.7651622891426086,-0.008866896852850914,0.6448840498924255,0.7063552141189575,-0.01527231466025114,0.6623294353485107,0.6916576027870178,-0.02330879122018814,0.6809335350990295,0.6844579577445984,-0.029980013146996498,0.6514239311218262,0.6429247856140137,-0.003405272727832198,0.6489542722702026,0.5959568023681641,-0.022983141243457794,0.6424012184143066,0.6432957053184509,-0.035801779478788376,0.6402779221534729,0.689675509929657,-0.041937753558158875,0.6769770383834839,0.6513938903808594,-0.007865555584430695,0.6793557405471802,0.590732753276825,-0.030080106109380722,0.6682876348495483,0.6472410559654236,-0.038414306938648224,0.6618334650993347,0.6996939182281494,-0.03886497765779495,0.7023245692253113,0.6734232902526855,-0.014912414364516735,0.709053635597229,0.603872537612915,-0.0362875871360302,0.695424497127533,0.6576521396636963,-0.03613828122615814,0.6877908706665039,0.7055341005325317,-0.03071487322449684,0.7249197959899902,0.7075543999671936,-0.022821513935923576,0.7225871086120605,0.668555736541748,-0.03980955481529236,0.7074501514434814,0.7053322792053223,-0.03937046602368355,0.6999124884605408,0.7407808899879456,-0.03511746600270271
