frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6835711002349854,0.7308693528175354,-2.6902347372015356e-07,0.6602417826652527,0.6692808866500854,-0.017293764278292656,0.6694011688232422,0.5918391346931458,-0.02562190219759941,0.7004671692848206,0.5533415675163269,-0.033128250390291214,0.7292975187301636,0.5322830677032471,-0.03824884071946144,0.665166974067688,0.5518227219581604,-0.013502503745257854,0.6637110114097595,0.5153439044952393,-0.03753729909658432,0.6685693264007568,0.5708313584327698,-0.05189291387796402,0.6712692379951477,0.6194102764129639,-0.0577666200697422,0.6923147439956665,0.55609530210495,-0.014275752007961273,0.692940890789032,0.4973859190940857,-0.040765274316072464,0.6913682222366333,0.5614314079284668,-0.04930882528424263,0.689338743686676,0.6172196865081787,-0.04821982979774475,0.7193508148193359,0.5759173035621643,-0.017990728840231895,0.7208965420722961,0.5426589250564575,-0.04173345863819122,0.7072441577911377,0.6106026768684387,-0.037998996675014496,0.6963284015655518,0.6576635837554932,-0.02833733521401882,0.7424719333648682,0.6058976650238037,-0.023616647347807884,0.7347182035446167,0.5934357047080994,-0.03707273676991463,0.7194845676422119,0.636691689491272,-0.032244276255369186,0.7112379670143127,0.6659786105155945,-0.02469959668815136
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6817002296447754,0.7320098876953125,-2.7620797027338995e-07,0.6597774028778076,0.6718215346336365,-0.016364382579922676,0.6683691740036011,0.5967814326286316,-0.024782365188002586,0.6989569067955017,0.5533782243728638,-0.032925207167863846,0.7273783087730408,0.5282637476921082,-0.038547441363334656,0.6637970805168152,0.5540905594825745,-0.010281162336468697,0.6634812951087952,0.5150332450866699,-0.03475918248295784,0.6689520478248596,0.5682002305984497,-0.04994495213031769,0.6711215376853943,0.6164302229881287,-0.055990900844335556,0.6900319457054138,0.560314953327179,-0.01197404507547617,0.6913138031959534,0.4996354281902313,-0.03744077309966087,0.6917793154716492,0.5580258965492249,-0.04658983647823334,0.6898105144500732,0.6112726330757141,-0.04601789638400078,0.7165891528129578,0.5812936425209045,-0.01686401292681694,0.718084990978241,0.5500057339668274,-0.039816200733184814,0.7066302299499512,0.6144891977310181,-0.036680687218904495,0.6965928673744202,0.6588884592056274,-0.027507711201906204,0.7400343418121338,0.6131936311721802,-0.023638542741537094,0.7356866002082825,0.5947480201721191,-0.03520844131708145,0.7218573689460754,0.6352667212486267,-0.029349222779273987,0.7135151028633118,0.6642889380455017,-0.02141192927956581
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6817002296447754,0.7320098876953125,-2.7620797027338995e-07,0.6597774028778076,0.6718215346336365,-0.016364382579922676,0.6683691740036011,0.5967814326286316,-0.024782365188002586,0.6989569067955017,0.5533782243728638,-0.032925207167863846,0.7273783087730408,0.5282637476921082,-0.038547441363334656,0.6637970805168152,0.5540905594825745,-0.010281162336468697,0.6634812951087952,0.5150332450866699,-0.03475918248295784,0.6689520478248596,0.5682002305984497,-0.04994495213031769,0.6711215376853943,0.6164302229881287,-0.055990900844335556,0.6900319457054138,0.560314953327179,-0.01197404507547617,0.6913138031959534,0.4996354281902313,-0.03744077309966087,0.6917793154716492,0.5580258965492249,-0.04658983647823334,0.6898105144500732,0.6112726330757141,-0.04601789638400078,0.7165891528129578,0.5812936425209045,-0.01686401292681694,0.718084990978241,0.5500057339668274,-0.039816200733184814,0.7066302299499512,0.6144891977310181,-0.036680687218904495,0.6965928673744202,0.6588884592056274,-0.027507711201906204,0.7400343418121338,0.6131936311721802,-0.023638542741537094,0.7356866002082825,0.5947480201721191,-0.03520844131708145,0.7218573689460754,0.6352667212486267,-0.029349222779273987,0.7135151028633118,0.6642889380455017,-0.02141192927956581
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.681440532207489,0.7307488918304443,-2.67918011331858e-07,0.659299910068512,0.6678020358085632,-0.015530968084931374,0.6679034233093262,0.5927677154541016,-0.02372756414115429,0.698887825012207,0.5520424842834473,-0.031889669597148895,0.7278869152069092,0.5307938456535339,-0.03766468167304993,0.6629430055618286,0.5542942881584167,-0.009902170859277248,0.6631647944450378,0.5155991315841675,-0.034727729856967926,0.6692736148834229,0.5687687993049622,-0.04988458380103111,0.6718957424163818,0.6175599694252014,-0.05573001131415367,0.6896269917488098,0.560987651348114,-0.012072635814547539,0.6916710138320923,0.4999571740627289,-0.03823889046907425,0.6920250654220581,0.5579345226287842,-0.04763912037014961,0.6904512047767639,0.6114557385444641,-0.04688990116119385,0.716663658618927,0.5819894671440125,-0.017357822507619858,0.7184543609619141,0.5504466891288757,-0.04075421765446663,0.7069470882415771,0.6141480207443237,-0.03764966130256653,0.6974303126335144,0.6586301326751709,-0.028099166229367256,0.7403758764266968,0.6132519245147705,-0.024400630965828896,0.7360259890556335,0.5938764810562134,-0.035512253642082214,0.7221543788909912,0.6336293816566467,-0.029121581465005875,0.7143731117248535,0.6624069809913635,-0.020692311227321625
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.681440532207489,0.7307488918304443,-2.67918011331858e-07,0.659299910068512,0.6678020358085632,-0.015530968084931374,0.6679034233093262,0.5927677154541016,-0.02372756414115429,0.698887825012207,0.5520424842834473,-0.031889669597148895,0.7278869152069092,0.5307938456535339,-0.03766468167304993,0.6629430055618286,0.5542942881584167,-0.009902170859277248,0.6631647944450378,0.5155991315841675,-0.034727729856967926,0.6692736148834229,0.5687687993049622,-0.04988458380103111,0.6718957424163818,0.6175599694252014,-0.05573001131415367,0.6896269917488098,0.560987651348114,-0.012072635814547539,0.6916710138320923,0.4999571740627289,-0.03823889046907425,0.6920250654220581,0.5579345226287842,-0.04763912037014961,0.6904512047767639,0.6114557385444641,-0.04688990116119385,0.716663658618927,0.5819894671440125,-0.017357822507619858,0.7184543609619141,0.5504466891288757,-0.04075421765446663,0.7069470882415771,0.6141480207443237,-0.03764966130256653,0.6974303126335144,0.6586301326751709,-0.028099166229367256,0.7403758764266968,0.6132519245147705,-0.024400630965828896,0.7360259890556335,0.5938764810562134,-0.035512253642082214,0.7221543788909912,0.6336293816566467,-0.029121581465005875,0.7143731117248535,0.6624069809913635,-0.020692311227321625
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6828128099441528,0.7309185266494751,-2.532370615426771e-07,0.6604576110839844,0.6696943640708923,-0.01619844138622284,0.6683405041694641,0.595653772354126,-0.024615971371531487,0.6994181871414185,0.5535856485366821,-0.032934363931417465,0.729156494140625,0.5303002595901489,-0.03901079297065735,0.6625743508338928,0.5518844127655029,-0.009391617961227894,0.662200927734375,0.5155704021453857,-0.034531816840171814,0.6686277389526367,0.5674921870231628,-0.050685472786426544,0.6714828610420227,0.6167656779289246,-0.05714939907193184,0.6892465949058533,0.5572232604026794,-0.010937219485640526,0.6908960342407227,0.500238299369812,-0.03717900067567825,0.6914652585983276,0.5581914186477661,-0.04722980782389641,0.6894702315330505,0.6135647892951965,-0.04691613093018532,0.7160711288452148,0.5764986872673035,-0.01570741832256317,0.7176993489265442,0.5507823824882507,-0.0396270826458931,0.7054903507232666,0.6153092384338379,-0.03771097585558891,0.6945688128471375,0.6612850427627563,-0.028782783076167107,0.7391530275344849,0.6058777570724487,-0.022301357239484787,0.7341659069061279,0.5938809514045715,-0.03458041325211525,0.7197654843330383,0.6356924772262573,-0.02937503717839718,0.7104405760765076,0.6664882898330688,-0.02144758030772209
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683177649974823,0.7305493950843811,-2.7366729682398727e-07,0.6594446301460266,0.6695708632469177,-0.016278250142931938,0.66885906457901,0.5918704867362976,-0.02406083233654499,0.7006769776344299,0.5550407767295837,-0.03125358745455742,0.7312144637107849,0.5358099341392517,-0.03620311617851257,0.6647802591323853,0.5487896203994751,-0.011322686448693275,0.6632652878761292,0.5162193775177002,-0.0344369001686573,0.6688738465309143,0.571918249130249,-0.048560503870248795,0.6724163293838501,0.6218433380126953,-0.05422721058130264,0.691944420337677,0.5531674027442932,-0.012154906056821346,0.6916401386260986,0.4993593990802765,-0.03772188723087311,0.6905777454376221,0.5620337128639221,-0.046431925147771835,0.6890700459480286,0.6189501881599426,-0.04534293711185455,0.7188155055046082,0.5717522501945496,-0.015890132635831833,0.71819669008255,0.5443889498710632,-0.038457099348306656,0.7048503160476685,0.6108307838439941,-0.035843074321746826,0.6945700645446777,0.6578801870346069,-0.02703073062002659,0.741850733757019,0.6006937623023987,-0.021471021696925163,0.7310137152671814,0.5941122174263,-0.03378064185380936,0.7155401706695557,0.6376186013221741,-0.029541002586483955,0.7074997425079346,0.6679381728172302,-0.02248849719762802
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683177649974823,0.7305493950843811,-2.7366729682398727e-07,0.6594446301460266,0.6695708632469177,-0.016278250142931938,0.66885906457901,0.5918704867362976,-0.02406083233654499,0.7006769776344299,0.5550407767295837,-0.03125358745455742,0.7312144637107849,0.5358099341392517,-0.03620311617851257,0.6647802591323853,0.5487896203994751,-0.011322686448693275,0.6632652878761292,0.5162193775177002,-0.0344369001686573,0.6688738465309143,0.571918249130249,-0.048560503870248795,0.6724163293838501,0.6218433380126953,-0.05422721058130264,0.691944420337677,0.5531674027442932,-0.012154906056821346,0.6916401386260986,0.4993593990802765,-0.03772188723087311,0.6905777454376221,0.5620337128639221,-0.046431925147771835,0.6890700459480286,0.6189501881599426,-0.04534293711185455,0.7188155055046082,0.5717522501945496,-0.015890132635831833,0.71819669008255,0.5443889498710632,-0.038457099348306656,0.7048503160476685,0.6108307838439941,-0.035843074321746826,0.6945700645446777,0.6578801870346069,-0.02703073062002659,0.741850733757019,0.6006937623023987,-0.021471021696925163,0.7310137152671814,0.5941122174263,-0.03378064185380936,0.7155401706695557,0.6376186013221741,-0.029541002586483955,0.7074997425079346,0.6679381728172302,-0.02248849719762802
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6813653111457825,0.7320913076400757,-2.697180718769232e-07,0.6596850752830505,0.6677888631820679,-0.015099038369953632,0.6686089634895325,0.5921789407730103,-0.022684816271066666,0.6998502016067505,0.5528750419616699,-0.030281061306595802,0.7299675941467285,0.5338056683540344,-0.03551548346877098,0.6630783081054688,0.5527665019035339,-0.007962582632899284,0.6637139916419983,0.5167000889778137,-0.031696438789367676,0.669212281703949,0.5707682967185974,-0.04663703963160515,0.6718018054962158,0.6194246411323547,-0.05259539559483528,0.6896393299102783,0.559221625328064,-0.009784834459424019,0.6921308040618896,0.5008403062820435,-0.035133909434080124,0.6917044520378113,0.5602453947067261,-0.044310037046670914,0.6894229054450989,0.6142725944519043,-0.04352191090583801,0.7163559198379517,0.5791280269622803,-0.014722161926329136,0.7184450626373291,0.5497791767120361,-0.03763068839907646,0.705790638923645,0.6137915849685669,-0.035017941147089005,0.6948082447052002,0.6589480638504028,-0.025848448276519775,0.7395948767662048,0.608982503414154,-0.021420519798994064,0.733907163143158,0.5947951674461365,-0.03285861387848854,0.7189350724220276,0.6359935998916626,-0.027342651039361954,0.7093778252601624,0.6662442088127136,-0.019435597583651543
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6813653111457825,0.7320913076400757,-2.697180718769232e-07,0.6596850752830505,0.6677888631820679,-0.015099038369953632,0.6686089634895325,0.5921789407730103,-0.022684816271066666,0.6998502016067505,0.5528750419616699,-0.030281061306595802,0.7299675941467285,0.5338056683540344,-0.03551548346877098,0.6630783081054688,0.5527665019035339,-0.007962582632899284,0.6637139916419983,0.5167000889778137,-0.031696438789367676,0.669212281703949,0.5707682967185974,-0.04663703963160515,0.6718018054962158,0.6194246411323547,-0.05259539559483528,0.6896393299102783,0.559221625328064,-0.009784834459424019,0.6921308040618896,0.5008403062820435,-0.035133909434080124,0.6917044520378113,0.5602453947067261,-0.044310037046670914,0.6894229054450989,0.6142725944519043,-0.04352191090583801,0.7163559198379517,0.5791280269622803,-0.014722161926329136,0.7184450626373291,0.5497791767120361,-0.03763068839907646,0.705790638923645,0.6137915849685669,-0.035017941147089005,0.6948082447052002,0.6589480638504028,-0.025848448276519775,0.7395948767662048,0.608982503414154,-0.021420519798994064,0.733907163143158,0.5947951674461365,-0.03285861387848854,0.7189350724220276,0.6359935998916626,-0.027342651039361954,0.7093778252601624,0.6662442088127136,-0.019435597583651543
