frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609609723091125,0.540730893611908,-2.109592571741814e-07,0.638495922088623,0.5326109528541565,-0.0009167132084257901,0.6231335997581482,0.5196554660797119,-0.004186163656413555,0.6103644967079163,0.5130795836448669,-0.00952626671642065,0.6038535237312317,0.5045671463012695,-0.014423251152038574,0.6367267966270447,0.46285611391067505,0.004015912767499685,0.6186001300811768,0.44549211859703064,-0.0037364684976637363,0.6076423525810242,0.4622269868850708,-0.010692426934838295,0.6028669476509094,0.48230811953544617,-0.014505952596664429,0.6406712532043457,0.45888254046440125,7.169123273342848e-05,0.6161962151527405,0.4410465955734253,-0.007292804308235645,0.6049801707267761,0.4616751968860626,-0.01282944343984127,0.6022244095802307,0.48348668217658997,-0.015538420528173447,0.6435708999633789,0.4593643844127655,-0.005091924220323563,0.6196398735046387,0.44101086258888245,-0.011749058030545712,0.6072784662246704,0.4614115357398987,-0.014476384967565536,0.6035897731781006,0.4844765067100525,-0.0148959094658494,0.6445236802101135,0.4651455283164978,-0.010608907788991928,0.6245409846305847,0.4519612491130829,-0.015022005885839462,0.6126136183738708,0.4626605212688446,-0.015762073919177055,0.6065004467964172,0.4792758524417877,-0.015207911841571331
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6601693034172058,0.540344774723053,-2.1196929367306439e-07,0.6378598213195801,0.5319007039070129,-0.00082994723925367,0.622602105140686,0.5191042423248291,-0.004216798115521669,0.6099344491958618,0.5131334066390991,-0.009660117328166962,0.6033178567886353,0.5044257044792175,-0.01466282457113266,0.6369833946228027,0.4612230062484741,0.004061209969222546,0.6186402440071106,0.44538548588752747,-0.0036683152429759502,0.607402503490448,0.46241310238838196,-0.010748548433184624,0.6026583909988403,0.48230963945388794,-0.014729419723153114,0.6407772898674011,0.45782285928726196,8.196693670470268e-05,0.6159422397613525,0.44104084372520447,-0.007392766419798136,0.604694128036499,0.4622776508331299,-0.013081174343824387,0.6024320721626282,0.48394274711608887,-0.015908734872937202,0.6436058878898621,0.45888614654541016,-0.00507190078496933,0.6196973323822021,0.4413483738899231,-0.011536741629242897,0.607204020023346,0.4612443447113037,-0.014235558919608593,0.6036478281021118,0.48386675119400024,-0.014678522013127804,0.6446799635887146,0.4652988016605377,-0.01059283223003149,0.6245108842849731,0.4525873064994812,-0.014840359799563885,0.6124816536903381,0.4625043570995331,-0.015576673671603203,0.606434166431427,0.4782026708126068,-0.015009498223662376
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6601693034172058,0.540344774723053,-2.1196929367306439e-07,0.6378598213195801,0.5319007039070129,-0.00082994723925367,0.622602105140686,0.5191042423248291,-0.004216798115521669,0.6099344491958618,0.5131334066390991,-0.009660117328166962,0.6033178567886353,0.5044257044792175,-0.01466282457113266,0.6369833946228027,0.4612230062484741,0.004061209969222546,0.6186402440071106,0.44538548588752747,-0.0036683152429759502,0.607402503490448,0.46241310238838196,-0.010748548433184624,0.6026583909988403,0.48230963945388794,-0.014729419723153114,0.6407772898674011,0.45782285928726196,8.196693670470268e-05,0.6159422397613525,0.44104084372520447,-0.007392766419798136,0.604694128036499,0.4622776508331299,-0.013081174343824387,0.6024320721626282,0.48394274711608887,-0.015908734872937202,0.6436058878898621,0.45888614654541016,-0.00507190078496933,0.6196973323822021,0.4413483738899231,-0.011536741629242897,0.607204020023346,0.4612443447113037,-0.014235558919608593,0.6036478281021118,0.48386675119400024,-0.014678522013127804,0.6446799635887146,0.4652988016605377,-0.01059283223003149,0.6245108842849731,0.4525873064994812,-0.014840359799563885,0.6124816536903381,0.4625043570995331,-0.015576673671603203,0.606434166431427,0.4782026708126068,-0.015009498223662376
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6601693034172058,0.540344774723053,-2.1196929367306439e-07,0.6378598213195801,0.5319007039070129,-0.00082994723925367,0.622602105140686,0.5191042423248291,-0.004216798115521669,0.6099344491958618,0.5131334066390991,-0.009660117328166962,0.6033178567886353,0.5044257044792175,-0.01466282457113266,0.6369833946228027,0.4612230062484741,0.004061209969222546,0.6186402440071106,0.44538548588752747,-0.0036683152429759502,0.607402503490448,0.46241310238838196,-0.010748548433184624,0.6026583909988403,0.48230963945388794,-0.014729419723153114,0.6407772898674011,0.45782285928726196,8.196693670470268e-05,0.6159422397613525,0.44104084372520447,-0.007392766419798136,0.604694128036499,0.4622776508331299,-0.013081174343824387,0.6024320721626282,0.48394274711608887,-0.015908734872937202,0.6436058878898621,0.45888614654541016,-0.00507190078496933,0.6196973323822021,0.4413483738899231,-0.011536741629242897,0.607204020023346,0.4612443447113037,-0.014235558919608593,0.6036478281021118,0.48386675119400024,-0.014678522013127804,0.6446799635887146,0.4652988016605377,-0.01059283223003149,0.6245108842849731,0.4525873064994812,-0.014840359799563885,0.6124816536903381,0.4625043570995331,-0.015576673671603203,0.606434166431427,0.4782026708126068,-0.015009498223662376
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.660468578338623,0.5405345559120178,-2.0881040541098628e-07,0.6379335522651672,0.5325896739959717,-6.783495337003842e-05,0.6223800182342529,0.5186494588851929,-0.003060583956539631,0.6094886660575867,0.5125955939292908,-0.00831802561879158,0.602334201335907,0.50447678565979,-0.013165423646569252,0.6361653208732605,0.461627334356308,0.004764724522829056,0.617993175983429,0.4438436031341553,-0.0027932641096413136,0.6068814992904663,0.4610453248023987,-0.009521438740193844,0.6028357744216919,0.4809480905532837,-0.013275946490466595,0.6402954459190369,0.4584425091743469,0.00024947707424871624,0.6157037019729614,0.44039949774742126,-0.007192822173237801,0.6041492819786072,0.4624498784542084,-0.01255529560148716,0.6024651527404785,0.484142541885376,-0.015081060118973255,0.6434216499328613,0.45987939834594727,-0.005454250145703554,0.619315505027771,0.4411805272102356,-0.012090370990335941,0.6066058874130249,0.46206045150756836,-0.01454126462340355,0.6037939190864563,0.48495417833328247,-0.014745754189789295,0.6448671221733093,0.46658191084861755,-0.0114546287804842,0.6246916055679321,0.45337143540382385,-0.01588788628578186,0.6124096512794495,0.46423935890197754,-0.016540182754397392,0.6068652272224426,0.48059794306755066,-0.015896711498498917
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609988212585449,0.5406274795532227,-2.2001732702392474e-07,0.6383442878723145,0.5328332185745239,0.00021181364718358964,0.6225947141647339,0.5188068151473999,-0.002461792901158333,0.6098318099975586,0.512234091758728,-0.007423283066600561,0.6026000380516052,0.5040024518966675,-0.01200604997575283,0.6356618404388428,0.4602907598018646,0.005026617553085089,0.6177577376365662,0.4443157911300659,-0.002511406783014536,0.6066581606864929,0.4620634913444519,-0.009271815419197083,0.6023958325386047,0.4818783700466156,-0.013002985157072544,0.6399845480918884,0.4565868675708771,0.00046521739568561316,0.6158376336097717,0.4406641721725464,-0.006752925459295511,0.6041744947433472,0.4627532958984375,-0.011823033913969994,0.6019923090934753,0.48453059792518616,-0.014134610071778297,0.6431435346603394,0.4580504596233368,-0.00527781480923295,0.6193652749061584,0.44172048568725586,-0.01173272542655468,0.6065629720687866,0.4626261591911316,-0.013920798897743225,0.6031774878501892,0.48538729548454285,-0.013946214690804482,0.6445227265357971,0.4651043713092804,-0.011318019591271877,0.6243841052055359,0.45355480909347534,-0.015540934167802334,0.612010657787323,0.46447575092315674,-0.01598471589386463,0.6059690713882446,0.48041677474975586,-0.015168042853474617
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6610223650932312,0.5409922003746033,-2.259653513192461e-07,0.6382917761802673,0.5319619178771973,0.0007368694641627371,0.6222401857376099,0.5181335806846619,-0.0018213356379419565,0.6094076633453369,0.51203852891922,-0.0067415679804980755,0.6020611524581909,0.50376957654953,-0.011385357938706875,0.6359232664108276,0.45948120951652527,0.0053076655603945255,0.6176717877388,0.44437775015830994,-0.002171941800042987,0.606658399105072,0.46197858452796936,-0.009056011214852333,0.6022617220878601,0.4812316298484802,-0.012896181084215641,0.6404064297676086,0.4559878408908844,0.0005065362784080207,0.6156692504882812,0.4415210485458374,-0.00666765496134758,0.6040008664131165,0.463409960269928,-0.011914471164345741,0.6016719341278076,0.4847438931465149,-0.014433448202908039,0.6435946822166443,0.45777207612991333,-0.005404775030910969,0.6197402477264404,0.4418858289718628,-0.011660207062959671,0.6067082285881042,0.4617282450199127,-0.013786558993160725,0.6028468012809753,0.48374250531196594,-0.013842569664120674,0.6451390385627747,0.4649606943130493,-0.01157499011605978,0.6252672076225281,0.4526617228984833,-0.015597687102854252,0.6128273606300354,0.46178120374679565,-0.015894858166575432,0.6063482165336609,0.4759857654571533,-0.014990285970270634
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609476804733276,0.5399283766746521,-2.215863617038849e-07,0.6386546492576599,0.532633364200592,6.718063377775252e-05,0.622893750667572,0.518949031829834,-0.0024869851768016815,0.6100262403488159,0.512200653553009,-0.007289175875484943,0.6025808453559875,0.5028097033500671,-0.011704500764608383,0.6348013877868652,0.46239858865737915,0.005286162719130516,0.617579460144043,0.4453648030757904,-0.0021028548944741488,0.6067938804626465,0.4623854160308838,-0.008813217282295227,0.602817714214325,0.4816792607307434,-0.01257899310439825,0.6390628218650818,0.4581771790981293,0.0008482941775582731,0.6157135367393494,0.4410843551158905,-0.006344897672533989,0.6045664548873901,0.4625382125377655,-0.011662905104458332,0.6027424931526184,0.4835875928401947,-0.014214328490197659,0.6424835920333862,0.4585805833339691,-0.004787555895745754,0.6195973753929138,0.44083330035209656,-0.01115993782877922,0.6071190237998962,0.46124428510665894,-0.013589514419436455,0.6039202809333801,0.48359429836273193,-0.013881062157452106,0.6446307301521301,0.46418794989585876,-0.010731054469943047,0.6245801448822021,0.4519546329975128,-0.014909885823726654,0.6124581098556519,0.46288642287254333,-0.015507370233535767,0.6067426204681396,0.47888606786727905,-0.014893908053636551
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6608020067214966,0.5410804748535156,-2.1489815082986752e-07,0.6382802128791809,0.532695472240448,-0.00034037278965115547,0.6225822567939758,0.519218385219574,-0.0033265429083257914,0.6098319292068481,0.5125088095664978,-0.008476946502923965,0.6024187803268433,0.5039358139038086,-0.013203800655901432,0.6357386708259583,0.4633544087409973,0.004523508250713348,0.6180785894393921,0.44521364569664,-0.003143511014059186,0.6071137189865112,0.4615253806114197,-0.010006338357925415,0.602767288684845,0.480022668838501,-0.013872670009732246,0.6399568915367126,0.4593994915485382,0.00022274022921919823,0.6158517599105835,0.44080850481987,-0.007441988214850426,0.6044186353683472,0.46195748448371887,-0.013029803521931171,0.6022278070449829,0.4825730323791504,-0.01570848375558853,0.6431431770324707,0.4599331021308899,-0.005262742750346661,0.6197804808616638,0.44086921215057373,-0.011913320980966091,0.6070302724838257,0.46070536971092224,-0.014460841193795204,0.603418231010437,0.48275357484817505,-0.014765267260372639,0.6448277831077576,0.4657212197780609,-0.011072510853409767,0.6249294281005859,0.4529959559440613,-0.015332832932472229,0.6125487089157104,0.46284130215644836,-0.016039779409766197,0.6063353419303894,0.4779239892959595,-0.01550906989723444
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6608020067214966,0.5410804748535156,-2.1489815082986752e-07,0.6382802128791809,0.532695472240448,-0.00034037278965115547,0.6225822567939758,0.519218385219574,-0.0033265429083257914,0.6098319292068481,0.5125088095664978,-0.008476946502923965,0.6024187803268433,0.5039358139038086,-0.013203800655901432,0.6357386708259583,0.4633544087409973,0.004523508250713348,0.6180785894393921,0.44521364569664,-0.003143511014059186,0.6071137189865112,0.4615253806114197,-0.010006338357925415,0.602767288684845,0.480022668838501,-0.013872670009732246,0.6399568915367126,0.4593994915485382,0.00022274022921919823,0.6158517599105835,0.44080850481987,-0.007441988214850426,0.6044186353683472,0.46195748448371887,-0.013029803521931171,0.6022278070449829,0.4825730323791504,-0.01570848375558853,0.6431431770324707,0.4599331021308899,-0.005262742750346661,0.6197804808616638,0.44086921215057373,-0.011913320980966091,0.6070302724838257,0.46070536971092224,-0.014460841193795204,0.603418231010437,0.48275357484817505,-0.014765267260372639,0.6448277831077576,0.4657212197780609,-0.011072510853409767,0.6249294281005859,0.4529959559440613,-0.015332832932472229,0.6125487089157104,0.46284130215644836,-0.016039779409766197,0.6063353419303894,0.4779239892959595,-0.01550906989723444
