frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6212732791900635,0.5549187660217285,-3.6435667993828247e-07,0.5926151871681213,0.5911375284194946,-0.02256999909877777,0.5684643983840942,0.6309977769851685,-0.043761104345321655,0.5502885580062866,0.6865601539611816,-0.06156091019511223,0.5386279821395874,0.7169620990753174,-0.0795230120420456,0.578371524810791,0.5494661927223206,-0.05279206484556198,0.5735111832618713,0.6637016534805298,-0.0724702924489975,0.5737847685813904,0.7188088297843933,-0.08708054572343826,0.575498640537262,0.7484278678894043,-0.09599965810775757,0.6054801940917969,0.535198986530304,-0.05071872100234032,0.599089503288269,0.6633856892585754,-0.05863434448838234,0.602429211139679,0.6644375920295715,-0.0594942569732666,0.6061106324195862,0.6539894342422485,-0.06343571841716766,0.6324297785758972,0.5370460152626038,-0.04837558791041374,0.6224610805511475,0.6589701175689697,-0.051534686237573624,0.6246707439422607,0.6549837589263916,-0.04014917463064194,0.6274343729019165,0.6406205296516418,-0.03483758121728897,0.653592586517334,0.5510448813438416,-0.04928181320428848,0.6470509171485901,0.6422494053840637,-0.05298878252506256,0.645393431186676,0.6463639736175537,-0.04316268488764763,0.6466179490089417,0.6393414735794067,-0.03560398146510124
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6189139485359192,0.550748348236084,-3.575390223886643e-07,0.5919049978256226,0.5867415070533752,-0.02420390024781227,0.5689871907234192,0.628294825553894,-0.04621567577123642,0.553000807762146,0.6874951124191284,-0.0643775686621666,0.5419403910636902,0.725671648979187,-0.08278157562017441,0.5762469172477722,0.5466786623001099,-0.055962175130844116,0.5722956657409668,0.6606173515319824,-0.0763210654258728,0.572903037071228,0.7184864282608032,-0.09054743498563766,0.5747038125991821,0.7511947751045227,-0.09891729056835175,0.6041331887245178,0.533272922039032,-0.05332212522625923,0.5983603000640869,0.6633174419403076,-0.0625346451997757,0.5995883941650391,0.6685787439346313,-0.06367607414722443,0.6021421551704407,0.6619119048118591,-0.06763796508312225,0.6315399408340454,0.5350071787834167,-0.050409648567438126,0.6231818199157715,0.6579508185386658,-0.054665934294462204,0.6235475540161133,0.6576505303382874,-0.04356248304247856,0.6252909302711487,0.6460980176925659,-0.038196660578250885,0.653448760509491,0.5482924580574036,-0.050770096480846405,0.6484317779541016,0.637482762336731,-0.0549750030040741,0.6456727981567383,0.6444588899612427,-0.04504485800862312,0.6458113193511963,0.6399587988853455,-0.037337128072977066
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6189139485359192,0.550748348236084,-3.575390223886643e-07,0.5919049978256226,0.5867415070533752,-0.02420390024781227,0.5689871907234192,0.628294825553894,-0.04621567577123642,0.553000807762146,0.6874951124191284,-0.0643775686621666,0.5419403910636902,0.725671648979187,-0.08278157562017441,0.5762469172477722,0.5466786623001099,-0.055962175130844116,0.5722956657409668,0.6606173515319824,-0.0763210654258728,0.572903037071228,0.7184864282608032,-0.09054743498563766,0.5747038125991821,0.7511947751045227,-0.09891729056835175,0.6041331887245178,0.533272922039032,-0.05332212522625923,0.5983603000640869,0.6633174419403076,-0.0625346451997757,0.5995883941650391,0.6685787439346313,-0.06367607414722443,0.6021421551704407,0.6619119048118591,-0.06763796508312225,0.6315399408340454,0.5350071787834167,-0.050409648567438126,0.6231818199157715,0.6579508185386658,-0.054665934294462204,0.6235475540161133,0.6576505303382874,-0.04356248304247856,0.6252909302711487,0.6460980176925659,-0.038196660578250885,0.653448760509491,0.5482924580574036,-0.050770096480846405,0.6484317779541016,0.637482762336731,-0.0549750030040741,0.6456727981567383,0.6444588899612427,-0.04504485800862312,0.6458113193511963,0.6399587988853455,-0.037337128072977066
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6224468350410461,0.556724488735199,-3.7065163382976607e-07,0.5928351283073425,0.5905988216400146,-0.022996148094534874,0.5675013661384583,0.6269170641899109,-0.04413117840886116,0.5492427945137024,0.6768677830696106,-0.06163927912712097,0.5375088453292847,0.7017053365707397,-0.07932332158088684,0.5789088010787964,0.548486590385437,-0.0538196824491024,0.5732585191726685,0.6616727709770203,-0.0739176794886589,0.5733853578567505,0.7169870734214783,-0.08881451189517975,0.574872612953186,0.7478809356689453,-0.0977616235613823,0.6061981916427612,0.5356877446174622,-0.05122097209095955,0.5987033843994141,0.6636524200439453,-0.06006386876106262,0.600867748260498,0.6662243604660034,-0.06116761267185211,0.6041468381881714,0.6594794988632202,-0.06467514485120773,0.6328424215316772,0.5386028289794922,-0.048280660063028336,0.6215205788612366,0.6594396233558655,-0.05142191797494888,0.6227254867553711,0.6517975330352783,-0.03960483521223068,0.6254634857177734,0.635417640209198,-0.033686503767967224,0.6532275676727295,0.5539948344230652,-0.04860919341444969,0.645355224609375,0.6430484652519226,-0.05238630995154381,0.6432775259017944,0.6431185007095337,-0.04231798276305199,0.644764244556427,0.6320872902870178,-0.03427399322390556
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6224468350410461,0.556724488735199,-3.7065163382976607e-07,0.5928351283073425,0.5905988216400146,-0.022996148094534874,0.5675013661384583,0.6269170641899109,-0.04413117840886116,0.5492427945137024,0.6768677830696106,-0.06163927912712097,0.5375088453292847,0.7017053365707397,-0.07932332158088684,0.5789088010787964,0.548486590385437,-0.0538196824491024,0.5732585191726685,0.6616727709770203,-0.0739176794886589,0.5733853578567505,0.7169870734214783,-0.08881451189517975,0.574872612953186,0.7478809356689453,-0.0977616235613823,0.6061981916427612,0.5356877446174622,-0.05122097209095955,0.5987033843994141,0.6636524200439453,-0.06006386876106262,0.600867748260498,0.6662243604660034,-0.06116761267185211,0.6041468381881714,0.6594794988632202,-0.06467514485120773,0.6328424215316772,0.5386028289794922,-0.048280660063028336,0.6215205788612366,0.6594396233558655,-0.05142191797494888,0.6227254867553711,0.6517975330352783,-0.03960483521223068,0.6254634857177734,0.635417640209198,-0.033686503767967224,0.6532275676727295,0.5539948344230652,-0.04860919341444969,0.645355224609375,0.6430484652519226,-0.05238630995154381,0.6432775259017944,0.6431185007095337,-0.04231798276305199,0.644764244556427,0.6320872902870178,-0.03427399322390556
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6253983974456787,0.5598804354667664,-3.4433659834576247e-07,0.5961903929710388,0.5930824279785156,-0.024108145385980606,0.570163905620575,0.6316182017326355,-0.04663737490773201,0.5500667095184326,0.6884884238243103,-0.06561579555273056,0.5384977459907532,0.728941798210144,-0.08475206047296524,0.5780212879180908,0.5487592220306396,-0.05595049634575844,0.5715723633766174,0.6590628027915955,-0.07726334035396576,0.5719702243804932,0.7174414396286011,-0.09228437393903732,0.5725081562995911,0.7512524724006653,-0.1010032519698143,0.6056588292121887,0.5346457362174988,-0.05355514585971832,0.5973104238510132,0.6622384786605835,-0.06392432749271393,0.6025935411453247,0.6647814512252808,-0.06447187811136246,0.6077073216438293,0.6585056185722351,-0.06676550209522247,0.6329783201217651,0.539161741733551,-0.05100901797413826,0.6206889152526855,0.6596056818962097,-0.05556422099471092,0.6245243549346924,0.6521329879760742,-0.043169207870960236,0.6286551356315613,0.6354475021362305,-0.03599442541599274,0.6532256603240967,0.5562958717346191,-0.051834262907505035,0.6438831686973572,0.647363007068634,-0.05605025589466095,0.6436443328857422,0.6489759683609009,-0.045581620186567307,0.6464501619338989,0.6384314298629761,-0.036716025322675705
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6256945729255676,0.5560351610183716,-3.4423675288053346e-07,0.5954723954200745,0.5909878015518188,-0.024199750274419785,0.5699746012687683,0.6317499876022339,-0.04737657681107521,0.5508315563201904,0.6888759732246399,-0.06683218479156494,0.5388062000274658,0.7286186218261719,-0.08650203049182892,0.5787140727043152,0.5492773652076721,-0.05918727442622185,0.5724060535430908,0.6612751483917236,-0.08082710206508636,0.5727733373641968,0.7194942831993103,-0.0956520363688469,0.5733136534690857,0.7527921199798584,-0.10437852889299393,0.6064603328704834,0.5355475544929504,-0.057075172662734985,0.5985353589057922,0.6622958183288574,-0.06725160032510757,0.6032117605209351,0.6640413999557495,-0.06738641113042831,0.6080975532531738,0.6561597585678101,-0.07015638798475266,0.6336795091629028,0.5394605398178101,-0.05466090887784958,0.6224119663238525,0.6591772437095642,-0.05921648070216179,0.6255843043327332,0.6538510918617249,-0.04687785357236862,0.6294767260551453,0.6391139030456543,-0.04037999361753464,0.6543928980827332,0.5553458333015442,-0.055592235177755356,0.6461492776870728,0.6452857255935669,-0.05986397713422775,0.6455925107002258,0.6485460996627808,-0.04965325444936752,0.6480509042739868,0.6402165293693542,-0.04151801019906998
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6256945729255676,0.5560351610183716,-3.4423675288053346e-07,0.5954723954200745,0.5909878015518188,-0.024199750274419785,0.5699746012687683,0.6317499876022339,-0.04737657681107521,0.5508315563201904,0.6888759732246399,-0.06683218479156494,0.5388062000274658,0.7286186218261719,-0.08650203049182892,0.5787140727043152,0.5492773652076721,-0.05918727442622185,0.5724060535430908,0.6612751483917236,-0.08082710206508636,0.5727733373641968,0.7194942831993103,-0.0956520363688469,0.5733136534690857,0.7527921199798584,-0.10437852889299393,0.6064603328704834,0.5355475544929504,-0.057075172662734985,0.5985353589057922,0.6622958183288574,-0.06725160032510757,0.6032117605209351,0.6640413999557495,-0.06738641113042831,0.6080975532531738,0.6561597585678101,-0.07015638798475266,0.6336795091629028,0.5394605398178101,-0.05466090887784958,0.6224119663238525,0.6591772437095642,-0.05921648070216179,0.6255843043327332,0.6538510918617249,-0.04687785357236862,0.6294767260551453,0.6391139030456543,-0.04037999361753464,0.6543928980827332,0.5553458333015442,-0.055592235177755356,0.6461492776870728,0.6452857255935669,-0.05986397713422775,0.6455925107002258,0.6485460996627808,-0.04965325444936752,0.6480509042739868,0.6402165293693542,-0.04151801019906998
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6245267987251282,0.556567907333374,-3.4356628475507023e-07,0.5951123833656311,0.5911766290664673,-0.02422223426401615,0.5702975392341614,0.631855309009552,-0.046914223581552505,0.5511937737464905,0.6898002028465271,-0.06599023938179016,0.5392117500305176,0.7311433553695679,-0.08513667434453964,0.5777552127838135,0.5490363240242004,-0.05723954364657402,0.5723891258239746,0.6616831421852112,-0.0779695212841034,0.5730658769607544,0.7195689678192139,-0.0921359434723854,0.5740504860877991,0.7525597810745239,-0.10052405297756195,0.6054975986480713,0.5346639156341553,-0.055054426193237305,0.5978478789329529,0.6621667146682739,-0.06456122547388077,0.6025243997573853,0.6653190851211548,-0.06515725702047348,0.607313334941864,0.6572206616401672,-0.06858409196138382,0.6328989863395691,0.5375337600708008,-0.05263594910502434,0.6223889589309692,0.6570537090301514,-0.05728713423013687,0.6251608729362488,0.6554597020149231,-0.04600841924548149,0.6284199357032776,0.6428149938583374,-0.04039134457707405,0.6540625691413879,0.5521475672721863,-0.05353895574808121,0.6467540264129639,0.640834391117096,-0.05773155018687248,0.6460732221603394,0.6463585495948792,-0.04809956252574921,0.6481970548629761,0.6400712728500366,-0.040621962398290634
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6245267987251282,0.556567907333374,-3.4356628475507023e-07,0.5951123833656311,0.5911766290664673,-0.02422223426401615,0.5702975392341614,0.631855309009552,-0.046914223581552505,0.5511937737464905,0.6898002028465271,-0.06599023938179016,0.5392117500305176,0.7311433553695679,-0.08513667434453964,0.5777552127838135,0.5490363240242004,-0.05723954364657402,0.5723891258239746,0.6616831421852112,-0.0779695212841034,0.5730658769607544,0.7195689678192139,-0.0921359434723854,0.5740504860877991,0.7525597810745239,-0.10052405297756195,0.6054975986480713,0.5346639156341553,-0.055054426193237305,0.5978478789329529,0.6621667146682739,-0.06456122547388077,0.6025243997573853,0.6653190851211548,-0.06515725702047348,0.607313334941864,0.6572206616401672,-0.06858409196138382,0.6328989863395691,0.5375337600708008,-0.05263594910502434,0.6223889589309692,0.6570537090301514,-0.05728713423013687,0.6251608729362488,0.6554597020149231,-0.04600841924548149,0.6284199357032776,0.6428149938583374,-0.04039134457707405,0.6540625691413879,0.5521475672721863,-0.05353895574808121,0.6467540264129639,0.640834391117096,-0.05773155018687248,0.6460732221603394,0.6463585495948792,-0.04809956252574921,0.6481970548629761,0.6400712728500366,-0.040621962398290634
