frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6071881651878357,0.7860761880874634,-1.5944689835123427e-07,0.5736814141273499,0.7333890199661255,-0.02499518357217312,0.5618411302566528,0.6475215554237366,-0.0323338620364666,0.588493824005127,0.5928769707679749,-0.03814708814024925,0.6207149624824524,0.5692577958106995,-0.04265494644641876,0.5643519759178162,0.5591796040534973,-0.011265696957707405,0.5662057995796204,0.4580432176589966,-0.02103147841989994,0.5687447190284729,0.40041449666023254,-0.027301251888275146,0.5732728838920593,0.3494042754173279,-0.031919121742248535,0.5950869917869568,0.5580571293830872,-0.007848234847187996,0.5784822702407837,0.4557020962238312,-0.018190903589129448,0.566394031047821,0.393419086933136,-0.02353280410170555,0.558058500289917,0.3403032422065735,-0.025609523057937622,0.6250157952308655,0.575198233127594,-0.008159703575074673,0.6213600039482117,0.5236434936523438,-0.03168274089694023,0.6101186275482178,0.588170051574707,-0.035847343504428864,0.6051763296127319,0.6335363984107971,-0.03127770125865936,0.6557340025901794,0.5991535186767578,-0.010289043188095093,0.6507434248924255,0.5472033023834229,-0.030958672985434532,0.6355102062225342,0.5897382497787476,-0.03142346069216728,0.6270300149917603,0.6272860765457153,-0.0267263762652874
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6048426032066345,0.7868129014968872,-1.465708834302859e-07,0.5734854936599731,0.7301857471466064,-0.024176597595214844,0.5625952482223511,0.6437550783157349,-0.030530164018273354,0.5890068411827087,0.5880318880081177,-0.0360771082341671,0.6203917264938354,0.556676983833313,-0.04035928100347519,0.5636867880821228,0.5519016981124878,-0.004006478935480118,0.5635257959365845,0.45139068365097046,-0.01085513923317194,0.5649222135543823,0.3936595320701599,-0.01474251039326191,0.5690847635269165,0.3436318635940552,-0.017534885555505753,0.5943756103515625,0.5524039268493652,-0.0012594187865033746,0.5788623094558716,0.4495093822479248,-0.009753910824656487,0.5685840249061584,0.38798999786376953,-0.01386183314025402,0.5605136752128601,0.3381340205669403,-0.014488733373582363,0.6234230399131775,0.5726220607757568,-0.002800158690661192,0.6196357011795044,0.5198212265968323,-0.026767201721668243,0.6082372665405273,0.5886704921722412,-0.03201783075928688,0.6029065847396851,0.6358488202095032,-0.027688628062605858,0.6537371873855591,0.5994597673416138,-0.005926101002842188,0.6503575444221497,0.5463158488273621,-0.02666863054037094,0.6333027482032776,0.5886943936347961,-0.027467388659715652,0.6230247616767883,0.6241756677627563,-0.023070301860570908
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6063046455383301,0.7764555215835571,-1.5972099731698108e-07,0.5717983841896057,0.7293300628662109,-0.027579447254538536,0.5605116486549377,0.6416560411453247,-0.03476056084036827,0.5882182717323303,0.5872549414634705,-0.04005281627178192,0.6196721196174622,0.5577167272567749,-0.04413700848817825,0.5631064772605896,0.550673246383667,-0.011099733412265778,0.5645006895065308,0.45072194933891296,-0.02063736319541931,0.5665038824081421,0.3925711512565613,-0.025985751301050186,0.5707992315292358,0.3419460654258728,-0.029604878276586533,0.5934761762619019,0.5489406585693359,-0.006731959991157055,0.5774155259132385,0.44923293590545654,-0.0179752204567194,0.5660033226013184,0.38608115911483765,-0.023553844541311264,0.5585553646087646,0.3328015208244324,-0.024816812947392464,0.6228430271148682,0.5670692324638367,-0.006591860204935074,0.6172683238983154,0.5202407240867615,-0.03285149484872818,0.6064093112945557,0.5870764851570129,-0.039004500955343246,0.6029448509216309,0.6329529285430908,-0.03474659100174904,0.6529514193534851,0.5925320982933044,-0.008265269920229912,0.6477929353713989,0.5418393015861511,-0.032127078622579575,0.6314722299575806,0.5868983864784241,-0.03426103666424751,0.6231369972229004,0.6249170899391174,-0.030004484578967094
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6063046455383301,0.7764555215835571,-1.5972099731698108e-07,0.5717983841896057,0.7293300628662109,-0.027579447254538536,0.5605116486549377,0.6416560411453247,-0.03476056084036827,0.5882182717323303,0.5872549414634705,-0.04005281627178192,0.6196721196174622,0.5577167272567749,-0.04413700848817825,0.5631064772605896,0.550673246383667,-0.011099733412265778,0.5645006895065308,0.45072194933891296,-0.02063736319541931,0.5665038824081421,0.3925711512565613,-0.025985751301050186,0.5707992315292358,0.3419460654258728,-0.029604878276586533,0.5934761762619019,0.5489406585693359,-0.006731959991157055,0.5774155259132385,0.44923293590545654,-0.0179752204567194,0.5660033226013184,0.38608115911483765,-0.023553844541311264,0.5585553646087646,0.3328015208244324,-0.024816812947392464,0.6228430271148682,0.5670692324638367,-0.006591860204935074,0.6172683238983154,0.5202407240867615,-0.03285149484872818,0.6064093112945557,0.5870764851570129,-0.039004500955343246,0.6029448509216309,0.6329529285430908,-0.03474659100174904,0.6529514193534851,0.5925320982933044,-0.008265269920229912,0.6477929353713989,0.5418393015861511,-0.032127078622579575,0.6314722299575806,0.5868983864784241,-0.03426103666424751,0.6231369972229004,0.6249170899391174,-0.030004484578967094
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6025620102882385,0.7719550728797913,-1.7512753913706547e-07,0.5704200863838196,0.7234001755714417,-0.02849421836435795,0.5597332119941711,0.6397371292114258,-0.036681607365608215,0.5874277353286743,0.5853723883628845,-0.04253498092293739,0.6176201701164246,0.5475139617919922,-0.047229211777448654,0.56269770860672,0.5485971570014954,-0.01254500076174736,0.5641556978225708,0.449288547039032,-0.022880878299474716,0.566667377948761,0.3900066018104553,-0.02935636229813099,0.5721585750579834,0.33803755044937134,-0.033827003091573715,0.594233512878418,0.5500761866569519,-0.007406150456517935,0.5795968174934387,0.44894689321517944,-0.016878757625818253,0.5668163299560547,0.3859444558620453,-0.021120993420481682,0.5589642524719238,0.33277279138565063,-0.02208082191646099,0.6239987015724182,0.5711967945098877,-0.006644366774708033,0.6192036867141724,0.5170387029647827,-0.03099495731294155,0.6054205894470215,0.5849593877792358,-0.0353236086666584,0.6007386445999146,0.6325891613960266,-0.030553391203284264,0.653468668460846,0.5989352464675903,-0.007845582440495491,0.6492463946342468,0.5405099987983704,-0.030801502987742424,0.6303033828735352,0.5824203491210938,-0.03193426877260208,0.6198714971542358,0.61933434009552,-0.027314864099025726
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6060550808906555,0.7741652727127075,-1.4942953896479594e-07,0.5726842880249023,0.7259451150894165,-0.028381191194057465,0.5596438050270081,0.6434093713760376,-0.03663855046033859,0.5856435298919678,0.5882411599159241,-0.042862214148044586,0.617118239402771,0.5576908588409424,-0.047381967306137085,0.5630230903625488,0.5419744849205017,-0.011595197953283787,0.5646901726722717,0.4420517385005951,-0.022255785763263702,0.5676842927932739,0.38610321283340454,-0.02854425087571144,0.5725453495979309,0.3364432454109192,-0.03276040405035019,0.5939118266105652,0.5432147979736328,-0.007189963944256306,0.5784092545509338,0.44660520553588867,-0.01831763982772827,0.5655395984649658,0.386868953704834,-0.02383141592144966,0.5573453903198242,0.33411210775375366,-0.025552235543727875,0.6234002113342285,0.5641119480133057,-0.007163138594478369,0.6185228228569031,0.5182361602783203,-0.032779037952423096,0.6077743172645569,0.5834430456161499,-0.03794161602854729,0.6045783162117004,0.6286981105804443,-0.03333856910467148,0.6521098613739014,0.5912109017372131,-0.009199266321957111,0.6468634009361267,0.5445336699485779,-0.03214879706501961,0.6311937570571899,0.5869638919830322,-0.03385394439101219,0.6228822469711304,0.6228194236755371,-0.029486360028386116
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041131615638733,0.7798660397529602,-1.7425482212729548e-07,0.5709558129310608,0.7282114028930664,-0.02579355612397194,0.5599835515022278,0.6424447894096375,-0.03319783881306648,0.586532711982727,0.5874567031860352,-0.039060547947883606,0.6181655526161194,0.5578482151031494,-0.04380996897816658,0.5614871978759766,0.5509751439094543,-0.010447979904711246,0.564176619052887,0.45121413469314575,-0.02008063532412052,0.5664047598838806,0.3939693570137024,-0.026009690016508102,0.5709682106971741,0.3420605957508087,-0.030209984630346298,0.5918960571289062,0.5497311353683472,-0.006973763462156057,0.5763797163963318,0.449623167514801,-0.017278237268328667,0.5638657808303833,0.3862802982330322,-0.022462286055088043,0.5552136301994324,0.3306008577346802,-0.02403181977570057,0.6215514540672302,0.5684946179389954,-0.007521944586187601,0.6171316504478455,0.5177371501922607,-0.03241549804806709,0.6057658195495605,0.5854267477989197,-0.03795722499489784,0.602281928062439,0.6316878199577332,-0.03385176137089729,0.6518926620483398,0.5933367013931274,-0.009779529646039009,0.6468684077262878,0.5414067506790161,-0.03224881738424301,0.6307474970817566,0.5871046185493469,-0.0338255912065506,0.6232278347015381,0.6260516047477722,-0.02961445413529873
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041131615638733,0.7798660397529602,-1.7425482212729548e-07,0.5709558129310608,0.7282114028930664,-0.02579355612397194,0.5599835515022278,0.6424447894096375,-0.03319783881306648,0.586532711982727,0.5874567031860352,-0.039060547947883606,0.6181655526161194,0.5578482151031494,-0.04380996897816658,0.5614871978759766,0.5509751439094543,-0.010447979904711246,0.564176619052887,0.45121413469314575,-0.02008063532412052,0.5664047598838806,0.3939693570137024,-0.026009690016508102,0.5709682106971741,0.3420605957508087,-0.030209984630346298,0.5918960571289062,0.5497311353683472,-0.006973763462156057,0.5763797163963318,0.449623167514801,-0.017278237268328667,0.5638657808303833,0.3862802982330322,-0.022462286055088043,0.5552136301994324,0.3306008577346802,-0.02403181977570057,0.6215514540672302,0.5684946179389954,-0.007521944586187601,0.6171316504478455,0.5177371501922607,-0.03241549804806709,0.6057658195495605,0.5854267477989197,-0.03795722499489784,0.602281928062439,0.6316878199577332,-0.03385176137089729,0.6518926620483398,0.5933367013931274,-0.009779529646039009,0.6468684077262878,0.5414067506790161,-0.03224881738424301,0.6307474970817566,0.5871046185493469,-0.0338255912065506,0.6232278347015381,0.6260516047477722,-0.02961445413529873
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6049062609672546,0.7692239284515381,-1.484249736449783e-07,0.5718306303024292,0.7228501439094543,-0.02778530865907669,0.558969259262085,0.6413191556930542,-0.035641614347696304,0.5861065983772278,0.5860984325408936,-0.04123655706644058,0.6163057684898376,0.5489932298660278,-0.0455205962061882,0.5634180307388306,0.546908974647522,-0.011424385942518711,0.5624189972877502,0.4480227828025818,-0.021726544946432114,0.5634813904762268,0.38901516795158386,-0.028150441125035286,0.5674322843551636,0.338667631149292,-0.03243457153439522,0.5938075184822083,0.5475208163261414,-0.006690018344670534,0.5780559778213501,0.44748976826667786,-0.01670021563768387,0.5663041472434998,0.38394200801849365,-0.021700412034988403,0.559357225894928,0.3306562304496765,-0.023024147376418114,0.6224237680435181,0.567337155342102,-0.006286619696766138,0.6175979375839233,0.5185721516609192,-0.03090403974056244,0.605833113193512,0.5843835473060608,-0.03594072908163071,0.6017550230026245,0.6300881505012512,-0.03150168061256409,0.6503439545631409,0.5942592620849609,-0.0078202523291111,0.6458449363708496,0.5407881736755371,-0.03124123625457287,0.6283081769943237,0.5834153890609741,-0.0329216793179512,0.6183170676231384,0.6196497678756714,-0.028470654040575027
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6049062609672546,0.7692239284515381,-1.484249736449783e-07,0.5718306303024292,0.7228501439094543,-0.02778530865907669,0.558969259262085,0.6413191556930542,-0.035641614347696304,0.5861065983772278,0.5860984325408936,-0.04123655706644058,0.6163057684898376,0.5489932298660278,-0.0455205962061882,0.5634180307388306,0.546908974647522,-0.011424385942518711,0.5624189972877502,0.4480227828025818,-0.021726544946432114,0.5634813904762268,0.38901516795158386,-0.028150441125035286,0.5674322843551636,0.338667631149292,-0.03243457153439522,0.5938075184822083,0.5475208163261414,-0.006690018344670534,0.5780559778213501,0.44748976826667786,-0.01670021563768387,0.5663041472434998,0.38394200801849365,-0.021700412034988403,0.559357225894928,0.3306562304496765,-0.023024147376418114,0.6224237680435181,0.567337155342102,-0.006286619696766138,0.6175979375839233,0.5185721516609192,-0.03090403974056244,0.605833113193512,0.5843835473060608,-0.03594072908163071,0.6017550230026245,0.6300881505012512,-0.03150168061256409,0.6503439545631409,0.5942592620849609,-0.0078202523291111,0.6458449363708496,0.5407881736755371,-0.03124123625457287,0.6283081769943237,0.5834153890609741,-0.0329216793179512,0.6183170676231384,0.6196497678756714,-0.028470654040575027
