frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6210978031158447,0.645598828792572,-4.485168858536781e-07,0.593639612197876,0.5868386626243591,-0.008452389389276505,0.5838617086410522,0.5178368091583252,-0.014911871403455734,0.6075489521026611,0.47141724824905396,-0.02380252070724964,0.6347677707672119,0.4490109086036682,-0.029365526512265205,0.5820738673210144,0.45918717980384827,-0.001969809178262949,0.5770208239555359,0.39399707317352295,-0.023021573200821877,0.5796961188316345,0.45504194498062134,-0.034675780683755875,0.5817058086395264,0.4878525733947754,-0.03947330638766289,0.6093239188194275,0.45832905173301697,-0.005990023259073496,0.6049131155014038,0.3918639123439789,-0.024911584332585335,0.6032476425170898,0.4610353112220764,-0.027806974947452545,0.6014411449432373,0.4905107915401459,-0.025897573679685593,0.6363860368728638,0.4675539433956146,-0.013238618150353432,0.6333187818527222,0.40985700488090515,-0.03023289516568184,0.6250249743461609,0.4741721451282501,-0.022802136838436127,0.6198689341545105,0.510242760181427,-0.013566459529101849,0.6617106795310974,0.4846898019313812,-0.021921943873167038,0.6582875847816467,0.43644919991493225,-0.030228083953261375,0.6507604718208313,0.4603790044784546,-0.02407190203666687,0.6451510190963745,0.4797002375125885,-0.017242155969142914
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6255947947502136,0.6456699967384338,-4.4481856775746564e-07,0.5964438319206238,0.5905880331993103,-0.008343787863850594,0.5833840370178223,0.52240389585495,-0.014547995291650295,0.6065232753753662,0.4735567569732666,-0.02308601140975952,0.6354769468307495,0.45487481355667114,-0.028137588873505592,0.5823196768760681,0.46032577753067017,0.0005467029986903071,0.5771425366401672,0.39559248089790344,-0.020156869664788246,0.580967366695404,0.4580307602882385,-0.032073743641376495,0.5842522382736206,0.49017828702926636,-0.037367794662714005,0.609657347202301,0.4580397307872772,-0.003537596669048071,0.6051963567733765,0.3902527093887329,-0.021963126957416534,0.6061217188835144,0.4601891338825226,-0.024346906691789627,0.6058443188667297,0.49000343680381775,-0.022111179307103157,0.6366865634918213,0.4659925699234009,-0.011111065745353699,0.6343960762023926,0.40722841024398804,-0.02725430205464363,0.6288567781448364,0.4706785976886749,-0.019048983231186867,0.6256415843963623,0.5056300163269043,-0.009554795920848846,0.6625860333442688,0.48239660263061523,-0.020245729014277458,0.658267617225647,0.43432721495628357,-0.02792396955192089,0.6512130498886108,0.4652661681175232,-0.02119063027203083,0.647300660610199,0.4905087947845459,-0.014127935282886028
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6255947947502136,0.6456699967384338,-4.4481856775746564e-07,0.5964438319206238,0.5905880331993103,-0.008343787863850594,0.5833840370178223,0.52240389585495,-0.014547995291650295,0.6065232753753662,0.4735567569732666,-0.02308601140975952,0.6354769468307495,0.45487481355667114,-0.028137588873505592,0.5823196768760681,0.46032577753067017,0.0005467029986903071,0.5771425366401672,0.39559248089790344,-0.020156869664788246,0.580967366695404,0.4580307602882385,-0.032073743641376495,0.5842522382736206,0.49017828702926636,-0.037367794662714005,0.609657347202301,0.4580397307872772,-0.003537596669048071,0.6051963567733765,0.3902527093887329,-0.021963126957416534,0.6061217188835144,0.4601891338825226,-0.024346906691789627,0.6058443188667297,0.49000343680381775,-0.022111179307103157,0.6366865634918213,0.4659925699234009,-0.011111065745353699,0.6343960762023926,0.40722841024398804,-0.02725430205464363,0.6288567781448364,0.4706785976886749,-0.019048983231186867,0.6256415843963623,0.5056300163269043,-0.009554795920848846,0.6625860333442688,0.48239660263061523,-0.020245729014277458,0.658267617225647,0.43432721495628357,-0.02792396955192089,0.6512130498886108,0.4652661681175232,-0.02119063027203083,0.647300660610199,0.4905087947845459,-0.014127935282886028
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6271427869796753,0.6489065885543823,-3.9356069692075835e-07,0.5977579355239868,0.5929922461509705,-0.010946241207420826,0.5863365530967712,0.5244620442390442,-0.018235716968774796,0.6114482283592224,0.47654494643211365,-0.027369825169444084,0.6410085558891296,0.4569171369075775,-0.032983217388391495,0.5822386145591736,0.46335917711257935,-0.0018145807553082705,0.5800010561943054,0.3975348174571991,-0.022284377366304398,0.5851626992225647,0.45701339840888977,-0.03433520346879959,0.5872809290885925,0.48736798763275146,-0.03969455882906914,0.6106911301612854,0.4622948169708252,-0.004701243247836828,0.6088253855705261,0.39349669218063354,-0.022677989676594734,0.6108060479164124,0.4599418044090271,-0.02684776671230793,0.609429121017456,0.4890875220298767,-0.02601843699812889,0.6385716795921326,0.4713726341724396,-0.011034021154046059,0.6385548114776611,0.41122573614120483,-0.026558343321084976,0.6340401768684387,0.4713362455368042,-0.02093249000608921,0.6290260553359985,0.5059940218925476,-0.013318464159965515,0.664409339427948,0.48833855986595154,-0.01901448518037796,0.6623155474662781,0.43873244524002075,-0.025947798043489456,0.6559700965881348,0.4645180106163025,-0.020473400130867958,0.6501965522766113,0.4869132936000824,-0.014514447189867496
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6271427869796753,0.6489065885543823,-3.9356069692075835e-07,0.5977579355239868,0.5929922461509705,-0.010946241207420826,0.5863365530967712,0.5244620442390442,-0.018235716968774796,0.6114482283592224,0.47654494643211365,-0.027369825169444084,0.6410085558891296,0.4569171369075775,-0.032983217388391495,0.5822386145591736,0.46335917711257935,-0.0018145807553082705,0.5800010561943054,0.3975348174571991,-0.022284377366304398,0.5851626992225647,0.45701339840888977,-0.03433520346879959,0.5872809290885925,0.48736798763275146,-0.03969455882906914,0.6106911301612854,0.4622948169708252,-0.004701243247836828,0.6088253855705261,0.39349669218063354,-0.022677989676594734,0.6108060479164124,0.4599418044090271,-0.02684776671230793,0.609429121017456,0.4890875220298767,-0.02601843699812889,0.6385716795921326,0.4713726341724396,-0.011034021154046059,0.6385548114776611,0.41122573614120483,-0.026558343321084976,0.6340401768684387,0.4713362455368042,-0.02093249000608921,0.6290260553359985,0.5059940218925476,-0.013318464159965515,0.664409339427948,0.48833855986595154,-0.01901448518037796,0.6623155474662781,0.43873244524002075,-0.025947798043489456,0.6559700965881348,0.4645180106163025,-0.020473400130867958,0.6501965522766113,0.4869132936000824,-0.014514447189867496
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6341124176979065,0.6541848182678223,-4.2837046976273996e-07,0.605838418006897,0.5968012809753418,-0.010515903122723103,0.5970783829689026,0.5256308913230896,-0.017187610268592834,0.6213312149047852,0.4773992896080017,-0.02550683356821537,0.6492273807525635,0.4546355605125427,-0.030544457957148552,0.5936941504478455,0.4625706970691681,-0.0012086386559531093,0.5866203308105469,0.39818239212036133,-0.021342221647500992,0.589655876159668,0.4528423249721527,-0.0319829061627388,0.59214186668396,0.48832187056541443,-0.035943880677223206,0.6210139393806458,0.4590393602848053,-0.004140349570661783,0.6151965856552124,0.39500853419303894,-0.021966686472296715,0.6138010025024414,0.4601042866706848,-0.024421190842986107,0.6136114001274109,0.4917786717414856,-0.02217179909348488,0.648931622505188,0.4675308167934418,-0.010574240237474442,0.6439507007598877,0.41304802894592285,-0.028023995459079742,0.636191725730896,0.47412723302841187,-0.021141665056347847,0.6332748532295227,0.5072459578514099,-0.012190545909106731,0.6756117939949036,0.4852376878261566,-0.018525896593928337,0.6694056987762451,0.43680399656295776,-0.028200365602970123,0.6610567569732666,0.47251713275909424,-0.021743951365351677,0.6575856804847717,0.5006476044654846,-0.014282897114753723
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6374382376670837,0.6521194577217102,-4.623420579719095e-07,0.6073411107063293,0.5983376502990723,-0.00996585562825203,0.5964994430541992,0.5273500680923462,-0.01623200811445713,0.6206617951393127,0.4802866280078888,-0.024424457922577858,0.6486741900444031,0.460335910320282,-0.028932316228747368,0.5952971577644348,0.46834325790405273,-0.0015699887881055474,0.5883780717849731,0.39993664622306824,-0.02260407619178295,0.5912179946899414,0.4607895314693451,-0.034015364944934845,0.5942332148551941,0.4944465756416321,-0.03878704085946083,0.6230580806732178,0.46672624349594116,-0.004715851042419672,0.6174213886260986,0.39609670639038086,-0.02290642075240612,0.6165496706962585,0.4658801257610321,-0.0245381910353899,0.6165676116943359,0.49529144167900085,-0.0219813734292984,0.6503525376319885,0.4750898480415344,-0.011518994346261024,0.6473180055618286,0.41100239753723145,-0.027608897536993027,0.6396127343177795,0.4741328954696655,-0.018706604838371277,0.6362401247024536,0.5091341137886047,-0.009006896987557411,0.6770887970924377,0.49100127816200256,-0.020047137513756752,0.6735638380050659,0.43644052743911743,-0.028219113126397133,0.6641319394111633,0.4675046503543854,-0.02136264741420746,0.6591911911964417,0.4940003454685211,-0.0143068702891469
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6374382376670837,0.6521194577217102,-4.623420579719095e-07,0.6073411107063293,0.5983376502990723,-0.00996585562825203,0.5964994430541992,0.5273500680923462,-0.01623200811445713,0.6206617951393127,0.4802866280078888,-0.024424457922577858,0.6486741900444031,0.460335910320282,-0.028932316228747368,0.5952971577644348,0.46834325790405273,-0.0015699887881055474,0.5883780717849731,0.39993664622306824,-0.02260407619178295,0.5912179946899414,0.4607895314693451,-0.034015364944934845,0.5942332148551941,0.4944465756416321,-0.03878704085946083,0.6230580806732178,0.46672624349594116,-0.004715851042419672,0.6174213886260986,0.39609670639038086,-0.02290642075240612,0.6165496706962585,0.4658801257610321,-0.0245381910353899,0.6165676116943359,0.49529144167900085,-0.0219813734292984,0.6503525376319885,0.4750898480415344,-0.011518994346261024,0.6473180055618286,0.41100239753723145,-0.027608897536993027,0.6396127343177795,0.4741328954696655,-0.018706604838371277,0.6362401247024536,0.5091341137886047,-0.009006896987557411,0.6770887970924377,0.49100127816200256,-0.020047137513756752,0.6735638380050659,0.43644052743911743,-0.028219113126397133,0.6641319394111633,0.4675046503543854,-0.02136264741420746,0.6591911911964417,0.4940003454685211,-0.0143068702891469
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6374607086181641,0.6558210253715515,-4.5446617491506913e-07,0.6093155145645142,0.5942800641059875,-0.008657491765916348,0.6003154516220093,0.5234248042106628,-0.01493933703750372,0.6251561045646667,0.4767909049987793,-0.02381644770503044,0.6550010442733765,0.4560982584953308,-0.029632065445184708,0.6001836657524109,0.4681555926799774,0.001068152254447341,0.5909537076950073,0.39606672525405884,-0.021160688251256943,0.591684103012085,0.4474809467792511,-0.034087780863046646,0.5935806035995483,0.4849528968334198,-0.03918471559882164,0.6268559694290161,0.46767181158065796,-0.002725746249780059,0.6204694509506226,0.3913300633430481,-0.02185833267867565,0.6172916889190674,0.45530927181243896,-0.02515398897230625,0.6176393032073975,0.4892129600048065,-0.023406852036714554,0.6534363627433777,0.4779900908470154,-0.010196009650826454,0.651233434677124,0.4118022918701172,-0.0278475321829319,0.6410459876060486,0.47140663862228394,-0.020713340491056442,0.6373748183250427,0.5100885629653931,-0.01157082337886095,0.6795007586479187,0.4976397454738617,-0.019231772050261497,0.6781171560287476,0.44237884879112244,-0.028509140014648438,0.6678770184516907,0.4671367108821869,-0.02272706665098667,0.6614701747894287,0.4923486113548279,-0.016106007620692253
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6374607086181641,0.6558210253715515,-4.5446617491506913e-07,0.6093155145645142,0.5942800641059875,-0.008657491765916348,0.6003154516220093,0.5234248042106628,-0.01493933703750372,0.6251561045646667,0.4767909049987793,-0.02381644770503044,0.6550010442733765,0.4560982584953308,-0.029632065445184708,0.6001836657524109,0.4681555926799774,0.001068152254447341,0.5909537076950073,0.39606672525405884,-0.021160688251256943,0.591684103012085,0.4474809467792511,-0.034087780863046646,0.5935806035995483,0.4849528968334198,-0.03918471559882164,0.6268559694290161,0.46767181158065796,-0.002725746249780059,0.6204694509506226,0.3913300633430481,-0.02185833267867565,0.6172916889190674,0.45530927181243896,-0.02515398897230625,0.6176393032073975,0.4892129600048065,-0.023406852036714554,0.6534363627433777,0.4779900908470154,-0.010196009650826454,0.651233434677124,0.4118022918701172,-0.0278475321829319,0.6410459876060486,0.47140663862228394,-0.020713340491056442,0.6373748183250427,0.5100885629653931,-0.01157082337886095,0.6795007586479187,0.4976397454738617,-0.019231772050261497,0.6781171560287476,0.44237884879112244,-0.028509140014648438,0.6678770184516907,0.4671367108821869,-0.02272706665098667,0.6614701747894287,0.4923486113548279,-0.016106007620692253
