frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6904242038726807,0.621281623840332,-2.2823324741239048e-07,0.6637863516807556,0.5687761902809143,-0.006794660352170467,0.6562895774841309,0.49769312143325806,-0.00835799053311348,0.665490448474884,0.4406619071960449,-0.01187213510274887,0.6739006638526917,0.39360302686691284,-0.013577970676124096,0.6628800630569458,0.4714728891849518,0.007578871678560972,0.659035325050354,0.43000784516334534,-0.009842529892921448,0.6643742322921753,0.4635595977306366,-0.019764011725783348,0.6668399572372437,0.5019777417182922,-0.021650545299053192,0.6854736804962158,0.4801555871963501,0.005137631203979254,0.6862438321113586,0.44786596298217773,-0.014214175753295422,0.6863704323768616,0.49977266788482666,-0.020668750628829002,0.6841439604759216,0.5426137447357178,-0.018550170585513115,0.707207977771759,0.4938808083534241,-0.0005273408605717123,0.7066872715950012,0.47393661737442017,-0.01946060173213482,0.7013136744499207,0.525234580039978,-0.01726679503917694,0.6968287229537964,0.5623134970664978,-0.008600284345448017,0.7276912331581116,0.5122156143188477,-0.0068359291180968285,0.7266915440559387,0.48001086711883545,-0.01624825783073902,0.7191564440727234,0.512718677520752,-0.010415421798825264,0.7139965891838074,0.5407947897911072,-0.001857052673585713
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6913380026817322,0.6227480173110962,-2.3030884221952874e-07,0.6640118360519409,0.570437490940094,-0.00718735670670867,0.6560635566711426,0.49969369173049927,-0.008896779268980026,0.6653941869735718,0.4426930844783783,-0.012383758090436459,0.6743507981300354,0.39676111936569214,-0.013932869769632816,0.6618266105651855,0.47111257910728455,0.007296225056052208,0.6582323908805847,0.4302012026309967,-0.009573500603437424,0.6639662981033325,0.4641657769680023,-0.01899896375834942,0.6662759780883789,0.5028313398361206,-0.020669985562562943,0.6851851940155029,0.47923392057418823,0.0052093807607889175,0.6856263875961304,0.4469655454158783,-0.013661503791809082,0.686176061630249,0.4993639886379242,-0.019971460103988647,0.683860719203949,0.5420567989349365,-0.017825063318014145,0.7073132991790771,0.49260368943214417,-3.963181734434329e-05,0.7062816023826599,0.4730832576751709,-0.018688887357711792,0.7011090517044067,0.5250096321105957,-0.01657535508275032,0.696361780166626,0.5620836019515991,-0.008015097118914127,0.7277631759643555,0.5105272531509399,-0.0059448531828820705,0.7258239984512329,0.4803643822669983,-0.01513096783310175,0.7189769148826599,0.5129716396331787,-0.009393522515892982,0.7141405940055847,0.5403585433959961,-0.0009448756463825703
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6913380026817322,0.6227480173110962,-2.3030884221952874e-07,0.6640118360519409,0.570437490940094,-0.00718735670670867,0.6560635566711426,0.49969369173049927,-0.008896779268980026,0.6653941869735718,0.4426930844783783,-0.012383758090436459,0.6743507981300354,0.39676111936569214,-0.013932869769632816,0.6618266105651855,0.47111257910728455,0.007296225056052208,0.6582323908805847,0.4302012026309967,-0.009573500603437424,0.6639662981033325,0.4641657769680023,-0.01899896375834942,0.6662759780883789,0.5028313398361206,-0.020669985562562943,0.6851851940155029,0.47923392057418823,0.0052093807607889175,0.6856263875961304,0.4469655454158783,-0.013661503791809082,0.686176061630249,0.4993639886379242,-0.019971460103988647,0.683860719203949,0.5420567989349365,-0.017825063318014145,0.7073132991790771,0.49260368943214417,-3.963181734434329e-05,0.7062816023826599,0.4730832576751709,-0.018688887357711792,0.7011090517044067,0.5250096321105957,-0.01657535508275032,0.696361780166626,0.5620836019515991,-0.008015097118914127,0.7277631759643555,0.5105272531509399,-0.0059448531828820705,0.7258239984512329,0.4803643822669983,-0.01513096783310175,0.7189769148826599,0.5129716396331787,-0.009393522515892982,0.7141405940055847,0.5403585433959961,-0.0009448756463825703
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6907285451889038,0.6198794841766357,-2.1434017583032983e-07,0.6637508273124695,0.5705772042274475,-0.00892721302807331,0.6555604934692383,0.5002949833869934,-0.011193827725946903,0.6650761961936951,0.44276317954063416,-0.01474769413471222,0.675247311592102,0.39809322357177734,-0.016235671937465668,0.6599194407463074,0.4713577628135681,0.005242086481302977,0.6574480533599854,0.42974576354026794,-0.013470868580043316,0.6638803482055664,0.46640440821647644,-0.023791078478097916,0.6661975383758545,0.5050625205039978,-0.025682978332042694,0.6835072636604309,0.47911903262138367,0.003923564683645964,0.68562912940979,0.4445559084415436,-0.01669635809957981,0.6857702732086182,0.4989137351512909,-0.02296135388314724,0.6829096078872681,0.5406033992767334,-0.020285243168473244,0.7059096097946167,0.49264758825302124,-0.0008157402626238763,0.7060562968254089,0.4709411561489105,-0.021194206550717354,0.700545072555542,0.5245441198348999,-0.01870744302868843,0.6953533887863159,0.561157763004303,-0.009363029152154922,0.7264971137046814,0.5103971362113953,-0.00629853829741478,0.7257423996925354,0.47975224256515503,-0.017084244638681412,0.7187206745147705,0.5137652158737183,-0.011606346815824509,0.7137235403060913,0.5405504107475281,-0.0028862024191766977
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6907285451889038,0.6198794841766357,-2.1434017583032983e-07,0.6637508273124695,0.5705772042274475,-0.00892721302807331,0.6555604934692383,0.5002949833869934,-0.011193827725946903,0.6650761961936951,0.44276317954063416,-0.01474769413471222,0.675247311592102,0.39809322357177734,-0.016235671937465668,0.6599194407463074,0.4713577628135681,0.005242086481302977,0.6574480533599854,0.42974576354026794,-0.013470868580043316,0.6638803482055664,0.46640440821647644,-0.023791078478097916,0.6661975383758545,0.5050625205039978,-0.025682978332042694,0.6835072636604309,0.47911903262138367,0.003923564683645964,0.68562912940979,0.4445559084415436,-0.01669635809957981,0.6857702732086182,0.4989137351512909,-0.02296135388314724,0.6829096078872681,0.5406033992767334,-0.020285243168473244,0.7059096097946167,0.49264758825302124,-0.0008157402626238763,0.7060562968254089,0.4709411561489105,-0.021194206550717354,0.700545072555542,0.5245441198348999,-0.01870744302868843,0.6953533887863159,0.561157763004303,-0.009363029152154922,0.7264971137046814,0.5103971362113953,-0.00629853829741478,0.7257423996925354,0.47975224256515503,-0.017084244638681412,0.7187206745147705,0.5137652158737183,-0.011606346815824509,0.7137235403060913,0.5405504107475281,-0.0028862024191766977
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690424919128418,0.6203598976135254,-2.178183677870038e-07,0.6647738814353943,0.5704537630081177,-0.008991314098238945,0.6562813520431519,0.4990282654762268,-0.011313343420624733,0.6648182272911072,0.4404943287372589,-0.015032104216516018,0.6744608879089355,0.3938300907611847,-0.016758888959884644,0.6622956395149231,0.47147077322006226,0.005549928173422813,0.6579771041870117,0.43063029646873474,-0.012704274617135525,0.6639751195907593,0.465293288230896,-0.02283439226448536,0.6668490171432495,0.5035531520843506,-0.02469378523528576,0.6849344372749329,0.48019734025001526,0.004199216142296791,0.6857832074165344,0.44765111804008484,-0.016176648437976837,0.6858688592910767,0.5002744793891907,-0.022421574220061302,0.6834505200386047,0.5419333577156067,-0.019844451919198036,0.7066525220870972,0.49422144889831543,-0.0006063299952074885,0.7062435746192932,0.4732286334037781,-0.0208909772336483,0.7007556557655334,0.5258298516273499,-0.01860113814473152,0.6960569620132446,0.5629653930664062,-0.009426009841263294,0.7269560694694519,0.5129197835922241,-0.00616378104314208,0.7264158725738525,0.4801526665687561,-0.016729291528463364,0.7185764908790588,0.5128214955329895,-0.011224891059100628,0.712986946105957,0.5402039289474487,-0.0025813132524490356
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6906622648239136,0.621458113193512,-2.280053479353228e-07,0.6638561487197876,0.5713544487953186,-0.008024652488529682,0.6559836268424988,0.49940136075019836,-0.01002300251275301,0.6649156808853149,0.4411274492740631,-0.013448874466121197,0.6742820739746094,0.3948165774345398,-0.014859541319310665,0.6614307761192322,0.4726099669933319,0.005114513915032148,0.6580804586410522,0.42989468574523926,-0.013066117651760578,0.6641473174095154,0.46563562750816345,-0.022835038602352142,0.6669363975524902,0.5039251446723938,-0.02453296259045601,0.6848682165145874,0.48037803173065186,0.00345574039965868,0.6859385371208191,0.4471643567085266,-0.016609584912657738,0.6862835884094238,0.5010465979576111,-0.022367756813764572,0.68391352891922,0.5424033403396606,-0.01965320110321045,0.7070032954216003,0.49350541830062866,-0.0014909731689840555,0.7066444754600525,0.47214484214782715,-0.02143317461013794,0.7013168931007385,0.5255293250083923,-0.018651491031050682,0.696377694606781,0.5620230436325073,-0.009396662004292011,0.7274934649467468,0.5112008452415466,-0.007088841870427132,0.7262575030326843,0.47957924008369446,-0.017772793769836426,0.7191458940505981,0.514481782913208,-0.012170005589723587,0.7141175866127014,0.5423644185066223,-0.0035145569127053022
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6906622648239136,0.621458113193512,-2.280053479353228e-07,0.6638561487197876,0.5713544487953186,-0.008024652488529682,0.6559836268424988,0.49940136075019836,-0.01002300251275301,0.6649156808853149,0.4411274492740631,-0.013448874466121197,0.6742820739746094,0.3948165774345398,-0.014859541319310665,0.6614307761192322,0.4726099669933319,0.005114513915032148,0.6580804586410522,0.42989468574523926,-0.013066117651760578,0.6641473174095154,0.46563562750816345,-0.022835038602352142,0.6669363975524902,0.5039251446723938,-0.02453296259045601,0.6848682165145874,0.48037803173065186,0.00345574039965868,0.6859385371208191,0.4471643567085266,-0.016609584912657738,0.6862835884094238,0.5010465979576111,-0.022367756813764572,0.68391352891922,0.5424033403396606,-0.01965320110321045,0.7070032954216003,0.49350541830062866,-0.0014909731689840555,0.7066444754600525,0.47214484214782715,-0.02143317461013794,0.7013168931007385,0.5255293250083923,-0.018651491031050682,0.696377694606781,0.5620230436325073,-0.009396662004292011,0.7274934649467468,0.5112008452415466,-0.007088841870427132,0.7262575030326843,0.47957924008369446,-0.017772793769836426,0.7191458940505981,0.514481782913208,-0.012170005589723587,0.7141175866127014,0.5423644185066223,-0.0035145569127053022
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690497875213623,0.6192238330841064,-2.0601810035714152e-07,0.6646612882614136,0.5711861252784729,-0.0105197224766016,0.6557840704917908,0.5015535950660706,-0.013774111866950989,0.6641186475753784,0.44326263666152954,-0.017822984606027603,0.6747705340385437,0.3989025354385376,-0.019717987626791,0.6601125597953796,0.4716299772262573,0.0025090924464166164,0.6572937369346619,0.4299122989177704,-0.01672934554517269,0.663970947265625,0.4663326144218445,-0.02708391100168228,0.6662024855613708,0.5044878721237183,-0.02903938852250576,0.6837040185928345,0.47922760248184204,0.001860601594671607,0.6854328513145447,0.44468483328819275,-0.01963677443563938,0.6860873103141785,0.49974170327186584,-0.026028761640191078,0.6832334399223328,0.5416579246520996,-0.023293256759643555,0.7062005996704102,0.49266746640205383,-0.0022093732841312885,0.7059701681137085,0.47163811326026917,-0.023749571293592453,0.7008759379386902,0.5257101058959961,-0.02154582180082798,0.6955384016036987,0.562338650226593,-0.01211930438876152,0.7266029715538025,0.5104948878288269,-0.00703981751576066,0.725588858127594,0.4802449643611908,-0.019106868654489517,0.7188878059387207,0.5151659250259399,-0.014102873392403126,0.7137712836265564,0.5425995588302612,-0.0054552447982132435
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690497875213623,0.6192238330841064,-2.0601810035714152e-07,0.6646612882614136,0.5711861252784729,-0.0105197224766016,0.6557840704917908,0.5015535950660706,-0.013774111866950989,0.6641186475753784,0.44326263666152954,-0.017822984606027603,0.6747705340385437,0.3989025354385376,-0.019717987626791,0.6601125597953796,0.4716299772262573,0.0025090924464166164,0.6572937369346619,0.4299122989177704,-0.01672934554517269,0.663970947265625,0.4663326144218445,-0.02708391100168228,0.6662024855613708,0.5044878721237183,-0.02903938852250576,0.6837040185928345,0.47922760248184204,0.001860601594671607,0.6854328513145447,0.44468483328819275,-0.01963677443563938,0.6860873103141785,0.49974170327186584,-0.026028761640191078,0.6832334399223328,0.5416579246520996,-0.023293256759643555,0.7062005996704102,0.49266746640205383,-0.0022093732841312885,0.7059701681137085,0.47163811326026917,-0.023749571293592453,0.7008759379386902,0.5257101058959961,-0.02154582180082798,0.6955384016036987,0.562338650226593,-0.01211930438876152,0.7266029715538025,0.5104948878288269,-0.00703981751576066,0.725588858127594,0.4802449643611908,-0.019106868654489517,0.7188878059387207,0.5151659250259399,-0.014102873392403126,0.7137712836265564,0.5425995588302612,-0.0054552447982132435
