frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6682913303375244,0.7568824887275696,5.2147019147241735e-08,0.6525864601135254,0.7020727396011353,-0.018210140988230705,0.6514909863471985,0.6488691568374634,-0.023716075345873833,0.6772940754890442,0.6208367347717285,-0.028866615146398544,0.7014236450195312,0.6064260005950928,-0.033120688050985336,0.647506058216095,0.5800375938415527,-0.0053701456636190414,0.6405110955238342,0.5087896585464478,-0.015865011140704155,0.63981693983078,0.46301335096359253,-0.02300281450152397,0.6404233574867249,0.42413511872291565,-0.026974067091941833,0.6701246500015259,0.5808857679367065,-0.004304171539843082,0.6651763319969177,0.5002263188362122,-0.01607494056224823,0.6633735299110413,0.45495879650115967,-0.02326769009232521,0.6617991328239441,0.4179992079734802,-0.025487976148724556,0.6893326044082642,0.600202739238739,-0.006249846890568733,0.693145751953125,0.5744138360023499,-0.02790776453912258,0.6854532957077026,0.6170758605003357,-0.03288845717906952,0.6786146759986877,0.6438787579536438,-0.02879101224243641,0.7042003273963928,0.6295838952064514,-0.009339443407952785,0.7079069018363953,0.6027789115905762,-0.023671356961131096,0.6980518102645874,0.6288297176361084,-0.022237906232476234,0.6882035136222839,0.6510993242263794,-0.01677744835615158
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6747497916221619,0.7603293657302856,4.023226907179378e-08,0.6562183499336243,0.7093916535377502,-0.018622051924467087,0.6549472808837891,0.6537395119667053,-0.024028796702623367,0.6802459955215454,0.6205230951309204,-0.028897719457745552,0.7039175629615784,0.6035998463630676,-0.03283439204096794,0.649429440498352,0.5843530297279358,-0.007797815836966038,0.6434231400489807,0.5107815265655518,-0.018773257732391357,0.6427165865898132,0.4646345376968384,-0.025520648807287216,0.6434777975082397,0.4246549606323242,-0.02925330400466919,0.6736180782318115,0.5847845077514648,-0.006967625115066767,0.6685436964035034,0.5034947395324707,-0.019780907779932022,0.6659451127052307,0.4561447501182556,-0.02687034197151661,0.6641638278961182,0.4166078567504883,-0.02874845638871193,0.694622278213501,0.6047040820121765,-0.008997829630970955,0.6980651021003723,0.5780044794082642,-0.032384634017944336,0.6896812915802002,0.6244382858276367,-0.0366855226457119,0.6828784942626953,0.6541942358016968,-0.031495410948991776,0.7113378047943115,0.6347196102142334,-0.012126182205975056,0.713158369064331,0.6061201691627502,-0.0285017229616642,0.7033950686454773,0.6338450312614441,-0.027057087048888206,0.6947349905967712,0.6578797101974487,-0.021083112806081772
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6747497916221619,0.7603293657302856,4.023226907179378e-08,0.6562183499336243,0.7093916535377502,-0.018622051924467087,0.6549472808837891,0.6537395119667053,-0.024028796702623367,0.6802459955215454,0.6205230951309204,-0.028897719457745552,0.7039175629615784,0.6035998463630676,-0.03283439204096794,0.649429440498352,0.5843530297279358,-0.007797815836966038,0.6434231400489807,0.5107815265655518,-0.018773257732391357,0.6427165865898132,0.4646345376968384,-0.025520648807287216,0.6434777975082397,0.4246549606323242,-0.02925330400466919,0.6736180782318115,0.5847845077514648,-0.006967625115066767,0.6685436964035034,0.5034947395324707,-0.019780907779932022,0.6659451127052307,0.4561447501182556,-0.02687034197151661,0.6641638278961182,0.4166078567504883,-0.02874845638871193,0.694622278213501,0.6047040820121765,-0.008997829630970955,0.6980651021003723,0.5780044794082642,-0.032384634017944336,0.6896812915802002,0.6244382858276367,-0.0366855226457119,0.6828784942626953,0.6541942358016968,-0.031495410948991776,0.7113378047943115,0.6347196102142334,-0.012126182205975056,0.713158369064331,0.6061201691627502,-0.0285017229616642,0.7033950686454773,0.6338450312614441,-0.027057087048888206,0.6947349905967712,0.6578797101974487,-0.021083112806081772
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6809031367301941,0.7686911225318909,1.024965534668354e-08,0.6618189215660095,0.7146839499473572,-0.01757517084479332,0.6605449914932251,0.6592438817024231,-0.022915972396731377,0.6857985258102417,0.6286985278129578,-0.027837876230478287,0.7090571522712708,0.6130884289741516,-0.03195802867412567,0.658778727054596,0.5877323746681213,-0.007403641007840633,0.6515921354293823,0.5103480219841003,-0.01835416443645954,0.6501219868659973,0.4637141227722168,-0.025330794975161552,0.6504489183425903,0.4243817627429962,-0.02900952287018299,0.6825686693191528,0.5912060737609863,-0.006757297087460756,0.6767811179161072,0.5091590285301208,-0.019179416820406914,0.6750856041908264,0.46218639612197876,-0.026584850624203682,0.6745851635932922,0.42401546239852905,-0.028876248747110367,0.702867865562439,0.6127759218215942,-0.008793252520263195,0.7054046988487244,0.5868863463401794,-0.03158416226506233,0.6974940896034241,0.6294636726379395,-0.03708851709961891,0.6914035677909851,0.6591062545776367,-0.032987408339977264,0.7193371057510376,0.6427578330039978,-0.011818040162324905,0.7196405529975891,0.6165036559104919,-0.02888663299381733,0.7103912234306335,0.6457415819168091,-0.028659090399742126,0.7021977305412292,0.6729068160057068,-0.02336977794766426
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6809031367301941,0.7686911225318909,1.024965534668354e-08,0.6618189215660095,0.7146839499473572,-0.01757517084479332,0.6605449914932251,0.6592438817024231,-0.022915972396731377,0.6857985258102417,0.6286985278129578,-0.027837876230478287,0.7090571522712708,0.6130884289741516,-0.03195802867412567,0.658778727054596,0.5877323746681213,-0.007403641007840633,0.6515921354293823,0.5103480219841003,-0.01835416443645954,0.6501219868659973,0.4637141227722168,-0.025330794975161552,0.6504489183425903,0.4243817627429962,-0.02900952287018299,0.6825686693191528,0.5912060737609863,-0.006757297087460756,0.6767811179161072,0.5091590285301208,-0.019179416820406914,0.6750856041908264,0.46218639612197876,-0.026584850624203682,0.6745851635932922,0.42401546239852905,-0.028876248747110367,0.702867865562439,0.6127759218215942,-0.008793252520263195,0.7054046988487244,0.5868863463401794,-0.03158416226506233,0.6974940896034241,0.6294636726379395,-0.03708851709961891,0.6914035677909851,0.6591062545776367,-0.032987408339977264,0.7193371057510376,0.6427578330039978,-0.011818040162324905,0.7196405529975891,0.6165036559104919,-0.02888663299381733,0.7103912234306335,0.6457415819168091,-0.028659090399742126,0.7021977305412292,0.6729068160057068,-0.02336977794766426
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6898319125175476,0.7877907156944275,3.604684906122202e-08,0.6755109429359436,0.7272364497184753,-0.0179899949580431,0.6750579476356506,0.6697218418121338,-0.022806888446211815,0.6996665000915527,0.6381804347038269,-0.02751730941236019,0.7212239503860474,0.6198959350585938,-0.031206268817186356,0.6697186827659607,0.5938456058502197,-0.003038855269551277,0.6631405353546143,0.5154930353164673,-0.013154134154319763,0.6628750562667847,0.46719807386398315,-0.020400894805788994,0.6637340784072876,0.42656534910202026,-0.024500345811247826,0.6919562220573425,0.5975366234779358,-0.002760962350293994,0.6877703666687012,0.5112596750259399,-0.01430776622146368,0.6877784729003906,0.4634261727333069,-0.021868843585252762,0.6872766613960266,0.42488011717796326,-0.024542944505810738,0.7103646397590637,0.619173526763916,-0.0057980939745903015,0.7175049185752869,0.5907449126243591,-0.028378209099173546,0.7095751166343689,0.636740505695343,-0.033956378698349,0.7015860676765442,0.6662517189979553,-0.030148666352033615,0.7248990535736084,0.6506534814834595,-0.01001539546996355,0.7301013469696045,0.6227815747261047,-0.02632349543273449,0.7202310562133789,0.6535869836807251,-0.025802109390497208,0.7100221514701843,0.6797638535499573,-0.020746279507875443
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6930685639381409,0.7922897338867188,4.065014636012165e-08,0.6769530773162842,0.7286577224731445,-0.01880255714058876,0.6760390400886536,0.6706028580665588,-0.02424345538020134,0.7041361331939697,0.6409657597541809,-0.02947271429002285,0.7299174666404724,0.6278069019317627,-0.03376650810241699,0.6740521788597107,0.5998576283454895,-0.004299771040678024,0.668107271194458,0.5193225741386414,-0.015472542494535446,0.6684485673904419,0.4710536599159241,-0.023049762472510338,0.6694744229316711,0.43020880222320557,-0.02709561213850975,0.6983810663223267,0.6051539182662964,-0.0035526223946362734,0.6957438588142395,0.5175239443778992,-0.015871526673436165,0.6951179504394531,0.46972334384918213,-0.023096797987818718,0.693865954875946,0.43114805221557617,-0.025132065638899803,0.7179386615753174,0.6282373666763306,-0.006190377753227949,0.7232509255409241,0.6016094088554382,-0.028944194316864014,0.7137100696563721,0.6445441842079163,-0.033967502415180206,0.7056403160095215,0.6723455786705017,-0.02946643717586994,0.7321603894233704,0.6602176427841187,-0.01011999323964119,0.7357699871063232,0.6362303495407104,-0.025657791644334793,0.7248167991638184,0.6638770699501038,-0.024536974728107452,0.7144521474838257,0.6866828799247742,-0.01900285668671131
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6930685639381409,0.7922897338867188,4.065014636012165e-08,0.6769530773162842,0.7286577224731445,-0.01880255714058876,0.6760390400886536,0.6706028580665588,-0.02424345538020134,0.7041361331939697,0.6409657597541809,-0.02947271429002285,0.7299174666404724,0.6278069019317627,-0.03376650810241699,0.6740521788597107,0.5998576283454895,-0.004299771040678024,0.668107271194458,0.5193225741386414,-0.015472542494535446,0.6684485673904419,0.4710536599159241,-0.023049762472510338,0.6694744229316711,0.43020880222320557,-0.02709561213850975,0.6983810663223267,0.6051539182662964,-0.0035526223946362734,0.6957438588142395,0.5175239443778992,-0.015871526673436165,0.6951179504394531,0.46972334384918213,-0.023096797987818718,0.693865954875946,0.43114805221557617,-0.025132065638899803,0.7179386615753174,0.6282373666763306,-0.006190377753227949,0.7232509255409241,0.6016094088554382,-0.028944194316864014,0.7137100696563721,0.6445441842079163,-0.033967502415180206,0.7056403160095215,0.6723455786705017,-0.02946643717586994,0.7321603894233704,0.6602176427841187,-0.01011999323964119,0.7357699871063232,0.6362303495407104,-0.025657791644334793,0.7248167991638184,0.6638770699501038,-0.024536974728107452,0.7144521474838257,0.6866828799247742,-0.01900285668671131
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6961470246315002,0.7866320610046387,7.002942226108644e-08,0.6781742572784424,0.7296324968338013,-0.020842503756284714,0.6793215274810791,0.6736884117126465,-0.025567511096596718,0.7087001204490662,0.6418135166168213,-0.029385056346654892,0.7330130338668823,0.623986005783081,-0.03207089379429817,0.6752151846885681,0.6014596223831177,-0.004520701244473457,0.6702064871788025,0.5224654674530029,-0.015734834596514702,0.6705023646354675,0.47266876697540283,-0.02298828214406967,0.6713334918022156,0.4306626319885254,-0.02664625458419323,0.6994871497154236,0.6063088178634644,-0.0026748711243271828,0.6981165409088135,0.5214319825172424,-0.016048042103648186,0.6978068351745605,0.4711800813674927,-0.024092894047498703,0.6967312097549438,0.42998871207237244,-0.02608497627079487,0.7195567488670349,0.6290642619132996,-0.004389532841742039,0.7257201075553894,0.603874146938324,-0.029125794768333435,0.715973436832428,0.6472713351249695,-0.03481949865818024,0.7083289623260498,0.6741988658905029,-0.029889455065131187,0.7344608902931213,0.6598314046859741,-0.007418396417051554,0.7386968731880188,0.6337440013885498,-0.02510237880051136,0.7265990376472473,0.6634680032730103,-0.024409720674157143,0.7161570191383362,0.6863844990730286,-0.01855381205677986
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6961470246315002,0.7866320610046387,7.002942226108644e-08,0.6781742572784424,0.7296324968338013,-0.020842503756284714,0.6793215274810791,0.6736884117126465,-0.025567511096596718,0.7087001204490662,0.6418135166168213,-0.029385056346654892,0.7330130338668823,0.623986005783081,-0.03207089379429817,0.6752151846885681,0.6014596223831177,-0.004520701244473457,0.6702064871788025,0.5224654674530029,-0.015734834596514702,0.6705023646354675,0.47266876697540283,-0.02298828214406967,0.6713334918022156,0.4306626319885254,-0.02664625458419323,0.6994871497154236,0.6063088178634644,-0.0026748711243271828,0.6981165409088135,0.5214319825172424,-0.016048042103648186,0.6978068351745605,0.4711800813674927,-0.024092894047498703,0.6967312097549438,0.42998871207237244,-0.02608497627079487,0.7195567488670349,0.6290642619132996,-0.004389532841742039,0.7257201075553894,0.603874146938324,-0.029125794768333435,0.715973436832428,0.6472713351249695,-0.03481949865818024,0.7083289623260498,0.6741988658905029,-0.029889455065131187,0.7344608902931213,0.6598314046859741,-0.007418396417051554,0.7386968731880188,0.6337440013885498,-0.02510237880051136,0.7265990376472473,0.6634680032730103,-0.024409720674157143,0.7161570191383362,0.6863844990730286,-0.01855381205677986
