frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6250249743461609,0.6645833253860474,2.43912523956169e-07,0.5894454121589661,0.6662037968635559,-0.014461140148341656,0.5611523985862732,0.6349775195121765,-0.023023072630167007,0.5638004541397095,0.5787646174430847,-0.0328722707927227,0.576357364654541,0.5338321924209595,-0.04175645485520363,0.5297743678092957,0.5655308961868286,-0.009378171525895596,0.4865322709083557,0.5345999002456665,-0.02682206593453884,0.4598740041255951,0.5126892328262329,-0.038603466004133224,0.43817585706710815,0.4930429458618164,-0.04537777230143547,0.5486471056938171,0.5322933793067932,-0.013905084691941738,0.5160428285598755,0.4634525179862976,-0.03006831370294094,0.49388548731803894,0.42105668783187866,-0.038921184837818146,0.4771426022052765,0.3840895891189575,-0.04165830835700035,0.5751542448997498,0.5224546194076538,-0.021033553406596184,0.5598360300064087,0.5006065964698792,-0.04410271719098091,0.5692856907844543,0.5510121583938599,-0.04517146572470665,0.5809245109558105,0.5822384357452393,-0.0376770906150341,0.6035321950912476,0.5286836624145508,-0.029468391090631485,0.5876116752624512,0.512904703617096,-0.04569283127784729,0.588400661945343,0.5524817705154419,-0.041186992079019547,0.5944730639457703,0.5800051093101501,-0.0325697585940361
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6250249743461609,0.6645833253860474,2.43912523956169e-07,0.5894454121589661,0.6662037968635559,-0.014461140148341656,0.5611523985862732,0.6349775195121765,-0.023023072630167007,0.5638004541397095,0.5787646174430847,-0.0328722707927227,0.576357364654541,0.5338321924209595,-0.04175645485520363,0.5297743678092957,0.5655308961868286,-0.009378171525895596,0.4865322709083557,0.5345999002456665,-0.02682206593453884,0.4598740041255951,0.5126892328262329,-0.038603466004133224,0.43817585706710815,0.4930429458618164,-0.04537777230143547,0.5486471056938171,0.5322933793067932,-0.013905084691941738,0.5160428285598755,0.4634525179862976,-0.03006831370294094,0.49388548731803894,0.42105668783187866,-0.038921184837818146,0.4771426022052765,0.3840895891189575,-0.04165830835700035,0.5751542448997498,0.5224546194076538,-0.021033553406596184,0.5598360300064087,0.5006065964698792,-0.04410271719098091,0.5692856907844543,0.5510121583938599,-0.04517146572470665,0.5809245109558105,0.5822384357452393,-0.0376770906150341,0.6035321950912476,0.5286836624145508,-0.029468391090631485,0.5876116752624512,0.512904703617096,-0.04569283127784729,0.588400661945343,0.5524817705154419,-0.041186992079019547,0.5944730639457703,0.5800051093101501,-0.0325697585940361
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6248826384544373,0.6643015742301941,2.86289662199124e-07,0.5902981162071228,0.6657780408859253,-0.015814343467354774,0.5619228482246399,0.63576340675354,-0.025165345519781113,0.5637286305427551,0.5816670060157776,-0.035715192556381226,0.5742394328117371,0.5379644632339478,-0.04515543207526207,0.528998613357544,0.5637467503547668,-0.011237957514822483,0.4861556589603424,0.5335884094238281,-0.028231369331479073,0.4599582850933075,0.5106604695320129,-0.03897201269865036,0.4388669729232788,0.49027207493782043,-0.044873494654893875,0.5481946468353271,0.531669557094574,-0.01557361613959074,0.5155739784240723,0.461679607629776,-0.032321467995643616,0.49419206380844116,0.41801130771636963,-0.04122167080640793,0.4780868887901306,0.3808988928794861,-0.04372392222285271,0.5746351480484009,0.5221638679504395,-0.022619888186454773,0.5604569911956787,0.5010071396827698,-0.046657219529151917,0.5699383020401001,0.5497536659240723,-0.04913019388914108,0.580769419670105,0.5802672505378723,-0.04233599081635475,0.6027472019195557,0.5280106663703918,-0.030982375144958496,0.5882149934768677,0.5128349661827087,-0.04695199802517891,0.5880756378173828,0.5512898564338684,-0.04330473765730858,0.5924056172370911,0.5786277055740356,-0.035520635545253754
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624342143535614,0.6636126041412354,2.90000826907999e-07,0.5902503132820129,0.6656847596168518,-0.015601537190377712,0.5621908903121948,0.6364213228225708,-0.024691302329301834,0.564408004283905,0.5815472602844238,-0.034895338118076324,0.5749986171722412,0.5362175107002258,-0.04398704320192337,0.5293534994125366,0.564918577671051,-0.010797756724059582,0.4866766631603241,0.5346657633781433,-0.027511702850461006,0.4607859253883362,0.5119993686676025,-0.03800273686647415,0.44014787673950195,0.49138057231903076,-0.043695107102394104,0.5484288930892944,0.531707763671875,-0.014966030605137348,0.5165421366691589,0.46263617277145386,-0.031286194920539856,0.49569112062454224,0.41927918791770935,-0.04020838811993599,0.48008567094802856,0.3818773925304413,-0.042788706719875336,0.5748209953308105,0.5216860771179199,-0.021824758499860764,0.5607385635375977,0.5032488107681274,-0.04566502943634987,0.569952666759491,0.5510067939758301,-0.048651255667209625,0.5807651877403259,0.5802093148231506,-0.04225805401802063,0.6026780605316162,0.5271933078765869,-0.0299164317548275,0.5881752371788025,0.514101505279541,-0.04595152661204338,0.587580680847168,0.5518776178359985,-0.04276976361870766,0.5914993286132812,0.5783981084823608,-0.03531057760119438
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6251688003540039,0.663666844367981,2.8296366849644983e-07,0.5910068154335022,0.6662620902061462,-0.0149246109649539,0.5625770092010498,0.6356551051139832,-0.023550212383270264,0.5653770565986633,0.5796107053756714,-0.033353712409734726,0.5772531628608704,0.5352022647857666,-0.042086657136678696,0.5298424959182739,0.5663334131240845,-0.010277570225298405,0.48671263456344604,0.5350651741027832,-0.027051199227571487,0.4606116712093353,0.512053906917572,-0.03769976273179054,0.4397992491722107,0.4917738735675812,-0.04353746026754379,0.5491953492164612,0.5329124331474304,-0.014546201564371586,0.5174797773361206,0.4639265835285187,-0.03091864287853241,0.4960784912109375,0.42073625326156616,-0.03991471230983734,0.47965964674949646,0.38360491394996643,-0.04251420870423317,0.5755671262741089,0.522471010684967,-0.021372703835368156,0.5610804557800293,0.5028337836265564,-0.044839926064014435,0.5707355737686157,0.5519294142723083,-0.04702463001012802,0.5818460583686829,0.5820915102958679,-0.040102168917655945,0.6033681035041809,0.5277899503707886,-0.02942783199250698,0.5883899927139282,0.5170530080795288,-0.045414745807647705,0.5881119966506958,0.5549464225769043,-0.041783157736063004,0.5924909710884094,0.5807293057441711,-0.033875830471515656
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6251688003540039,0.663666844367981,2.8296366849644983e-07,0.5910068154335022,0.6662620902061462,-0.0149246109649539,0.5625770092010498,0.6356551051139832,-0.023550212383270264,0.5653770565986633,0.5796107053756714,-0.033353712409734726,0.5772531628608704,0.5352022647857666,-0.042086657136678696,0.5298424959182739,0.5663334131240845,-0.010277570225298405,0.48671263456344604,0.5350651741027832,-0.027051199227571487,0.4606116712093353,0.512053906917572,-0.03769976273179054,0.4397992491722107,0.4917738735675812,-0.04353746026754379,0.5491953492164612,0.5329124331474304,-0.014546201564371586,0.5174797773361206,0.4639265835285187,-0.03091864287853241,0.4960784912109375,0.42073625326156616,-0.03991471230983734,0.47965964674949646,0.38360491394996643,-0.04251420870423317,0.5755671262741089,0.522471010684967,-0.021372703835368156,0.5610804557800293,0.5028337836265564,-0.044839926064014435,0.5707355737686157,0.5519294142723083,-0.04702463001012802,0.5818460583686829,0.5820915102958679,-0.040102168917655945,0.6033681035041809,0.5277899503707886,-0.02942783199250698,0.5883899927139282,0.5170530080795288,-0.045414745807647705,0.5881119966506958,0.5549464225769043,-0.041783157736063004,0.5924909710884094,0.5807293057441711,-0.033875830471515656
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6262052655220032,0.6655554175376892,2.7863939067174215e-07,0.5915956497192383,0.6678668856620789,-0.012974615208804607,0.5619732737541199,0.6374797224998474,-0.02087840624153614,0.5653352737426758,0.5796404480934143,-0.030449729412794113,0.5804667472839355,0.5365095138549805,-0.039185136556625366,0.5313917398452759,0.567254364490509,-0.00875916052609682,0.4890887439250946,0.5357522368431091,-0.024895386770367622,0.46271634101867676,0.5127015709877014,-0.03554333373904228,0.4415060877799988,0.49288827180862427,-0.04167136922478676,0.5510810613632202,0.5331004858016968,-0.014024459756910801,0.5183292031288147,0.46492910385131836,-0.029939038679003716,0.4958823621273041,0.4219900369644165,-0.039241254329681396,0.478429913520813,0.38505905866622925,-0.04236084595322609,0.5777347087860107,0.5225245952606201,-0.021567299962043762,0.5606443285942078,0.5013638138771057,-0.04454853758215904,0.5708180069923401,0.5509569048881531,-0.04650991037487984,0.5826436281204224,0.5827125906944275,-0.039561882615089417,0.6062666773796082,0.5277628898620605,-0.030172081664204597,0.5894909501075745,0.5125161409378052,-0.04578015208244324,0.5894036293029785,0.5505016446113586,-0.04166888818144798,0.594921886920929,0.578678548336029,-0.03348897770047188
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6264942288398743,0.6658790111541748,2.8541464303089015e-07,0.5922960042953491,0.6682209968566895,-0.013622408732771873,0.5632068514823914,0.6378785967826843,-0.02195892482995987,0.5656983256340027,0.5806930661201477,-0.031780969351530075,0.5800514817237854,0.536298394203186,-0.040726859122514725,0.5309688448905945,0.5692822933197021,-0.009234191849827766,0.48824673891067505,0.5370895862579346,-0.026266133412718773,0.4618836045265198,0.514524519443512,-0.03751549497246742,0.4405832290649414,0.4945888817310333,-0.04396195709705353,0.5505083203315735,0.5351495742797852,-0.014365995302796364,0.5178877115249634,0.46579575538635254,-0.030911238864064217,0.4957340657711029,0.42318108677864075,-0.04045930877327919,0.4782854914665222,0.3851463198661804,-0.043606847524642944,0.577140748500824,0.524149477481842,-0.021883636713027954,0.5611009001731873,0.5028930902481079,-0.04559675604104996,0.5710692405700684,0.5535876154899597,-0.04732893779873848,0.5826819539070129,0.5842375755310059,-0.04002908617258072,0.6053692102432251,0.5292196869850159,-0.03051413595676422,0.5888605117797852,0.515403151512146,-0.046994760632514954,0.5901220440864563,0.554571807384491,-0.04280427470803261,0.5966351628303528,0.5810412168502808,-0.034319885075092316
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6264942288398743,0.6658790111541748,2.8541464303089015e-07,0.5922960042953491,0.6682209968566895,-0.013622408732771873,0.5632068514823914,0.6378785967826843,-0.02195892482995987,0.5656983256340027,0.5806930661201477,-0.031780969351530075,0.5800514817237854,0.536298394203186,-0.040726859122514725,0.5309688448905945,0.5692822933197021,-0.009234191849827766,0.48824673891067505,0.5370895862579346,-0.026266133412718773,0.4618836045265198,0.514524519443512,-0.03751549497246742,0.4405832290649414,0.4945888817310333,-0.04396195709705353,0.5505083203315735,0.5351495742797852,-0.014365995302796364,0.5178877115249634,0.46579575538635254,-0.030911238864064217,0.4957340657711029,0.42318108677864075,-0.04045930877327919,0.4782854914665222,0.3851463198661804,-0.043606847524642944,0.577140748500824,0.524149477481842,-0.021883636713027954,0.5611009001731873,0.5028930902481079,-0.04559675604104996,0.5710692405700684,0.5535876154899597,-0.04732893779873848,0.5826819539070129,0.5842375755310059,-0.04002908617258072,0.6053692102432251,0.5292196869850159,-0.03051413595676422,0.5888605117797852,0.515403151512146,-0.046994760632514954,0.5901220440864563,0.554571807384491,-0.04280427470803261,0.5966351628303528,0.5810412168502808,-0.034319885075092316
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6267001628875732,0.6648386716842651,2.3177543084784702e-07,0.5916231870651245,0.666572093963623,-0.012946246191859245,0.5633947253227234,0.6380311846733093,-0.02060164324939251,0.5656675100326538,0.580964982509613,-0.029650766402482986,0.5807705521583557,0.5385621190071106,-0.037809159606695175,0.5319811701774597,0.5651063323020935,-0.006881014909595251,0.48976510763168335,0.5347968935966492,-0.022174691781401634,0.4636467695236206,0.5122737288475037,-0.03261983394622803,0.44260942935943604,0.4922252595424652,-0.038536738604307175,0.5511758327484131,0.5319927334785461,-0.011495065875351429,0.5180911421775818,0.46453309059143066,-0.02540845423936844,0.49591511487960815,0.42213255167007446,-0.03297419846057892,0.4793722331523895,0.38644111156463623,-0.03509130701422691,0.5776069760322571,0.5221434831619263,-0.01858246512711048,0.5618606805801392,0.5001518130302429,-0.03983203321695328,0.5707526206970215,0.5488089919090271,-0.04115379974246025,0.5818846225738525,0.580922544002533,-0.03418819606304169,0.6060374975204468,0.5280990600585938,-0.026798101142048836,0.5900158286094666,0.5119959115982056,-0.041179411113262177,0.5904704928398132,0.5511226654052734,-0.036460138857364655,0.5962810516357422,0.5799732208251953,-0.028094898909330368
