frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5983787178993225,0.8498855829238892,2.3456347975070457e-09,0.5771057605743408,0.8150477409362793,-0.014090677723288536,0.572043240070343,0.7641445398330688,-0.0205010324716568,0.5956653356552124,0.7447338700294495,-0.02502966858446598,0.6205564141273499,0.7428460717201233,-0.030190587043762207,0.5814700722694397,0.6921694874763489,-0.01439911313354969,0.5662766695022583,0.6246265769004822,-0.0240686796605587,0.5592994093894958,0.5833089351654053,-0.03253737837076187,0.5547056198120117,0.547943651676178,-0.039257295429706573,0.6049113869667053,0.693117618560791,-0.015963317826390266,0.6071413159370422,0.6147409081459045,-0.024774545803666115,0.6102866530418396,0.5685627460479736,-0.03246549516916275,0.613679051399231,0.5292932391166687,-0.037903543561697006,0.6245795488357544,0.710560142993927,-0.018942872062325478,0.6378384232521057,0.6512177586555481,-0.03222150728106499,0.6447029709815979,0.6132797598838806,-0.04180494323372841,0.6515217423439026,0.577886164188385,-0.047820888459682465,0.6415179371833801,0.7439061999320984,-0.022537637501955032,0.6469316482543945,0.7080028057098389,-0.0346006341278553,0.6370763182640076,0.7213715314865112,-0.03448645398020744,0.6276097297668457,0.7420680522918701,-0.03336230292916298
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5946923494338989,0.853848934173584,7.262209500424888e-09,0.5748283863067627,0.8167597055435181,-0.014567716047167778,0.5707229375839233,0.7653037905693054,-0.02037222869694233,0.5959022641181946,0.745098352432251,-0.02423718571662903,0.621245265007019,0.7419260740280151,-0.028529703617095947,0.5803380012512207,0.6933574676513672,-0.013081706129014492,0.5651460289955139,0.6268545389175415,-0.02278526872396469,0.5579348206520081,0.5848285555839539,-0.031163601204752922,0.5528636574745178,0.5493586659431458,-0.03772781416773796,0.6040799021720886,0.6942307353019714,-0.014753136783838272,0.6078890562057495,0.6150484085083008,-0.02353242225944996,0.6107350587844849,0.5685005187988281,-0.030853908509016037,0.6129904389381409,0.5307425856590271,-0.035797711461782455,0.6232470273971558,0.7128336429595947,-0.01813320815563202,0.6368035078048706,0.6521771550178528,-0.03219166398048401,0.6426988840103149,0.6132886409759521,-0.042165398597717285,0.648353099822998,0.5772825479507446,-0.04811803251504898,0.6390373706817627,0.7486529350280762,-0.022159012034535408,0.6440442204475403,0.7109404802322388,-0.03518354892730713,0.6344949007034302,0.7235221862792969,-0.03559904545545578,0.6249377131462097,0.7435594797134399,-0.03459319472312927
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5946923494338989,0.853848934173584,7.262209500424888e-09,0.5748283863067627,0.8167597055435181,-0.014567716047167778,0.5707229375839233,0.7653037905693054,-0.02037222869694233,0.5959022641181946,0.745098352432251,-0.02423718571662903,0.621245265007019,0.7419260740280151,-0.028529703617095947,0.5803380012512207,0.6933574676513672,-0.013081706129014492,0.5651460289955139,0.6268545389175415,-0.02278526872396469,0.5579348206520081,0.5848285555839539,-0.031163601204752922,0.5528636574745178,0.5493586659431458,-0.03772781416773796,0.6040799021720886,0.6942307353019714,-0.014753136783838272,0.6078890562057495,0.6150484085083008,-0.02353242225944996,0.6107350587844849,0.5685005187988281,-0.030853908509016037,0.6129904389381409,0.5307425856590271,-0.035797711461782455,0.6232470273971558,0.7128336429595947,-0.01813320815563202,0.6368035078048706,0.6521771550178528,-0.03219166398048401,0.6426988840103149,0.6132886409759521,-0.042165398597717285,0.648353099822998,0.5772825479507446,-0.04811803251504898,0.6390373706817627,0.7486529350280762,-0.022159012034535408,0.6440442204475403,0.7109404802322388,-0.03518354892730713,0.6344949007034302,0.7235221862792969,-0.03559904545545578,0.6249377131462097,0.7435594797134399,-0.03459319472312927
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5940629243850708,0.854906439781189,4.94187402111379e-09,0.5743412971496582,0.8181456327438354,-0.01413966529071331,0.5704699158668518,0.7672412991523743,-0.020091798156499863,0.5955508351325989,0.7477891445159912,-0.024420635774731636,0.6209285855293274,0.7449450492858887,-0.02922949753701687,0.5796827077865601,0.6951512694358826,-0.012056969106197357,0.5644539594650269,0.628892183303833,-0.021767666563391685,0.5579161047935486,0.5866981148719788,-0.030260486528277397,0.5531206727027893,0.5506625771522522,-0.03693171218037605,0.603208601474762,0.6951994299888611,-0.013948693871498108,0.6070611476898193,0.6163454055786133,-0.022934701293706894,0.6106745004653931,0.5706049799919128,-0.030312303453683853,0.6131770014762878,0.5332645177841187,-0.03523947671055794,0.6225200295448303,0.7135922312736511,-0.01757136359810829,0.6361457109451294,0.6536924839019775,-0.03159916773438454,0.6428103446960449,0.615665078163147,-0.041283831000328064,0.6487663984298706,0.5798205733299255,-0.04702034965157509,0.6386770606040955,0.7489017248153687,-0.021860206499695778,0.6452504992485046,0.7108650803565979,-0.0345795676112175,0.6353974342346191,0.7239987850189209,-0.0346369668841362,0.6253942251205444,0.7442323565483093,-0.03343065455555916
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5940629243850708,0.854906439781189,4.94187402111379e-09,0.5743412971496582,0.8181456327438354,-0.01413966529071331,0.5704699158668518,0.7672412991523743,-0.020091798156499863,0.5955508351325989,0.7477891445159912,-0.024420635774731636,0.6209285855293274,0.7449450492858887,-0.02922949753701687,0.5796827077865601,0.6951512694358826,-0.012056969106197357,0.5644539594650269,0.628892183303833,-0.021767666563391685,0.5579161047935486,0.5866981148719788,-0.030260486528277397,0.5531206727027893,0.5506625771522522,-0.03693171218037605,0.603208601474762,0.6951994299888611,-0.013948693871498108,0.6070611476898193,0.6163454055786133,-0.022934701293706894,0.6106745004653931,0.5706049799919128,-0.030312303453683853,0.6131770014762878,0.5332645177841187,-0.03523947671055794,0.6225200295448303,0.7135922312736511,-0.01757136359810829,0.6361457109451294,0.6536924839019775,-0.03159916773438454,0.6428103446960449,0.615665078163147,-0.041283831000328064,0.6487663984298706,0.5798205733299255,-0.04702034965157509,0.6386770606040955,0.7489017248153687,-0.021860206499695778,0.6452504992485046,0.7108650803565979,-0.0345795676112175,0.6353974342346191,0.7239987850189209,-0.0346369668841362,0.6253942251205444,0.7442323565483093,-0.03343065455555916
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5952569246292114,0.8527402281761169,3.2134575889131156e-08,0.5747950077056885,0.818989634513855,-0.014681891538202763,0.5707736611366272,0.7687928080558777,-0.021001193672418594,0.5968044400215149,0.749262273311615,-0.025537585839629173,0.623068630695343,0.7455240488052368,-0.030428048223257065,0.5800678133964539,0.6935098767280579,-0.011949907056987286,0.5645293593406677,0.627832293510437,-0.02192305587232113,0.5571506023406982,0.5857164859771729,-0.030908146873116493,0.5519106984138489,0.5505373477935791,-0.03765265643596649,0.6032610535621643,0.6938899159431458,-0.013263934291899204,0.60721355676651,0.6162919402122498,-0.02159581147134304,0.6115630865097046,0.5691552758216858,-0.028953149914741516,0.6148011684417725,0.5296480655670166,-0.0338757187128067,0.6221312880516052,0.7125126123428345,-0.01643679104745388,0.636486291885376,0.6530296206474304,-0.03024028055369854,0.6438807249069214,0.6138156652450562,-0.04064330458641052,0.6496211290359497,0.5764062404632568,-0.04677169770002365,0.6385425925254822,0.7478042244911194,-0.020264295861124992,0.6467815637588501,0.7117376923561096,-0.03303089365363121,0.6370334625244141,0.7255850434303284,-0.033627379685640335,0.6264229416847229,0.7453649044036865,-0.032727405428886414
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5956659913063049,0.8527635335922241,3.4713618646264877e-08,0.5753123164176941,0.8189384937286377,-0.014082245528697968,0.5714829564094543,0.7685781121253967,-0.02021145075559616,0.5971769094467163,0.748675525188446,-0.024674300104379654,0.6232672333717346,0.7441860437393188,-0.02958882413804531,0.5802017450332642,0.6933045983314514,-0.011512389406561852,0.5647045969963074,0.6287790536880493,-0.021373309195041656,0.5577105283737183,0.5871962904930115,-0.030176278203725815,0.553072988986969,0.5523295402526855,-0.036802731454372406,0.6034116744995117,0.6934540867805481,-0.013109119608998299,0.6072389483451843,0.6158456206321716,-0.02143312804400921,0.61188143491745,0.5688971877098083,-0.02846875600516796,0.6158128380775452,0.5294485688209534,-0.03305820748209953,0.6224902272224426,0.7121185660362244,-0.016518637537956238,0.6368240714073181,0.6527411937713623,-0.030154230073094368,0.6441320180892944,0.6139647364616394,-0.040012892335653305,0.6501965522766113,0.5768458247184753,-0.0457504466176033,0.6389018297195435,0.7474101185798645,-0.020548095926642418,0.6468391418457031,0.7118654847145081,-0.03306173160672188,0.6370159983634949,0.7259930372238159,-0.033232323825359344,0.6268808841705322,0.7457541227340698,-0.032006870955228806
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5956659913063049,0.8527635335922241,3.4713618646264877e-08,0.5753123164176941,0.8189384937286377,-0.014082245528697968,0.5714829564094543,0.7685781121253967,-0.02021145075559616,0.5971769094467163,0.748675525188446,-0.024674300104379654,0.6232672333717346,0.7441860437393188,-0.02958882413804531,0.5802017450332642,0.6933045983314514,-0.011512389406561852,0.5647045969963074,0.6287790536880493,-0.021373309195041656,0.5577105283737183,0.5871962904930115,-0.030176278203725815,0.553072988986969,0.5523295402526855,-0.036802731454372406,0.6034116744995117,0.6934540867805481,-0.013109119608998299,0.6072389483451843,0.6158456206321716,-0.02143312804400921,0.61188143491745,0.5688971877098083,-0.02846875600516796,0.6158128380775452,0.5294485688209534,-0.03305820748209953,0.6224902272224426,0.7121185660362244,-0.016518637537956238,0.6368240714073181,0.6527411937713623,-0.030154230073094368,0.6441320180892944,0.6139647364616394,-0.040012892335653305,0.6501965522766113,0.5768458247184753,-0.0457504466176033,0.6389018297195435,0.7474101185798645,-0.020548095926642418,0.6468391418457031,0.7118654847145081,-0.03306173160672188,0.6370159983634949,0.7259930372238159,-0.033232323825359344,0.6268808841705322,0.7457541227340698,-0.032006870955228806
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5956607460975647,0.8527728915214539,3.062592313085588e-08,0.5757176876068115,0.8195074796676636,-0.014110309071838856,0.5718265771865845,0.7693711519241333,-0.02034440077841282,0.5972749590873718,0.748694121837616,-0.024974508211016655,0.6234472393989563,0.7446111440658569,-0.030098000541329384,0.5804403424263,0.6940662860870361,-0.011869741603732109,0.5647435784339905,0.6291298866271973,-0.02157817780971527,0.5579966306686401,0.5870298743247986,-0.030241021886467934,0.5535010099411011,0.5516492128372192,-0.036853741854429245,0.6036491990089417,0.6939926743507385,-0.013518515042960644,0.607462465763092,0.6160380840301514,-0.021764688193798065,0.6122088432312012,0.56946861743927,-0.02864750660955906,0.6159737706184387,0.5304243564605713,-0.03321261703968048,0.6228069067001343,0.7125154137611389,-0.01693636178970337,0.6371120810508728,0.6522083878517151,-0.030384842306375504,0.6445494890213013,0.6134980320930481,-0.040024448186159134,0.6506850719451904,0.5766837000846863,-0.04571758210659027,0.6392984390258789,0.7475447654724121,-0.0210194680839777,0.6477400064468384,0.7113388776779175,-0.03329470381140709,0.6379929780960083,0.7255004048347473,-0.0333423838019371,0.6278252005577087,0.7458730936050415,-0.032138437032699585
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5956607460975647,0.8527728915214539,3.062592313085588e-08,0.5757176876068115,0.8195074796676636,-0.014110309071838856,0.5718265771865845,0.7693711519241333,-0.02034440077841282,0.5972749590873718,0.748694121837616,-0.024974508211016655,0.6234472393989563,0.7446111440658569,-0.030098000541329384,0.5804403424263,0.6940662860870361,-0.011869741603732109,0.5647435784339905,0.6291298866271973,-0.02157817780971527,0.5579966306686401,0.5870298743247986,-0.030241021886467934,0.5535010099411011,0.5516492128372192,-0.036853741854429245,0.6036491990089417,0.6939926743507385,-0.013518515042960644,0.607462465763092,0.6160380840301514,-0.021764688193798065,0.6122088432312012,0.56946861743927,-0.02864750660955906,0.6159737706184387,0.5304243564605713,-0.03321261703968048,0.6228069067001343,0.7125154137611389,-0.01693636178970337,0.6371120810508728,0.6522083878517151,-0.030384842306375504,0.6445494890213013,0.6134980320930481,-0.040024448186159134,0.6506850719451904,0.5766837000846863,-0.04571758210659027,0.6392984390258789,0.7475447654724121,-0.0210194680839777,0.6477400064468384,0.7113388776779175,-0.03329470381140709,0.6379929780960083,0.7255004048347473,-0.0333423838019371,0.6278252005577087,0.7458730936050415,-0.032138437032699585
