frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6606776714324951,0.6605498790740967,-3.326562989514059e-07,0.634899377822876,0.6241775751113892,-0.010079381056129932,0.6188339591026306,0.5685067772865295,-0.018658876419067383,0.6301032304763794,0.5380664467811584,-0.02856084145605564,0.6532041430473328,0.5306193828582764,-0.03609783202409744,0.6409874558448792,0.485056608915329,-0.010458019562065601,0.6416853666305542,0.40927743911743164,-0.03030901961028576,0.6305113434791565,0.4171024262905121,-0.042029328644275665,0.622347354888916,0.44855380058288574,-0.04718142747879028,0.6648948788642883,0.4954429864883423,-0.013601940125226974,0.6603100299835205,0.4899574816226959,-0.03253323212265968,0.6518311500549316,0.5283108353614807,-0.03771580383181572,0.6514822244644165,0.5466411709785461,-0.03811480849981308,0.6847732663154602,0.5181897282600403,-0.019333500415086746,0.6730936765670776,0.5324434041976929,-0.03389326483011246,0.6610972881317139,0.5665670037269592,-0.030481649562716484,0.6593755483627319,0.57382732629776,-0.02590009570121765,0.702006459236145,0.5463244915008545,-0.026806607842445374,0.68512362241745,0.5681201219558716,-0.03407135605812073,0.6719269156455994,0.5939364433288574,-0.030173974111676216,0.6688937544822693,0.5986797213554382,-0.025549599900841713
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6612538695335388,0.6601777076721191,-3.4900452305919316e-07,0.6353269815444946,0.6241286993026733,-0.0092470683157444,0.6192916631698608,0.5680975914001465,-0.017125142738223076,0.630476713180542,0.5389049053192139,-0.02656014822423458,0.65353924036026,0.531460165977478,-0.033793747425079346,0.6409136056900024,0.4854801297187805,-0.009042524732649326,0.6404725313186646,0.4108468294143677,-0.02908903732895851,0.6287240386009216,0.4181123971939087,-0.04100790247321129,0.6198577880859375,0.4489952027797699,-0.04629242420196533,0.6653386950492859,0.49452078342437744,-0.012626582756638527,0.6585339903831482,0.49099043011665344,-0.03151895850896835,0.6508684158325195,0.5318930745124817,-0.03660500794649124,0.6518585085868835,0.5508019924163818,-0.03696514293551445,0.6856186985969543,0.5164979696273804,-0.018916524946689606,0.6710430383682251,0.5338321924209595,-0.03353488817811012,0.6607347130775452,0.5703365802764893,-0.030274532735347748,0.6613654494285583,0.5770072937011719,-0.02591579034924507,0.7031322717666626,0.5437645316123962,-0.02691766992211342,0.6837967038154602,0.569340169429779,-0.034271132200956345,0.6709134578704834,0.5972233414649963,-0.030633846297860146,0.669291079044342,0.6010486483573914,-0.026367096230387688
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6612538695335388,0.6601777076721191,-3.4900452305919316e-07,0.6353269815444946,0.6241286993026733,-0.0092470683157444,0.6192916631698608,0.5680975914001465,-0.017125142738223076,0.630476713180542,0.5389049053192139,-0.02656014822423458,0.65353924036026,0.531460165977478,-0.033793747425079346,0.6409136056900024,0.4854801297187805,-0.009042524732649326,0.6404725313186646,0.4108468294143677,-0.02908903732895851,0.6287240386009216,0.4181123971939087,-0.04100790247321129,0.6198577880859375,0.4489952027797699,-0.04629242420196533,0.6653386950492859,0.49452078342437744,-0.012626582756638527,0.6585339903831482,0.49099043011665344,-0.03151895850896835,0.6508684158325195,0.5318930745124817,-0.03660500794649124,0.6518585085868835,0.5508019924163818,-0.03696514293551445,0.6856186985969543,0.5164979696273804,-0.018916524946689606,0.6710430383682251,0.5338321924209595,-0.03353488817811012,0.6607347130775452,0.5703365802764893,-0.030274532735347748,0.6613654494285583,0.5770072937011719,-0.02591579034924507,0.7031322717666626,0.5437645316123962,-0.02691766992211342,0.6837967038154602,0.569340169429779,-0.034271132200956345,0.6709134578704834,0.5972233414649963,-0.030633846297860146,0.669291079044342,0.6010486483573914,-0.026367096230387688
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6604065299034119,0.6600030064582825,-3.4899795764431474e-07,0.6348699331283569,0.6221461296081543,-0.009147659875452518,0.6189156174659729,0.5664470195770264,-0.017343835905194283,0.6302114725112915,0.5362884402275085,-0.027254618704319,0.6534756422042847,0.5295118689537048,-0.0349244698882103,0.6412100195884705,0.48380112648010254,-0.009385514073073864,0.6407496333122253,0.40679264068603516,-0.029168862849473953,0.6291959881782532,0.4156646728515625,-0.04093998298048973,0.6204423308372498,0.4482205808162689,-0.046207740902900696,0.6650116443634033,0.4947086572647095,-0.013240216299891472,0.6583999991416931,0.48890021443367004,-0.03218265622854233,0.6514288187026978,0.5292253494262695,-0.03741035610437393,0.652313768863678,0.5489797592163086,-0.03802291676402092,0.6849827170372009,0.5178856253623962,-0.01970495842397213,0.6723639369010925,0.5306704044342041,-0.034238770604133606,0.6618312001228333,0.5666728019714355,-0.031025977805256844,0.6609131097793579,0.5748427510261536,-0.026867007836699486,0.7024405598640442,0.5462166666984558,-0.027878833934664726,0.6845423579216003,0.5703684687614441,-0.035366423428058624,0.6716705560684204,0.5970175266265869,-0.0319691076874733,0.6689566969871521,0.6014034748077393,-0.027914276346564293
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6604065299034119,0.6600030064582825,-3.4899795764431474e-07,0.6348699331283569,0.6221461296081543,-0.009147659875452518,0.6189156174659729,0.5664470195770264,-0.017343835905194283,0.6302114725112915,0.5362884402275085,-0.027254618704319,0.6534756422042847,0.5295118689537048,-0.0349244698882103,0.6412100195884705,0.48380112648010254,-0.009385514073073864,0.6407496333122253,0.40679264068603516,-0.029168862849473953,0.6291959881782532,0.4156646728515625,-0.04093998298048973,0.6204423308372498,0.4482205808162689,-0.046207740902900696,0.6650116443634033,0.4947086572647095,-0.013240216299891472,0.6583999991416931,0.48890021443367004,-0.03218265622854233,0.6514288187026978,0.5292253494262695,-0.03741035610437393,0.652313768863678,0.5489797592163086,-0.03802291676402092,0.6849827170372009,0.5178856253623962,-0.01970495842397213,0.6723639369010925,0.5306704044342041,-0.034238770604133606,0.6618312001228333,0.5666728019714355,-0.031025977805256844,0.6609131097793579,0.5748427510261536,-0.026867007836699486,0.7024405598640442,0.5462166666984558,-0.027878833934664726,0.6845423579216003,0.5703684687614441,-0.035366423428058624,0.6716705560684204,0.5970175266265869,-0.0319691076874733,0.6689566969871521,0.6014034748077393,-0.027914276346564293
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6599579453468323,0.6579635143280029,-3.390662186575355e-07,0.6341474056243896,0.6212746500968933,-0.009339493699371815,0.6183698177337646,0.5650225877761841,-0.017460806295275688,0.6299502849578857,0.5339562892913818,-0.027210170403122902,0.6535356640815735,0.5288090705871582,-0.03463781625032425,0.6414157152175903,0.48391687870025635,-0.009045987389981747,0.6394327282905579,0.40724244713783264,-0.029735906049609184,0.6282745599746704,0.4170510768890381,-0.04198566451668739,0.6199896931648254,0.4514375329017639,-0.04727573320269585,0.6655901074409485,0.4934100806713104,-0.01273761224001646,0.6574557423591614,0.4887390732765198,-0.03259662166237831,0.6498201489448547,0.5300808548927307,-0.03770717233419418,0.6508594155311584,0.5514616370201111,-0.03759898990392685,0.6852191090583801,0.5163080096244812,-0.01922818459570408,0.668617308139801,0.5347957015037537,-0.03428956866264343,0.6582121849060059,0.570201575756073,-0.03117365390062332,0.6591460108757019,0.5770162343978882,-0.026595747098326683,0.7016936540603638,0.5449344515800476,-0.027468334883451462,0.6800163388252258,0.5720522403717041,-0.034704115241765976,0.6682189702987671,0.5981119275093079,-0.03123662993311882,0.6681145429611206,0.6009969115257263,-0.02695178985595703
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6595356464385986,0.6573353409767151,-3.327268700559216e-07,0.6339961290359497,0.6208964586257935,-0.009325893595814705,0.6178418397903442,0.5652670860290527,-0.01739254966378212,0.6296223998069763,0.5345014333724976,-0.027014367282390594,0.6531165838241577,0.5288703441619873,-0.034389667212963104,0.640937089920044,0.4839825928211212,-0.009107296355068684,0.638783872127533,0.4082344174385071,-0.029464686289429665,0.6271834969520569,0.4167238771915436,-0.04172919690608978,0.6185586452484131,0.45043492317199707,-0.04714428633451462,0.665334939956665,0.49343714118003845,-0.01269095204770565,0.6573784351348877,0.4876660108566284,-0.03207532688975334,0.6499845385551453,0.5272389054298401,-0.03740142285823822,0.6510816216468811,0.5487818717956543,-0.03766016289591789,0.6852366328239441,0.5159825682640076,-0.019028732553124428,0.6686495542526245,0.5346366167068481,-0.033698197454214096,0.6583548784255981,0.5688799023628235,-0.03090321272611618,0.6591460108757019,0.5761730074882507,-0.026730600744485855,0.7020596265792847,0.5442250370979309,-0.027118977159261703,0.6806503534317017,0.5711292028427124,-0.03427276760339737,0.668728232383728,0.5965869426727295,-0.03109593875706196,0.668267011642456,0.5997784733772278,-0.027150610461831093
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6595356464385986,0.6573353409767151,-3.327268700559216e-07,0.6339961290359497,0.6208964586257935,-0.009325893595814705,0.6178418397903442,0.5652670860290527,-0.01739254966378212,0.6296223998069763,0.5345014333724976,-0.027014367282390594,0.6531165838241577,0.5288703441619873,-0.034389667212963104,0.640937089920044,0.4839825928211212,-0.009107296355068684,0.638783872127533,0.4082344174385071,-0.029464686289429665,0.6271834969520569,0.4167238771915436,-0.04172919690608978,0.6185586452484131,0.45043492317199707,-0.04714428633451462,0.665334939956665,0.49343714118003845,-0.01269095204770565,0.6573784351348877,0.4876660108566284,-0.03207532688975334,0.6499845385551453,0.5272389054298401,-0.03740142285823822,0.6510816216468811,0.5487818717956543,-0.03766016289591789,0.6852366328239441,0.5159825682640076,-0.019028732553124428,0.6686495542526245,0.5346366167068481,-0.033698197454214096,0.6583548784255981,0.5688799023628235,-0.03090321272611618,0.6591460108757019,0.5761730074882507,-0.026730600744485855,0.7020596265792847,0.5442250370979309,-0.027118977159261703,0.6806503534317017,0.5711292028427124,-0.03427276760339737,0.668728232383728,0.5965869426727295,-0.03109593875706196,0.668267011642456,0.5997784733772278,-0.027150610461831093
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6599003672599792,0.6580194234848022,-3.3005588306878053e-07,0.6336690783500671,0.6209571361541748,-0.010667054913938046,0.6179118752479553,0.5672702789306641,-0.02008892595767975,0.6293784379959106,0.5358512997627258,-0.030956128612160683,0.652911901473999,0.5283797979354858,-0.03920574113726616,0.6409684419631958,0.4842471480369568,-0.01054215058684349,0.6386646628379822,0.4069610834121704,-0.032471638172864914,0.6270187497138977,0.41615545749664307,-0.04526709392666817,0.6183462142944336,0.4497668147087097,-0.05078422650694847,0.6650596857070923,0.4936927855014801,-0.013974080793559551,0.65682053565979,0.48993441462516785,-0.03484699875116348,0.6495440602302551,0.5320210456848145,-0.03973422199487686,0.651357889175415,0.5523292422294617,-0.03934915363788605,0.6846808195114136,0.5169329047203064,-0.02043389528989792,0.6683135628700256,0.5356435179710388,-0.03597351163625717,0.6580185890197754,0.5709083080291748,-0.03195534273982048,0.6597194671630859,0.5759502649307251,-0.026775848120450974,0.70142662525177,0.5463838577270508,-0.02884519100189209,0.6800509095191956,0.5731521844863892,-0.036011092364788055,0.6685535311698914,0.5980247259140015,-0.032045476138591766,0.669066846370697,0.5986106991767883,-0.02744637057185173
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6599003672599792,0.6580194234848022,-3.3005588306878053e-07,0.6336690783500671,0.6209571361541748,-0.010667054913938046,0.6179118752479553,0.5672702789306641,-0.02008892595767975,0.6293784379959106,0.5358512997627258,-0.030956128612160683,0.652911901473999,0.5283797979354858,-0.03920574113726616,0.6409684419631958,0.4842471480369568,-0.01054215058684349,0.6386646628379822,0.4069610834121704,-0.032471638172864914,0.6270187497138977,0.41615545749664307,-0.04526709392666817,0.6183462142944336,0.4497668147087097,-0.05078422650694847,0.6650596857070923,0.4936927855014801,-0.013974080793559551,0.65682053565979,0.48993441462516785,-0.03484699875116348,0.6495440602302551,0.5320210456848145,-0.03973422199487686,0.651357889175415,0.5523292422294617,-0.03934915363788605,0.6846808195114136,0.5169329047203064,-0.02043389528989792,0.6683135628700256,0.5356435179710388,-0.03597351163625717,0.6580185890197754,0.5709083080291748,-0.03195534273982048,0.6597194671630859,0.5759502649307251,-0.026775848120450974,0.70142662525177,0.5463838577270508,-0.02884519100189209,0.6800509095191956,0.5731521844863892,-0.036011092364788055,0.6685535311698914,0.5980247259140015,-0.032045476138591766,0.669066846370697,0.5986106991767883,-0.02744637057185173
