frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44562676548957825,0.6524296402931213,-1.3660491049449774e-07,0.4155850112438202,0.6151152849197388,-0.00852244533598423,0.39703601598739624,0.5801293253898621,-0.018568750470876694,0.38792914152145386,0.5507408380508423,-0.029160896316170692,0.39374345541000366,0.5340830087661743,-0.03932616114616394,0.4195277690887451,0.5021229982376099,-0.010996690951287746,0.40029025077819824,0.45767030119895935,-0.025718219578266144,0.3878694176673889,0.42664387822151184,-0.03644651919603348,0.378616601228714,0.3991786241531372,-0.04471135511994362,0.4400272071361542,0.5055292248725891,-0.015038385055959225,0.40757137537002563,0.5104341506958008,-0.03196463733911514,0.4059560000896454,0.5531970858573914,-0.03597947582602501,0.4124993085861206,0.5735925436019897,-0.036174554377794266,0.4542005658149719,0.5265468955039978,-0.020688896998763084,0.41781264543533325,0.5445287823677063,-0.03306599706411362,0.41748762130737305,0.5780617594718933,-0.027103779837489128,0.4254181981086731,0.587192952632904,-0.02141403965651989,0.461575448513031,0.5565226674079895,-0.02791351079940796,0.43061161041259766,0.5716831684112549,-0.03518959507346153,0.4291505515575409,0.5966018438339233,-0.030398782342672348,0.4367949664592743,0.6026822328567505,-0.025275936350226402
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44562676548957825,0.6524296402931213,-1.3660491049449774e-07,0.4155850112438202,0.6151152849197388,-0.00852244533598423,0.39703601598739624,0.5801293253898621,-0.018568750470876694,0.38792914152145386,0.5507408380508423,-0.029160896316170692,0.39374345541000366,0.5340830087661743,-0.03932616114616394,0.4195277690887451,0.5021229982376099,-0.010996690951287746,0.40029025077819824,0.45767030119895935,-0.025718219578266144,0.3878694176673889,0.42664387822151184,-0.03644651919603348,0.378616601228714,0.3991786241531372,-0.04471135511994362,0.4400272071361542,0.5055292248725891,-0.015038385055959225,0.40757137537002563,0.5104341506958008,-0.03196463733911514,0.4059560000896454,0.5531970858573914,-0.03597947582602501,0.4124993085861206,0.5735925436019897,-0.036174554377794266,0.4542005658149719,0.5265468955039978,-0.020688896998763084,0.41781264543533325,0.5445287823677063,-0.03306599706411362,0.41748762130737305,0.5780617594718933,-0.027103779837489128,0.4254181981086731,0.587192952632904,-0.02141403965651989,0.461575448513031,0.5565226674079895,-0.02791351079940796,0.43061161041259766,0.5716831684112549,-0.03518959507346153,0.4291505515575409,0.5966018438339233,-0.030398782342672348,0.4367949664592743,0.6026822328567505,-0.025275936350226402
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45061957836151123,0.6667613387107849,-1.7436246935176314e-07,0.41891083121299744,0.6241871118545532,-0.009652353823184967,0.3997354805469513,0.5867992639541626,-0.02040415070950985,0.3918258249759674,0.5563614368438721,-0.03182914853096008,0.3945276141166687,0.5350348949432373,-0.04277540743350983,0.4192013740539551,0.5043387413024902,-0.012119561433792114,0.4018109440803528,0.4578108489513397,-0.02754683420062065,0.3890714645385742,0.4281949996948242,-0.039094313979148865,0.3794679045677185,0.40207016468048096,-0.047807320952415466,0.4413539469242096,0.5056881904602051,-0.01571858860552311,0.40812399983406067,0.5127459764480591,-0.032105207443237305,0.4071896970272064,0.5567334890365601,-0.03700289502739906,0.4151688516139984,0.578016996383667,-0.03863667696714401,0.45657530426979065,0.5259515047073364,-0.02106022834777832,0.42023345828056335,0.5442861914634705,-0.033868394792079926,0.42038989067077637,0.5799822211265564,-0.02897988073527813,0.4290042221546173,0.5919202566146851,-0.024479879066348076,0.46493592858314514,0.5545942187309265,-0.02807365171611309,0.4340994954109192,0.5709365606307983,-0.03680528700351715,0.43214261531829834,0.5970271825790405,-0.03323019668459892,0.43906161189079285,0.605571448802948,-0.029044147580862045
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45061957836151123,0.6667613387107849,-1.7436246935176314e-07,0.41891083121299744,0.6241871118545532,-0.009652353823184967,0.3997354805469513,0.5867992639541626,-0.02040415070950985,0.3918258249759674,0.5563614368438721,-0.03182914853096008,0.3945276141166687,0.5350348949432373,-0.04277540743350983,0.4192013740539551,0.5043387413024902,-0.012119561433792114,0.4018109440803528,0.4578108489513397,-0.02754683420062065,0.3890714645385742,0.4281949996948242,-0.039094313979148865,0.3794679045677185,0.40207016468048096,-0.047807320952415466,0.4413539469242096,0.5056881904602051,-0.01571858860552311,0.40812399983406067,0.5127459764480591,-0.032105207443237305,0.4071896970272064,0.5567334890365601,-0.03700289502739906,0.4151688516139984,0.578016996383667,-0.03863667696714401,0.45657530426979065,0.5259515047073364,-0.02106022834777832,0.42023345828056335,0.5442861914634705,-0.033868394792079926,0.42038989067077637,0.5799822211265564,-0.02897988073527813,0.4290042221546173,0.5919202566146851,-0.024479879066348076,0.46493592858314514,0.5545942187309265,-0.02807365171611309,0.4340994954109192,0.5709365606307983,-0.03680528700351715,0.43214261531829834,0.5970271825790405,-0.03323019668459892,0.43906161189079285,0.605571448802948,-0.029044147580862045
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4624501168727875,0.6678602695465088,-1.6752159126554034e-07,0.4305471181869507,0.6253834366798401,-0.008851618506014347,0.41027313470840454,0.5810922980308533,-0.018631290644407272,0.4009394347667694,0.5472190976142883,-0.029122499749064445,0.40483570098876953,0.527531087398529,-0.03928015008568764,0.43043944239616394,0.5004251599311829,-0.010613401420414448,0.40887340903282166,0.4561924636363983,-0.026513520628213882,0.3955398201942444,0.4254530668258667,-0.03883727639913559,0.3853513300418854,0.39965564012527466,-0.0477505624294281,0.44980335235595703,0.5027689933776855,-0.015012577176094055,0.41623586416244507,0.5113202333450317,-0.033585622906684875,0.41219496726989746,0.5522751808166504,-0.03939985856413841,0.4161555767059326,0.5758252143859863,-0.040599122643470764,0.46373122930526733,0.5229356288909912,-0.021097494289278984,0.4266245365142822,0.5444999933242798,-0.034850239753723145,0.42735055088996887,0.5798481702804565,-0.029889056459069252,0.43626195192337036,0.5930991172790527,-0.024585818871855736,0.4726242423057556,0.5524412989616394,-0.028848689049482346,0.4409519135951996,0.5690242052078247,-0.0367777943611145,0.4394308924674988,0.5965279340744019,-0.03200893476605415,0.44727593660354614,0.6067636609077454,-0.026738932356238365
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47422054409980774,0.6706494092941284,-2.7846496664096776e-07,0.44277724623680115,0.6198452115058899,-0.0051649645902216434,0.42582353949546814,0.5724039673805237,-0.012941207736730576,0.4184543192386627,0.5414651036262512,-0.02198641747236252,0.42354270815849304,0.5255226492881775,-0.028913330286741257,0.4637085497379303,0.4868834614753723,-0.002313152188435197,0.4287567734718323,0.48948031663894653,-0.018609795719385147,0.4251747727394104,0.5256434679031372,-0.03048207238316536,0.4325222969055176,0.5383790135383606,-0.03697153925895691,0.4739926755428314,0.5010516047477722,-0.0075737228617072105,0.4303678274154663,0.5173918008804321,-0.020953787490725517,0.43002796173095703,0.5486538410186768,-0.0253619235008955,0.4391108751296997,0.5538520812988281,-0.02677673101425171,0.4804898798465729,0.5264958739280701,-0.014793738722801208,0.4370998740196228,0.5486907362937927,-0.02420477382838726,0.4388420581817627,0.5767625570297241,-0.019757939502596855,0.44875669479370117,0.5782071352005005,-0.01579010859131813,0.4833056628704071,0.5579853057861328,-0.02345961518585682,0.4485146403312683,0.5774325132369995,-0.026465488597750664,0.44981080293655396,0.5974488854408264,-0.0212666317820549,0.4592847526073456,0.5987632274627686,-0.01609722711145878
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47422054409980774,0.6706494092941284,-2.7846496664096776e-07,0.44277724623680115,0.6198452115058899,-0.0051649645902216434,0.42582353949546814,0.5724039673805237,-0.012941207736730576,0.4184543192386627,0.5414651036262512,-0.02198641747236252,0.42354270815849304,0.5255226492881775,-0.028913330286741257,0.4637085497379303,0.4868834614753723,-0.002313152188435197,0.4287567734718323,0.48948031663894653,-0.018609795719385147,0.4251747727394104,0.5256434679031372,-0.03048207238316536,0.4325222969055176,0.5383790135383606,-0.03697153925895691,0.4739926755428314,0.5010516047477722,-0.0075737228617072105,0.4303678274154663,0.5173918008804321,-0.020953787490725517,0.43002796173095703,0.5486538410186768,-0.0253619235008955,0.4391108751296997,0.5538520812988281,-0.02677673101425171,0.4804898798465729,0.5264958739280701,-0.014793738722801208,0.4370998740196228,0.5486907362937927,-0.02420477382838726,0.4388420581817627,0.5767625570297241,-0.019757939502596855,0.44875669479370117,0.5782071352005005,-0.01579010859131813,0.4833056628704071,0.5579853057861328,-0.02345961518585682,0.4485146403312683,0.5774325132369995,-0.026465488597750664,0.44981080293655396,0.5974488854408264,-0.0212666317820549,0.4592847526073456,0.5987632274627686,-0.01609722711145878
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47422054409980774,0.6706494092941284,-2.7846496664096776e-07,0.44277724623680115,0.6198452115058899,-0.0051649645902216434,0.42582353949546814,0.5724039673805237,-0.012941207736730576,0.4184543192386627,0.5414651036262512,-0.02198641747236252,0.42354270815849304,0.5255226492881775,-0.028913330286741257,0.4637085497379303,0.4868834614753723,-0.002313152188435197,0.4287567734718323,0.48948031663894653,-0.018609795719385147,0.4251747727394104,0.5256434679031372,-0.03048207238316536,0.4325222969055176,0.5383790135383606,-0.03697153925895691,0.4739926755428314,0.5010516047477722,-0.0075737228617072105,0.4303678274154663,0.5173918008804321,-0.020953787490725517,0.43002796173095703,0.5486538410186768,-0.0253619235008955,0.4391108751296997,0.5538520812988281,-0.02677673101425171,0.4804898798465729,0.5264958739280701,-0.014793738722801208,0.4370998740196228,0.5486907362937927,-0.02420477382838726,0.4388420581817627,0.5767625570297241,-0.019757939502596855,0.44875669479370117,0.5782071352005005,-0.01579010859131813,0.4833056628704071,0.5579853057861328,-0.02345961518585682,0.4485146403312683,0.5774325132369995,-0.026465488597750664,0.44981080293655396,0.5974488854408264,-0.0212666317820549,0.4592847526073456,0.5987632274627686,-0.01609722711145878
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4824196696281433,0.6621785759925842,-2.97826233008891e-07,0.45685482025146484,0.6122572422027588,-0.0019429431995376945,0.44122594594955444,0.5682985186576843,-0.00646327855065465,0.4292772710323334,0.5422729849815369,-0.012843465432524681,0.41813918948173523,0.527027428150177,-0.01866915635764599,0.47804152965545654,0.5008454918861389,-0.003148796735331416,0.4630754888057709,0.4759771525859833,-0.013824684545397758,0.4485856294631958,0.4946860671043396,-0.022133493795990944,0.4414134919643402,0.5107870697975159,-0.026767468079924583,0.4903835356235504,0.514127254486084,-0.008508054539561272,0.4608445167541504,0.5106197595596313,-0.016950910910964012,0.4443243741989136,0.5254590511322021,-0.02189461700618267,0.4363365173339844,0.535524308681488,-0.024716423824429512,0.4981108009815216,0.5389277935028076,-0.014693834818899632,0.46303725242614746,0.5486162304878235,-0.02106598950922489,0.4596914052963257,0.5723580121994019,-0.019924769178032875,0.46413928270339966,0.585784912109375,-0.01863396167755127,0.5011946558952332,0.5679388046264648,-0.021577777341008186,0.4709394872188568,0.5726461410522461,-0.024542640894651413,0.4674648344516754,0.5909873843193054,-0.020727064460515976,0.47204604744911194,0.6024961471557617,-0.01675994135439396
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5196101665496826,0.6573451161384583,-2.9710162152696284e-07,0.5027317404747009,0.587483823299408,-0.006093977019190788,0.4977996349334717,0.5228784084320068,-0.012738059274852276,0.49844658374786377,0.47491368651390076,-0.020561547949910164,0.4966398775577545,0.4360365867614746,-0.02840193174779415,0.5382503867149353,0.49267929792404175,-0.010924880392849445,0.5344706177711487,0.4442269206047058,-0.02511153556406498,0.5250129103660583,0.4244818687438965,-0.03529725223779678,0.5170618891716003,0.4156450629234314,-0.04131631925702095,0.5495942234992981,0.51927649974823,-0.015414710156619549,0.5234261751174927,0.496223509311676,-0.03027324378490448,0.49953901767730713,0.5061548948287964,-0.03560962527990341,0.4868180453777313,0.523364245891571,-0.03763090819120407,0.5530222058296204,0.5555927753448486,-0.021111445501446724,0.5241247415542603,0.5377548336982727,-0.03419377654790878,0.5016837120056152,0.5459902882575989,-0.03175388649106026,0.4889947474002838,0.5603986382484436,-0.02820923924446106,0.5512258410453796,0.5953236222267151,-0.02770385518670082,0.5298170447349548,0.5803503394126892,-0.035527054220438004,0.5125693082809448,0.5802263617515564,-0.03203965723514557,0.5015624761581421,0.5876136422157288,-0.027676861733198166
