frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609175205230713,0.8226844072341919,-6.494910564924794e-08,0.647532045841217,0.7319785952568054,0.0035732327960431576,0.6102664470672607,0.6889193058013916,0.003657545195892453,0.573365330696106,0.6756742596626282,0.003237294964492321,0.5501709580421448,0.6845959424972534,0.002646633191034198,0.5888491272926331,0.7191897034645081,-0.0019040349870920181,0.5607662796974182,0.7198494076728821,-0.00334169901907444,0.5719872117042542,0.7272645831108093,-0.005402624141424894,0.5846452116966248,0.7288593649864197,-0.006915917620062828,0.5830492973327637,0.7702161073684692,-0.0047578695230185986,0.5614106059074402,0.7631463408470154,-0.0003783442953135818,0.5727967023849487,0.7631551027297974,0.002257443033158779,0.5850641131401062,0.7655431628227234,0.0011758197797462344,0.5831165909767151,0.8156899213790894,-0.006627798080444336,0.5681512355804443,0.8020114302635193,-0.002125624567270279,0.5787705779075623,0.7994668483734131,0.0021051433868706226,0.5906451940536499,0.8040328025817871,0.002070886082947254,0.5873589515686035,0.8532619476318359,-0.008192529901862144,0.578501284122467,0.8375242948532104,-0.0029978640377521515,0.5880252122879028,0.8343184590339661,0.003251792164519429,0.5979697704315186,0.8378071188926697,0.0063918097876012325
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609175205230713,0.8226844072341919,-6.494910564924794e-08,0.647532045841217,0.7319785952568054,0.0035732327960431576,0.6102664470672607,0.6889193058013916,0.003657545195892453,0.573365330696106,0.6756742596626282,0.003237294964492321,0.5501709580421448,0.6845959424972534,0.002646633191034198,0.5888491272926331,0.7191897034645081,-0.0019040349870920181,0.5607662796974182,0.7198494076728821,-0.00334169901907444,0.5719872117042542,0.7272645831108093,-0.005402624141424894,0.5846452116966248,0.7288593649864197,-0.006915917620062828,0.5830492973327637,0.7702161073684692,-0.0047578695230185986,0.5614106059074402,0.7631463408470154,-0.0003783442953135818,0.5727967023849487,0.7631551027297974,0.002257443033158779,0.5850641131401062,0.7655431628227234,0.0011758197797462344,0.5831165909767151,0.8156899213790894,-0.006627798080444336,0.5681512355804443,0.8020114302635193,-0.002125624567270279,0.5787705779075623,0.7994668483734131,0.0021051433868706226,0.5906451940536499,0.8040328025817871,0.002070886082947254,0.5873589515686035,0.8532619476318359,-0.008192529901862144,0.578501284122467,0.8375242948532104,-0.0029978640377521515,0.5880252122879028,0.8343184590339661,0.003251792164519429,0.5979697704315186,0.8378071188926697,0.0063918097876012325
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6619395613670349,0.8230561017990112,-6.268844998658096e-08,0.6488438844680786,0.7327054142951965,0.003799614030867815,0.6115794777870178,0.6909220814704895,0.00409775972366333,0.5744491219520569,0.6775826215744019,0.0036405203863978386,0.5507965087890625,0.6846892833709717,0.002954489318653941,0.5906055569648743,0.7184954285621643,-0.00022897090821061283,0.5618900060653687,0.7192957997322083,-0.001994380261749029,0.5723289251327515,0.7275469303131104,-0.0045517850667238235,0.5850346684455872,0.7300930023193359,-0.006290824618190527,0.5847721099853516,0.7684134840965271,-0.0032224231399595737,0.5625159740447998,0.761867880821228,0.0009635555325075984,0.5732549428939819,0.7628541588783264,0.0032392768189311028,0.5858646035194397,0.7654550671577454,0.00206311815418303,0.5847295522689819,0.8137372136116028,-0.005409131292253733,0.5695648789405823,0.8011468052864075,-0.0010574125917628407,0.5794755220413208,0.7995263934135437,0.0027921514119952917,0.5913540720939636,0.8038903474807739,0.0026231002993881702,0.5888035893440247,0.851864218711853,-0.007304255850613117,0.579925000667572,0.8377557992935181,-0.002132522640749812,0.589011013507843,0.8351081609725952,0.0038669402711093426,0.5991182327270508,0.838251531124115,0.0068922326900064945
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6678282022476196,0.8253092169761658,-5.3316767889555194e-08,0.6544163823127747,0.734224259853363,0.0034696131478995085,0.6162853837013245,0.6881266236305237,0.004278081469237804,0.5782349705696106,0.6731657385826111,0.0043828352354466915,0.5543994307518005,0.6822682023048401,0.004241779912263155,0.5932489633560181,0.7164202332496643,0.0010352404788136482,0.5627718567848206,0.7150576710700989,0.00011790156713686883,0.573916494846344,0.7219927906990051,-0.002160959877073765,0.5875027775764465,0.7239673137664795,-0.0038241432048380375,0.5876078605651855,0.7668689489364624,-0.0016037375899031758,0.5639855265617371,0.7585713267326355,0.003324875608086586,0.5750877857208252,0.7582574486732483,0.005444737616926432,0.588030993938446,0.7609345316886902,0.0040421560406684875,0.5881592035293579,0.8126022815704346,-0.003495915560051799,0.5705359578132629,0.7991480231285095,0.001131530967541039,0.5805310010910034,0.795897364616394,0.0045930566266179085,0.593024730682373,0.7999792098999023,0.004124086815863848,0.5929974913597107,0.8510086536407471,-0.005106383468955755,0.5810642838478088,0.8364953994750977,-0.00019975617760792375,0.5905885696411133,0.8332388997077942,0.005623197183012962,0.601835310459137,0.8370183110237122,0.008603503927588463
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6714859008789062,0.8273493051528931,-4.960004673648655e-08,0.6580922603607178,0.7367631196975708,0.002716223243623972,0.6202024221420288,0.690335750579834,0.0029903575778007507,0.5821152329444885,0.6770210266113281,0.0026667211204767227,0.5577957034111023,0.6860359311103821,0.00216983025893569,0.5983266830444336,0.7163256406784058,-2.3466362108592875e-05,0.5663412809371948,0.7161403894424438,-0.0021024516317993402,0.5764431953430176,0.7242209315299988,-0.005075034685432911,0.5893634557723999,0.7265933752059937,-0.007171411067247391,0.5919822454452515,0.7664444446563721,-0.002617800375446677,0.5663440823554993,0.7604538798332214,0.0009458991116844118,0.5776781439781189,0.7615115642547607,0.0026448972057551146,0.5911519527435303,0.7639811038970947,0.0012277174973860383,0.5917694568634033,0.8121061325073242,-0.004566749557852745,0.5728747248649597,0.8016284704208374,-0.0010950781870633364,0.5832998752593994,0.7993496656417847,0.0022055646404623985,0.5962334275245667,0.8026869297027588,0.001933854422532022,0.596229076385498,0.8509981632232666,-0.006285045761615038,0.5846165418624878,0.8394529819488525,-0.0022359222639352083,0.5942461490631104,0.8363808393478394,0.00313196680508554,0.6054906845092773,0.839065432548523,0.005958543159067631
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6796078681945801,0.8271766901016235,-7.478910646341319e-08,0.6646488904953003,0.7373918294906616,0.0027449920307844877,0.6246045231819153,0.6895164251327515,0.0027732860762625933,0.5858190655708313,0.674038290977478,0.002433531917631626,0.5612172484397888,0.685509979724884,0.0020422562956809998,0.6039028167724609,0.7197732329368591,-0.0018730968004092574,0.5716921091079712,0.7171633839607239,-0.005077832378447056,0.5835756063461304,0.7238951325416565,-0.008523388765752316,0.5979791879653931,0.7259922623634338,-0.010547774843871593,0.5982804298400879,0.7710462808609009,-0.004592390265315771,0.5714865326881409,0.7610523104667664,-0.0016912881983444095,0.5833591222763062,0.7609743475914001,0.0004392041882965714,0.5970240831375122,0.7632747888565063,-0.0005203127511776984,0.5982587933540344,0.8168469667434692,-0.006627219263464212,0.5787419080734253,0.8020085096359253,-0.0035820086486637592,0.5897541046142578,0.799339234828949,0.0007266195607371628,0.602770984172821,0.8029792904853821,0.0012053617974743247,0.6028513312339783,0.8545852899551392,-0.008393789641559124,0.5895606279373169,0.8386032581329346,-0.004125215113162994,0.5992018580436707,0.8368093967437744,0.0024247835390269756,0.6101669669151306,0.8413445353507996,0.006036031525582075
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6796078681945801,0.8271766901016235,-7.478910646341319e-08,0.6646488904953003,0.7373918294906616,0.0027449920307844877,0.6246045231819153,0.6895164251327515,0.0027732860762625933,0.5858190655708313,0.674038290977478,0.002433531917631626,0.5612172484397888,0.685509979724884,0.0020422562956809998,0.6039028167724609,0.7197732329368591,-0.0018730968004092574,0.5716921091079712,0.7171633839607239,-0.005077832378447056,0.5835756063461304,0.7238951325416565,-0.008523388765752316,0.5979791879653931,0.7259922623634338,-0.010547774843871593,0.5982804298400879,0.7710462808609009,-0.004592390265315771,0.5714865326881409,0.7610523104667664,-0.0016912881983444095,0.5833591222763062,0.7609743475914001,0.0004392041882965714,0.5970240831375122,0.7632747888565063,-0.0005203127511776984,0.5982587933540344,0.8168469667434692,-0.006627219263464212,0.5787419080734253,0.8020085096359253,-0.0035820086486637592,0.5897541046142578,0.799339234828949,0.0007266195607371628,0.602770984172821,0.8029792904853821,0.0012053617974743247,0.6028513312339783,0.8545852899551392,-0.008393789641559124,0.5895606279373169,0.8386032581329346,-0.004125215113162994,0.5992018580436707,0.8368093967437744,0.0024247835390269756,0.6101669669151306,0.8413445353507996,0.006036031525582075
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6886823177337646,0.8046063184738159,-7.454833905740088e-08,0.6696895360946655,0.7145492434501648,0.0022368307691067457,0.6311863660812378,0.6690621376037598,0.00018962874310091138,0.5947067737579346,0.6596038937568665,-0.002739617368206382,0.5707288980484009,0.6735260486602783,-0.005511183757334948,0.612900972366333,0.6953002214431763,-0.006001573521643877,0.5795586705207825,0.6848158836364746,-0.012816417030990124,0.5937008857727051,0.6895473003387451,-0.01829996332526207,0.609224796295166,0.6960899233818054,-0.0211182851344347,0.6084654331207275,0.7455193400382996,-0.010032523423433304,0.5797490477561951,0.7327103018760681,-0.01077547762542963,0.5918291807174683,0.728834867477417,-0.009920026175677776,0.6068134307861328,0.7330771088600159,-0.011230823583900928,0.6085654497146606,0.7916839122772217,-0.013515300117433071,0.5863868594169617,0.7731643915176392,-0.012763972394168377,0.595966637134552,0.7684516906738281,-0.007449374534189701,0.6091309189796448,0.7732885479927063,-0.0056623974815011024,0.6121666431427002,0.8308375477790833,-0.016945837065577507,0.5947640538215637,0.8079528212547302,-0.013612844049930573,0.6029290556907654,0.8034990429878235,-0.005886697676032782,0.6138026714324951,0.8093221187591553,-0.0011382123921066523
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6717469692230225,0.7804959416389465,-5.162244320899845e-08,0.6573308110237122,0.6955500841140747,0.0005966034368611872,0.6226587295532227,0.6499246954917908,-0.0022951699793338776,0.5879486203193665,0.6402671933174133,-0.005595598369836807,0.5644509196281433,0.6497709155082703,-0.008909042924642563,0.6053253412246704,0.6737051606178284,-0.00874121394008398,0.570604681968689,0.6623997688293457,-0.01593044586479664,0.5812972784042358,0.6683859825134277,-0.02098103053867817,0.5955283045768738,0.6745287775993347,-0.023511836305260658,0.599990963935852,0.7221341729164124,-0.01218961551785469,0.5697505474090576,0.7083621621131897,-0.014241068623960018,0.581221878528595,0.7076703310012817,-0.01344788447022438,0.5959553122520447,0.7137724161148071,-0.014452867209911346,0.5995424389839172,0.766790509223938,-0.015112319029867649,0.5755059123039246,0.7494097352027893,-0.0157081987708807,0.5846019983291626,0.7471127510070801,-0.010655359365046024,0.5972344875335693,0.7525874376296997,-0.008693036623299122,0.6023316979408264,0.8052514791488647,-0.017990823835134506,0.583810031414032,0.7841671705245972,-0.016329782083630562,0.5918369293212891,0.7812789678573608,-0.009510086849331856,0.6020421385765076,0.7872043251991272,-0.005195623263716698
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6717469692230225,0.7804959416389465,-5.162244320899845e-08,0.6573308110237122,0.6955500841140747,0.0005966034368611872,0.6226587295532227,0.6499246954917908,-0.0022951699793338776,0.5879486203193665,0.6402671933174133,-0.005595598369836807,0.5644509196281433,0.6497709155082703,-0.008909042924642563,0.6053253412246704,0.6737051606178284,-0.00874121394008398,0.570604681968689,0.6623997688293457,-0.01593044586479664,0.5812972784042358,0.6683859825134277,-0.02098103053867817,0.5955283045768738,0.6745287775993347,-0.023511836305260658,0.599990963935852,0.7221341729164124,-0.01218961551785469,0.5697505474090576,0.7083621621131897,-0.014241068623960018,0.581221878528595,0.7076703310012817,-0.01344788447022438,0.5959553122520447,0.7137724161148071,-0.014452867209911346,0.5995424389839172,0.766790509223938,-0.015112319029867649,0.5755059123039246,0.7494097352027893,-0.0157081987708807,0.5846019983291626,0.7471127510070801,-0.010655359365046024,0.5972344875335693,0.7525874376296997,-0.008693036623299122,0.6023316979408264,0.8052514791488647,-0.017990823835134506,0.583810031414032,0.7841671705245972,-0.016329782083630562,0.5918369293212891,0.7812789678573608,-0.009510086849331856,0.6020421385765076,0.7872043251991272,-0.005195623263716698
