frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.712763786315918,0.8663983941078186,-3.6161452499072766e-08,0.6721951961517334,0.8365760445594788,-0.005806886591017246,0.6261982321739197,0.860369086265564,-0.014394757337868214,0.5936682224273682,0.898228645324707,-0.02095044031739235,0.5701702833175659,0.9281111359596252,-0.02873576432466507,0.636164128780365,0.8621199727058411,-0.03483468294143677,0.5991299152374268,0.9353390336036682,-0.04838574677705765,0.5783680081367493,0.9773728847503662,-0.053809754550457,0.5635820031166077,1.008955955505371,-0.05735255032777786,0.6585125923156738,0.8956025242805481,-0.03960343077778816,0.6137273907661438,0.9791708588600159,-0.051110558211803436,0.6135607361793518,0.9727805852890015,-0.048459406942129135,0.6199144721031189,0.9514865279197693,-0.04693248122930527,0.6810857653617859,0.9271098971366882,-0.043328288942575455,0.6377838253974915,0.9978102445602417,-0.05476071685552597,0.6371360421180725,0.9849244356155396,-0.04565371945500374,0.6419572234153748,0.963484525680542,-0.03844718262553215,0.7018411159515381,0.9551014304161072,-0.04698377475142479,0.6652464270591736,1.0100420713424683,-0.05731424316763878,0.6557639837265015,1.0047649145126343,-0.05221525579690933,0.653136670589447,0.9951282143592834,-0.04725094884634018
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7086907029151917,0.8694705963134766,-2.0481280671447166e-08,0.6706872582435608,0.8385173678398132,-0.007894370704889297,0.6249495148658752,0.8639753460884094,-0.01777552254498005,0.5923759937286377,0.9013403058052063,-0.025177545845508575,0.5678215026855469,0.9300495386123657,-0.033795375376939774,0.6323502063751221,0.8623743653297424,-0.03589961305260658,0.5964667797088623,0.9357792735099792,-0.05103572830557823,0.5756250023841858,0.9803802967071533,-0.05819108709692955,0.5626062154769897,1.0140750408172607,-0.06272217631340027,0.6541076898574829,0.8964935541152954,-0.039339400827884674,0.6098272800445557,0.9809820652008057,-0.05202553793787956,0.6081089377403259,0.9812662601470947,-0.050942789763212204,0.6142144799232483,0.9638674855232239,-0.050433214753866196,0.6759746670722961,0.9285389184951782,-0.04200320318341255,0.6332250833511353,1.0018333196640015,-0.05349595099687576,0.6300122141838074,0.9989191889762878,-0.045870404690504074,0.6326180100440979,0.9835312366485596,-0.03977777436375618,0.6959010362625122,0.9550714492797852,-0.04475736990571022,0.6597771048545837,1.013067603111267,-0.055234551429748535,0.6504409313201904,1.0165499448776245,-0.05106848105788231,0.6478837728500366,1.0133657455444336,-0.04671449214220047
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7096544504165649,0.8678424954414368,-6.897877824485477e-08,0.6702824831008911,0.8401632308959961,-0.005767641123384237,0.6240649819374084,0.8655695915222168,-0.013728776946663857,0.5898215174674988,0.9029659628868103,-0.01945354789495468,0.563700795173645,0.9300566911697388,-0.027007393538951874,0.6285536885261536,0.8710307478904724,-0.033994369208812714,0.5916311144828796,0.9442259669303894,-0.04808851331472397,0.5729494094848633,0.9873688220977783,-0.05478842929005623,0.5601643919944763,1.019433856010437,-0.058833565562963486,0.6498392224311829,0.9042516350746155,-0.037747353315353394,0.6060746908187866,0.991054892539978,-0.04796971008181572,0.5935266613960266,1.0218586921691895,-0.048575833439826965,0.5893542766571045,1.0360267162322998,-0.050049182027578354,0.671525776386261,0.9350879192352295,-0.04048023745417595,0.6303675770759583,1.013137698173523,-0.0500645637512207,0.6172335147857666,1.0366727113723755,-0.04619889333844185,0.6104111075401306,1.0457226037979126,-0.04355182871222496,0.6919885873794556,0.9611217379570007,-0.04293457046151161,0.6579729318618774,1.0183237791061401,-0.051800619810819626,0.644307017326355,1.0371167659759521,-0.04951854795217514,0.636613130569458,1.0477864742279053,-0.04701327905058861
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7095109224319458,0.8699920177459717,-8.651453953234522e-08,0.6670649647712708,0.8429404497146606,-0.004218331538140774,0.6197289824485779,0.8685626983642578,-0.011325572617352009,0.5851770043373108,0.9084703922271729,-0.01631714589893818,0.5604065656661987,0.9409639835357666,-0.023188933730125427,0.6239303946495056,0.8801341652870178,-0.03210192918777466,0.5869723558425903,0.9583489894866943,-0.04565631225705147,0.5696991086006165,1.0028163194656372,-0.05251733586192131,0.5583052039146423,1.0345178842544556,-0.05597249045968056,0.6460441946983337,0.9128545522689819,-0.03516888990998268,0.6062441468238831,1.0007314682006836,-0.043835803866386414,0.5875823497772217,1.0424022674560547,-0.0450289249420166,0.5783532857894897,1.0679659843444824,-0.0470963679254055,0.6670300960540771,0.9434600472450256,-0.03699308633804321,0.6279922723770142,1.0193212032318115,-0.043777599930763245,0.609952986240387,1.050765872001648,-0.041030045598745346,0.5994240641593933,1.0675349235534668,-0.03950319066643715,0.6862947940826416,0.968836784362793,-0.038453228771686554,0.6536206007003784,1.0244035720825195,-0.04429531469941139,0.6367656588554382,1.048288345336914,-0.04191930219531059,0.625752329826355,1.063957929611206,-0.03949127346277237
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7049665451049805,0.8738458752632141,-4.8694030141405165e-08,0.6618248224258423,0.8535294532775879,-0.0023093409836292267,0.616087019443512,0.8854728937149048,-0.008456027135252953,0.5828257203102112,0.9279341101646423,-0.012873431667685509,0.5590932965278625,0.9608860015869141,-0.01902359165251255,0.61988365650177,0.8962090611457825,-0.028279844671487808,0.5857159495353699,0.9749847650527954,-0.03840559348464012,0.5701830387115479,1.014162302017212,-0.04216349124908447,0.5603334307670593,1.040427327156067,-0.04358163848519325,0.6414864659309387,0.9283595681190491,-0.031271521002054214,0.6038525104522705,1.0126787424087524,-0.0369981974363327,0.5869308710098267,1.0477098226547241,-0.035829607397317886,0.5790740847587585,1.0680646896362305,-0.03618800267577171,0.6625717878341675,0.9565728902816772,-0.032836947590112686,0.6267324686050415,1.0284574031829834,-0.036856409162282944,0.6100642085075378,1.0547630786895752,-0.03248821571469307,0.6005253791809082,1.0682780742645264,-0.030126281082630157,0.6818893551826477,0.9790725708007812,-0.03390030562877655,0.6512882113456726,1.0331628322601318,-0.037603434175252914,0.6362370848655701,1.054788589477539,-0.03423432633280754,0.6259375810623169,1.0690689086914062,-0.03130140155553818
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6997351050376892,0.8814815878868103,-7.064984686167008e-08,0.6584635376930237,0.8668683767318726,-0.0015517224092036486,0.6165208220481873,0.907602071762085,-0.005228887777775526,0.5858442187309265,0.9530275464057922,-0.008031927980482578,0.5624169707298279,0.9823110103607178,-0.012419292703270912,0.6120644807815552,0.9226799011230469,-0.017873801290988922,0.5842856168746948,0.9967638254165649,-0.025450944900512695,0.5744674205780029,1.0325566530227661,-0.029777545481920242,0.5681439638137817,1.054390788078308,-0.03247348591685295,0.6332970261573792,0.9524348974227905,-0.020136818289756775,0.6099225282669067,1.0222004652023315,-0.02394646592438221,0.6062295436859131,1.0439263582229614,-0.024398736655712128,0.6067556738853455,1.051548957824707,-0.026922620832920074,0.6557257771492004,0.9766408801078796,-0.0214398093521595,0.6335556507110596,1.0350277423858643,-0.02450631745159626,0.6295849084854126,1.0506843328475952,-0.022129274904727936,0.6303864121437073,1.0556104183197021,-0.022278914228081703,0.6762895584106445,0.993777334690094,-0.02232562005519867,0.6563621759414673,1.0390920639038086,-0.02472725883126259,0.6544060111045837,1.0483478307724,-0.02173936925828457,0.655743420124054,1.050176739692688,-0.020037615671753883
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6726846694946289,0.8769930005073547,-3.596874975642095e-08,0.6396556496620178,0.8772749304771423,-0.0035727766808122396,0.6013670563697815,0.9151194095611572,-0.006931140553206205,0.5789097547531128,0.9592269659042358,-0.01001831702888012,0.5665525794029236,0.9983342289924622,-0.014717319048941135,0.5893151760101318,0.9282522201538086,-0.011892136186361313,0.5692534446716309,0.9816944599151611,-0.019859621301293373,0.5605232119560242,1.0126200914382935,-0.026560241356492043,0.553756058216095,1.0308762788772583,-0.03140127658843994,0.6069825887680054,0.9464645385742188,-0.014827719889581203,0.5899711847305298,1.0052127838134766,-0.018947545439004898,0.5866589546203613,1.0289362668991089,-0.02194473333656788,0.5836570262908936,1.0381643772125244,-0.02586711198091507,0.6293160319328308,0.9626244306564331,-0.01763591729104519,0.6143370866775513,1.0167508125305176,-0.022406568750739098,0.6142756342887878,1.0296316146850586,-0.021094486117362976,0.6129780411720276,1.0295621156692505,-0.02124425396323204,0.6529673933982849,0.9769080877304077,-0.02052965946495533,0.6401077508926392,1.0206657648086548,-0.025150040164589882,0.6405937671661377,1.0238986015319824,-0.022228144109249115,0.6423789858818054,1.0176981687545776,-0.020062528550624847
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6645110845565796,0.8606674671173096,-1.3601122361706075e-07,0.6294614672660828,0.8317031264305115,-0.000679580494761467,0.5852547883987427,0.8427167534828186,-0.005235015880316496,0.5564774870872498,0.8818017244338989,-0.010802424512803555,0.5421183109283447,0.9168647527694702,-0.017721762880682945,0.561402440071106,0.8417984247207642,-0.013480791822075844,0.5205672383308411,0.8710564970970154,-0.023089231923222542,0.4976126551628113,0.8807464838027954,-0.02976035326719284,0.4799858629703522,0.8853229880332947,-0.03543023765087128,0.5742446184158325,0.8649821877479553,-0.019287364557385445,0.5505089163780212,0.9412882328033447,-0.02932765893638134,0.5643165111541748,0.9438430666923523,-0.02996516227722168,0.574920117855072,0.9240906238555908,-0.031177179887890816,0.5931888222694397,0.8951312303543091,-0.0247462410479784,0.5757206082344055,0.9610234498977661,-0.032477378845214844,0.5882338881492615,0.9524638056755066,-0.027613434940576553,0.5954768657684326,0.9267252683639526,-0.025204017758369446,0.6139560341835022,0.9251831769943237,-0.03040272369980812,0.5976669788360596,0.9726795554161072,-0.036061808466911316,0.6081635355949402,0.9630138278007507,-0.031275127083063126,0.6158219575881958,0.9417822957038879,-0.027659093961119652
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6573161482810974,0.8295906782150269,-9.588434579654859e-08,0.620813250541687,0.7937711477279663,0.0008282551425509155,0.5776397585868835,0.7994475364685059,-0.004099392332136631,0.5499264001846313,0.8363534808158875,-0.010463178157806396,0.5364028215408325,0.8729410171508789,-0.01828443445265293,0.5580451488494873,0.7905544638633728,-0.01013243105262518,0.5201712846755981,0.8136156797409058,-0.01861008070409298,0.49831435084342957,0.8196971416473389,-0.025110911577939987,0.480866402387619,0.8218288421630859,-0.030751490965485573,0.5668133497238159,0.8172335028648376,-0.017048055306077003,0.540213942527771,0.8846811056137085,-0.02575969509780407,0.5535503029823303,0.8861370086669922,-0.026559101417660713,0.5648487210273743,0.8668453693389893,-0.02802625484764576,0.5810664296150208,0.8505747318267822,-0.023541385307908058,0.5591521859169006,0.91021329164505,-0.030167439952492714,0.5721995830535889,0.9013872146606445,-0.025812435895204544,0.5816096663475037,0.8776506781578064,-0.023950200527906418,0.5982430577278137,0.8853203058242798,-0.03021564520895481,0.5790084600448608,0.9260887503623962,-0.03501814603805542,0.590597927570343,0.9176185727119446,-0.03037193790078163,0.6006045937538147,0.8994025588035583,-0.027036499232053757
