frame,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2971336841583252,0.5977121591567993,-2.601845778826828e-07,0.26313525438308716,0.6374219059944153,0.00020377550390549004,0.23681044578552246,0.6517124176025391,-0.004128776025027037,0.21546690165996552,0.6582945585250854,-0.011192499659955502,0.20360802114009857,0.6561340689659119,-0.018080880865454674,0.2114989310503006,0.5753942131996155,0.004576133564114571,0.17823374271392822,0.6056093573570251,-0.0013179864035919309,0.15948016941547394,0.618748128414154,-0.005751121789216995,0.1441289186477661,0.6248827576637268,-0.00938356202095747,0.21338604390621185,0.5664624571800232,-0.0011199485743418336,0.1996765434741974,0.6445993781089783,-0.016353463754057884,0.22288712859153748,0.6646698117256165,-0.02218996174633503,0.2419458031654358,0.664010763168335,-0.02227761223912239,0.21539750695228577,0.5719598531723022,-0.007180378772318363,0.20439359545707703,0.6532370448112488,-0.02128470316529274,0.22688879072666168,0.6670082807540894,-0.021234968677163124,0.2436770647764206,0.6626623868942261,-0.017311131581664085,0.2177729308605194,0.5873288512229919,-0.013420594856142998,0.2066430300474167,0.6510125994682312,-0.022007880732417107,0.2220781147480011,0.6675364971160889,-0.020203858613967896,0.23566007614135742,0.6684409379959106,-0.015858404338359833
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29776737093925476,0.5881283283233643,-2.487041967924597e-07,0.2675834894180298,0.6192871332168579,0.0011181277222931385,0.24346965551376343,0.6332869529724121,-0.002739002462476492,0.22644636034965515,0.6432608366012573,-0.00925470795482397,0.2166699320077896,0.6471831202507019,-0.01606038771569729,0.21130718290805817,0.5610356330871582,0.005510964430868626,0.17873260378837585,0.5943091511726379,-0.00035384169314056635,0.15978282690048218,0.6072589755058289,-0.00602406682446599,0.14433836936950684,0.6121129393577576,-0.01064368523657322,0.21089717745780945,0.5559319853782654,-1.9869316020049155e-05,0.19578330218791962,0.6388571858406067,-0.013016660697758198,0.21890860795974731,0.6617558002471924,-0.01900140382349491,0.23820941150188446,0.6616830229759216,-0.01998196914792061,0.21232551336288452,0.5645312070846558,-0.00577388983219862,0.20208008587360382,0.646587073802948,-0.01679154485464096,0.22491534054279327,0.6629012227058411,-0.01659148745238781,0.24181579053401947,0.6594225764274597,-0.013463790528476238,0.2153211534023285,0.5809321999549866,-0.011749686673283577,0.2069534957408905,0.6429389715194702,-0.01759149320423603,0.2224879264831543,0.6572452783584595,-0.015148925594985485,0.23539428412914276,0.655766487121582,-0.010929428972303867
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30123114585876465,0.5721933841705322,-2.3782158109497686e-07,0.27111250162124634,0.5926217436790466,0.004310922231525183,0.24476507306098938,0.6065801978111267,0.0019359502475708723,0.22678330540657043,0.6230931282043457,-0.003934937529265881,0.21358652412891388,0.6362683773040771,-0.01041903905570507,0.20953865349292755,0.5441483855247498,0.010309277102351189,0.17536503076553345,0.5759871602058411,0.005253531038761139,0.15509654581546783,0.5891300439834595,-0.0005291576962918043,0.13814249634742737,0.5952029228210449,-0.005492211319506168,0.2086585909128189,0.541333019733429,0.0032158566173166037,0.19390276074409485,0.6254518628120422,-0.009066194295883179,0.21714797616004944,0.6458364129066467,-0.015265180729329586,0.2363327145576477,0.6431017518043518,-0.016682904213666916,0.20962810516357422,0.5515568852424622,-0.004005683120340109,0.19912822544574738,0.6348066329956055,-0.013508716598153114,0.22240206599235535,0.6477476954460144,-0.012971264310181141,0.23849532008171082,0.6403852105140686,-0.010443109087646008,0.2120986431837082,0.5686313509941101,-0.011303175240755081,0.20362471044063568,0.6337846517562866,-0.016216490417718887,0.22118563950061798,0.6461250185966492,-0.013195397332310677,0.23458357155323029,0.6406740546226501,-0.008980530314147472
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325330913066864,0.5771728754043579,-2.602159270281845e-07,0.28281551599502563,0.5796421766281128,0.008384433574974537,0.24620559811592102,0.590084433555603,0.006706944666802883,0.220406174659729,0.6100152730941772,0.0008460851386189461,0.20624004304409027,0.6339144110679626,-0.006439900957047939,0.21256667375564575,0.548745334148407,0.008358790539205074,0.17583627998828888,0.59571772813797,0.0016511246794834733,0.15246275067329407,0.623327910900116,-0.00566904479637742,0.13396379351615906,0.6418070793151855,-0.011105653829872608,0.21410319209098816,0.5530107021331787,-0.0005536855896934867,0.20377077162265778,0.641953706741333,-0.008808789774775505,0.22653965651988983,0.656710147857666,-0.01237483974546194,0.24339693784713745,0.6504378914833069,-0.014005620963871479,0.2210898995399475,0.5713265538215637,-0.009224574081599712,0.21561652421951294,0.6569698452949524,-0.014484988525509834,0.23748715221881866,0.6652633547782898,-0.012904302217066288,0.2528167963027954,0.6568286418914795,-0.011704652570188046,0.2292649745941162,0.5951656103134155,-0.017958590760827065,0.22499874234199524,0.661267876625061,-0.01953922025859356,0.24130456149578094,0.6714966297149658,-0.01600455306470394,0.25365298986434937,0.6682485938072205,-0.012750000692903996
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34164881706237793,0.5952562093734741,-2.723397187764931e-07,0.2967904210090637,0.5992251634597778,0.008947279304265976,0.2572533190250397,0.615768551826477,0.006489198189228773,0.22728142142295837,0.6428341865539551,-0.0003741509572137147,0.20770393311977386,0.6727266311645508,-0.008967678993940353,0.22271209955215454,0.5741243958473206,0.008680908009409904,0.18344435095787048,0.636663556098938,0.0007385588833130896,0.1587335765361786,0.6693812012672424,-0.00731792813166976,0.13858914375305176,0.6878710389137268,-0.013665948994457722,0.22622834146022797,0.5800231695175171,-0.0015721541130915284,0.21026001870632172,0.6777035593986511,-0.012006882578134537,0.23464781045913696,0.6918059587478638,-0.016392160207033157,0.25269901752471924,0.6806252598762512,-0.018738238140940666,0.23603254556655884,0.5985390543937683,-0.011593326926231384,0.22523783147335052,0.6887871026992798,-0.019320039078593254,0.24908819794654846,0.6975885629653931,-0.016676969826221466,0.2655465304851532,0.685187041759491,-0.014736386016011238,0.24781163036823273,0.6221197247505188,-0.021581867709755898,0.23969343304634094,0.6886951923370361,-0.025692958384752274,0.2568679749965668,0.6996686458587646,-0.021916355937719345,0.27012717723846436,0.6930582523345947,-0.01834982819855213
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346225380897522,0.6156641244888306,-2.837210217876418e-07,0.3028455376625061,0.6315016746520996,0.007874875329434872,0.2640736997127533,0.6463027000427246,0.004876041319221258,0.234730526804924,0.6665065884590149,-0.0019023987697437406,0.21634246408939362,0.682381808757782,-0.009913849644362926,0.23200589418411255,0.6089017391204834,0.00398297980427742,0.19748923182487488,0.6664062142372131,-0.007052670698612928,0.17667576670646667,0.702281653881073,-0.016466960310935974,0.16041746735572815,0.7273476123809814,-0.02292625978589058,0.23774661123752594,0.6105028986930847,-0.00587811041623354,0.22418713569641113,0.7063960433006287,-0.01719440147280693,0.2460036426782608,0.7225519418716431,-0.01997763104736805,0.26168662309646606,0.7135476469993591,-0.021287301555275917,0.24966497719287872,0.6243702173233032,-0.015800775960087776,0.23799510300159454,0.7153291702270508,-0.02433246560394764,0.25915035605430603,0.7255488634109497,-0.019558679312467575,0.2739749550819397,0.7146891355514526,-0.01594589650630951,0.2636539340019226,0.6443822979927063,-0.02576521411538124,0.2546948194503784,0.7137046456336975,-0.03037204034626484,0.26981237530708313,0.7238786220550537,-0.025714674964547157,0.2814999520778656,0.716619074344635,-0.021430615335702896
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35481369495391846,0.6308994293212891,-2.733550275024754e-07,0.3103373050689697,0.6441637277603149,0.00662684440612793,0.26930880546569824,0.6645662784576416,0.004204279743134975,0.23887677490711212,0.6919299960136414,-0.0011790378484874964,0.2181829810142517,0.7181600332260132,-0.007758437190204859,0.24375122785568237,0.6201857924461365,0.003417203202843666,0.20819497108459473,0.681443989276886,-0.006851249374449253,0.18844658136367798,0.719170331954956,-0.015043403953313828,0.17257174849510193,0.7448863983154297,-0.020709415897727013,0.25111889839172363,0.6284683346748352,-0.0056950245052576065,0.22862191498279572,0.7162866592407227,-0.01682298444211483,0.24458429217338562,0.7440885305404663,-0.019691102206707,0.2588982582092285,0.7459079027175903,-0.02091256156563759,0.26302289962768555,0.6476121544837952,-0.014967340975999832,0.24794690310955048,0.7321169376373291,-0.025059865787625313,0.26544612646102905,0.7513781785964966,-0.02169121615588665,0.2790350019931793,0.7464367747306824,-0.0183595959097147,0.27622121572494507,0.6715444326400757,-0.023994116112589836,0.2676079273223877,0.7357948422431946,-0.02941051498055458,0.2811596691608429,0.7478736639022827,-0.025758875533938408,0.29102572798728943,0.7394301295280457,-0.022200971841812134
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40172600746154785,0.6168937683105469,-2.504873464204138e-07,0.35356876254081726,0.6224693655967712,0.0008020493551157415,0.3079058527946472,0.664512574672699,-0.004443169105798006,0.27874207496643066,0.7137474417686462,-0.011103473603725433,0.2597894072532654,0.7537174224853516,-0.018428219482302666,0.2779063880443573,0.6459782123565674,-0.007050024811178446,0.2477283924818039,0.7255586981773376,-0.020541684702038765,0.2308564931154251,0.7757223844528198,-0.03279900178313255,0.21775035560131073,0.8145443201065063,-0.042113255709409714,0.2919389605522156,0.6519758701324463,-0.014537216164171696,0.28112703561782837,0.757385790348053,-0.02416154183447361,0.3021581172943115,0.7548092007637024,-0.027354614809155464,0.3129940927028656,0.727654755115509,-0.03165015950798988,0.31231939792633057,0.6650129556655884,-0.022480260580778122,0.3011837601661682,0.7636600732803345,-0.030417386442422867,0.3200083076953888,0.7522608041763306,-0.025594143196940422,0.3276385962963104,0.721301257610321,-0.02425633929669857,0.3354419767856598,0.6778045296669006,-0.03087286278605461,0.3221655786037445,0.752901017665863,-0.037804607301950455,0.3358766436576843,0.7464081048965454,-0.03244709596037865,0.3445699214935303,0.7228513956069946,-0.028611598536372185
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4059256911277771,0.6143410205841064,-2.5570722073098295e-07,0.3608158826828003,0.6116273403167725,0.002585270209237933,0.31891414523124695,0.6502915024757385,-0.0015307522844523191,0.29400524497032166,0.7011517286300659,-0.007521981839090586,0.2804597318172455,0.7433532476425171,-0.014441605657339096,0.2853616178035736,0.647667407989502,-0.005267369095236063,0.2572796642780304,0.7253934144973755,-0.01766423135995865,0.24152524769306183,0.774946928024292,-0.02894764393568039,0.22829382121562958,0.813227653503418,-0.03777734190225601,0.2991068661212921,0.6541256308555603,-0.012739118188619614,0.2906707525253296,0.7619415521621704,-0.021979719400405884,0.3112039864063263,0.7588719129562378,-0.024527976289391518,0.32051143050193787,0.7298589944839478,-0.028172103688120842,0.3194647431373596,0.6660642027854919,-0.02043512649834156,0.3098464608192444,0.7671442031860352,-0.027593791484832764,0.32804638147354126,0.7556729912757874,-0.022427845746278763,0.3344195783138275,0.7237883806228638,-0.020806336775422096,0.34261229634284973,0.677652895450592,-0.02849239856004715,0.3326311409473419,0.7539190053939819,-0.034970853477716446,0.3461330533027649,0.7436842322349548,-0.02998567745089531,0.35289233922958374,0.7162301540374756,-0.026354549452662468
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4131019413471222,0.6183125376701355,-2.4666610443091486e-07,0.3694687485694885,0.6187517046928406,0.0048361532390117645,0.32796037197113037,0.657331109046936,0.0005129373166710138,0.30286434292793274,0.7071539163589478,-0.00605809735134244,0.28993701934814453,0.7454029321670532,-0.01403481513261795,0.2964423894882202,0.6496009826660156,-0.005652222782373428,0.26567476987838745,0.7289421558380127,-0.01676752045750618,0.24983330070972443,0.7796570062637329,-0.027606116607785225,0.2371220737695694,0.8190739154815674,-0.03619782626628876,0.3111879229545593,0.6610326766967773,-0.013666764833033085,0.29957321286201477,0.7627425789833069,-0.022051576524972916,0.3184683918952942,0.7558096647262573,-0.023959871381521225,0.3285418152809143,0.7277331352233887,-0.027421066537499428,0.33131733536720276,0.6772435903549194,-0.02122502215206623,0.3208805024623871,0.7716092467308044,-0.025893138721585274,0.3367604911327362,0.7587416172027588,-0.019507791846990585,0.34348997473716736,0.7299195528030396,-0.017677554860711098,0.352971613407135,0.6935117840766907,-0.029013868421316147,0.3405646085739136,0.7648934125900269,-0.03265349566936493,0.3532532751560211,0.7543030977249146,-0.026186788454651833,0.36061620712280273,0.7297000885009766,-0.022099966183304787
